Date,City,Cause of Death
10/25/2003,Shkin -  Afghanistan,Terrorist Action
10/25/2003,Shkin -  Afghanistan,Terrorist Action
08/29/2004,Kabul -  Afghanistan,Terrorist Action
08/29/2004,Kabul -  Afghanistan,Terrorist Action
08/29/2004,Kabul -  Afghanistan,Terrorist Action
10/23/2004,Kabul -  Afghanistan,Terrorist Action
11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident
11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident
11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident
11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident
02/03/2005,Koh-e-chapari -  Afghanistan,Air Accident
02/03/2005,Koh-e-chapari -  Afghanistan,Air Accident
02/03/2005,Koh-e-chapari -  Afghanistan,Air Accident
02/03/2005,Koh-e-chapari -  Afghanistan,Air Accident
02/03/2005,Koh-e-chapari -  Afghanistan,Air Accident
02/03/2005,Koh-e-chapari -  Afghanistan,Air Accident
04/06/2005,Ghazni -  Afghanistan,Air Accident
04/06/2005,Ghazni -  Afghanistan,Air Accident
04/06/2005,Ghazni -  Afghanistan,Air Accident
04/23/2005,Ghazni -  Afghanistan,Veh. Accident-Auto
06/01/2005,Kandahar -  Afghanistan,Terrorist Action
06/25/2005,Bagram Air Base -  Afghanistan,Suicide



