Date,City,Cause of Death
03/04/2003,Rio Chimehuin -  Junin De Los Andes -  Argentina,Drowning
03/09/2003,Gualeguaychu -  Entre Rios -  Argentina,Other Accident
06/03/2003,Vicente Lopez -  Buenos Aires -  Argentina,Homicide
08/27/2003,Buenos Aires -  Argentina,Veh. Accident-Auto
02/04/2004,Km 577 -  La Cautiva -  Rio 4 -  Prov. Cordoba -  Argentina,Other Accident
09/14/2004,Valle De Las Lenas -  Mendoza -  Argentina,Other Accident
07/23/2005,Ruta Prov. 16 -  Villa Tulumba -  Cordoba -  Argentina,Veh. Accident-Auto
10/17/2005,Cerro Mercedario -  San Juan -  Argentina,Other Accident
12/02/2005,Rosario -  Santa Fe -  Argentina,Train Accident
01/22/2006,At Sea -  Near Ushuaia -  Tierra Del Fuego -  Argentina,Other Accident
03/06/2006,Tunuyan -  Mendoza -  Argentina,Veh. Accident-Auto
04/23/2006,San Luis -  Argentina,Veh. Accident-Auto
01/09/2007,Route 7 Km 1101 -  Lujan De Cuyo - mendoza -  Argentina,Drowning - River
04/06/2007,Buenos Aires -  Argentina,Other Accident
10/10/2007,Provincial Route 6 -  Hernando -  Cordoba -  Argentina,Veh. Accid-Auto
10/12/2007,Buenos Aires -  Argentina,Other Accident
12/03/2007,Buenos Aires -  Argentina,Suicide
06/21/2008,Sanmartin And Catamarca -  Salta -  Argentina,Veh. Accident-Auto



