Date,City,Cause of Death
10/08/2002,Great Keppel Island -  Queensland -  Australia,Drowning
11/05/2002,Line Reef Off Proserpine -  Queensland -  Australia,Drowning
11/12/2002,Sandringham St. -  Sans Souci -  Australia,Veh. Accident-Motorcycle
12/09/2002,Jervis Bay -  New South Wales -  Australia,Drowning - Beach
01/01/2003,Caves Road -  Quindalup -  Western Australia -  Australia,Veh. Accident-Auto
03/21/2003,Bruce Highway -  Behanna Creek -  Queensland -  Australia,Veh. Accident-Auto
05/10/2003,Potts Point -  New South Wales -  Australia,Drug-Related
05/31/2003,Mossman Gorge National Park -  Queensland -  Australia,Drowning
06/12/2003,Twofold Bay -  Eden -  New South Wales -  Australia,Drowning
06/15/2003,Palmwood -  Queensland -  Australia,Drowning
07/17/2003,Hobart -  Tasmania -  Australia,Veh. Accident-Auto
07/25/2003,Sydney -  New South Wales -  Australia,Drug-Related
07/26/2003,Litchfield Park -  Northern Territory -  Australia,Drowning
08/13/2003,Pampoolah Rd Taree -  New South Wales -  Australia,Veh. Accident-Auto
09/27/2003,Oakleigh -  Victoria -  Australia,Suicide
10/12/2003,Pacific Highway -  Jones Island -  Australia,Veh. Accident-Auto
10/17/2003,Southport -  Queensland -  Australia,Veh. Accident-Auto
10/22/2003,Townsville -  Queensland -  Australia,Drowning -Ocean
11/03/2003,Otford Rd -  Otford -  New South Wales -  Australia,Veh. Accident-Auto
11/03/2003,Victoria Rd -  West Ryde -  Australia,Veh. Accident-Auto
11/07/2003,Northam -  Western Australia -  Australia,Veh. Accident-Motorcycle
11/07/2003,Toodyay-bindi Bindi Road Near Balgalling Rd -  Toodyay -  Western Australia -  Australia,Veh. Accident-Motorcycle
12/11/2003,Canberra -  Australian Capital Territory -  Australia,Drug-Related
12/27/2003,West Tamar Highway -  Beaconsfield -  Tasmania -  Australia,Veh. Accident-Auto
01/13/2004,Sydney -  New South Wales -  Australia,Suicide
01/17/2004,Hope Island -  Queensland -  Australia,Suicide
01/20/2004,Burnside -  South Australia -  Australia,Suicide
02/07/2004,Sydney -  New South Wales -  Australia,Suicide
02/14/2004,Lavers Hill -  Victoria -  Australia,Veh. Accident-Motorcycle
03/05/2004,Sydney -  New South Wales -  Australia,Drug-Related
05/08/2004,Surry Hills -  New South Wales -  Australia,Other Accident
06/13/2004,Bonnie Doon -  Victoria -  Australia,Homicide
06/16/2004,Hastings Reef Via Cairns -  Queensland -  Australia,Drowning
06/16/2004,New South Wales -  Australia,Veh. Accident-Motorcycle
06/28/2004,Sunnybank -  Queensland -  Australia,Suicide
09/02/2004,One Tree Hill -  South Australia -  Australia,Veh. Accident-Auto
09/11/2004,Red Rock Beach -  Near Coffs Harbour Nsw -  Australia,Drowning
09/25/2004,Wonga Beach -  Queensland -  Australia,Suicide
11/01/2004,Riddoch Highway -  Coonawarra -  South Australia,Veh. Accident-Auto
11/12/2004,Western Highway -  Near Nhill -  Victoria -  Australia,Veh. Accident-Auto
11/14/2004,Braslins Road -  Black Hills -  Tasmania -  Australia,Other Accident
11/24/2004,Agincourt Reef -  Queensland -  Australia,Drowning
12/01/2004,266 Km East Of Norseman -  Western Australia -  Australia,Veh. Accident
12/03/2004,22 Airport Road -  Glenugie -  New South Wales -  Australia,Drug-Related
12/10/2004,Kensington -  South Australia -  Australia,Suicide
02/15/2005,Glenelg -  South Australia -  Australia,Suicide
03/16/2005,Intersection Stuart Hwy & Hatt Rd. -  Alice Springs -  Northern Territory -  Australia,Veh. Accident-Auto
04/10/2005,Pope Road -  Black River -  Queensland -  Australia,Veh. Accident-Auto
04/12/2005,Tapley's Hill Road -  West Beach -  South Australia -  Australia,Veh. Accident-Auto
06/21/2005,Mitchell Falls Plateau -  Western Australia,Other Accident
06/27/2005,New South Wales -  Australia,Veh. Accident-Auto
06/27/2005,New South Wales -  Australia,Veh. Accident-Auto
06/27/2005,New South Wales -  Australia,Veh. Accident-Auto
07/05/2005,Wollahra -  New South Wales -  Australia,Suicide
09/11/2005,Queensland -  Australia,Suicide
10/30/2005,Camperdown -  New South Wales -  Australia,Other Accident
01/13/2006,Dysart Middlemount Road -  Middlemount -  Queensland -  Australia,Veh. Accident-Auto
02/20/2006,Saxon Reef -  Off The Coast Of Cairns -  Queensland -  Australia,Maritime Accident
03/03/2006,Lorne Beach -  Lorne -  Victoria -  Australia,Drowning-Beach
07/02/2006,Cloverdale -  Perth -  Western Australia,Suicide
08/08/2006,Yallingup -  Western Australia,Drowning
09/19/2006,Marsden -  New South Wales -  Australia,Suicide
09/29/2006,Sturt Street -  Townsville -  Queensland -  Australia,Veh. Accident-Auto
10/23/2006,Mooroolbark -  Victoria -  Australia,Other Accident
02/09/2007,ferntree Gully -  Victoria -  Australia,Homicide
02/18/2007,Sassafrass -  Victoria -  Australia,Suicide
02/18/2007,Springbrook Road -  Queensland -  Australia,Veh. Accident-Motorcycle
02/19/2007,Clade Batten Drive -  Noosa Heads Queensland -  Australia,Veh. Accident-Motorcycle
03/01/2007,Hillcrest -  Queensland -  Australia,Suicide
09/01/2007,Sydney -  Australia,Suicide
09/10/2007,New South Wales -  Australia,Suicide
09/23/2007,Maddington -  Australia,Suicide
11/12/2007,White Rock -  Queens Land -  Australia,Drowning
01/07/2008,23klm Minnie Bridge -  Great Northern Highway Derby Western Australia,Veh. Accid-Auto
02/11/2008,Bendigo -  Victoria -  Australia,Other Accident



