Date,City,Cause of Death
12/05/2002,Oberwart -  Austria,Other Accident
12/08/2002,Krems -  Austria,Veh. Accident-Auto
12/21/2002,Graz -  Austria,Suicide
09/24/2003,Vienna -  Austria,Other Accident
12/16/2003,Federal Highway B-154 Between Plomberg And Scharfling -  Austria,Veh. Accident-Auto
05/28/2004,Angath -  Tyrol -  A12 Austrian Highway -  Austra,Veh. Accident-Auto
01/22/2005,Gampberg Mountain -  St. Anton -  Tyrol -  Austria,Disaster
09/17/2005,Triesterstrasse -  Graz -  Austria,Veh. Accident-Auto
05/03/2006,Rosianfeld 2 -  St. Johann Im Pongau -  Austria,Other Accident
05/03/2006,Rosianfeld 2 -  St. Johann Im Pongau -  Austria,Other Accident
08/12/2006,Kufstein -  Austria,Suicide
09/14/2006,Brand -  Vorarlberg -  Austria,Other Accident
10/18/2006,Vienna -  Austria,Suicide
10/22/2007,Schottenfeldgasse 3 -  Neusiedl/zaya,Other Accident
05/19/2008,Vienna -  Austria,Suicide
06/11/2008,Salzburg -  Austria,Veh. Accident-Auto
06/30/2008,Haritzersteig-leiterschlucht -  Carinthia -  Austria,Other Accident - Mountain Climbing



