Date,City,Cause of Death
11/17/2002,Island Of San Salvador -  The Bahamas,Drowning
12/15/2002,Providenciales -  Turks And Caicos Islands -  British West Indies,Drowning
01/01/2003,Andros -  The Bahamas,Drowning
01/21/2003,Nassau -  The Bahamas,Drowning
03/25/2003,Mermaid Reef -  Marsh Harbour -  Abaco -  The Bahamas,Drowning
05/31/2003,Green Turtle Cay -  Abaco -  The Bahamas,Maritime Accident
07/18/2003,Freeport -  Grand Bahamas -  The Bahamas,Air Accident
08/15/2003,Freeport -  Grand Bahamas -  The Bahamas,Drowning
08/29/2003,Cable Beach -  Nassau -  The Bahamas,Maritime Accident
12/10/2003,Nassau -  The Bahamas,Drowning
01/03/2004,Bimini -  The Bahamas,Drowning
01/23/2004,Freeport -  The Bahamas,Veh. Accident-Auto
05/27/2004,Marsh Harbour -  Abaco -  The Bahamas,Air Accident
05/27/2004,Marsh Harbour -  Abaco -  The Bahamas,Air Accident
05/28/2004,Cat Cay -  Bimini -  The Bahamas,Drowning
06/15/2004,Guana Cay -  Abaco -  The Bahamas,Drowning
08/01/2004,Harbour Island -  Eleuthera -  The Bahamas,Drowning
10/19/2004,New Bight -  Cat Island -  The Bahamas,Homicide
10/29/2004,Cabbage Beach -  Nassau -  The Bahamas,Drowning
11/23/2004,Paradise Island -  Nassau -  The Bahamas,Maritime Accident
01/09/2005,Greenwood Resort -  Cat Island -  The Bahamas,Other Accident
02/09/2005,Freeport -  The Bahamas,Suicide
03/03/2005,Big Whale Cay -  Berry Islands -  The Bahamas,Drowning
03/03/2005,Big Whale Cay -  Berry Islands -  The Bahamas,Drowning
03/25/2005,Gun Cay -  Bimini -  The Bahamas,Drowning
05/30/2005,Nassau -  The Bahamas,Other Accident
06/05/2005,Nassau Yacht Haven -  Nassau -  The Bahamas,Other Accident
06/09/2005,Andros -  The Bahamas,Drowning
06/22/2005,Freeport -  The Bahamas,Drowning
07/05/2005,Freeport -  The Bahamas,Drowning
07/11/2005,Nassau -  The Bahamas,Veh. Accident-Pedestrian
08/18/2005,West Bay Street -  Nassau -  The Bahamas,Veh. Accident-Auto
08/23/2005,Freeport -  Grand Bahamas -  The Bahamas,Homicide
09/08/2005,Norman's Cay -  Exuma -  The Bahamas,Air Accident
02/20/2006,San Salvador -  The Bahamas,Other Accident
03/24/2006,Freeport -  The Bahamas,Veh. Accident-Auto
03/25/2006,Freeport -  The Bahamas,Veh. Accident-Auto
05/03/2006,Nassau -  The Bahamas,Other Accident
05/28/2006,Freeport -  Grand Bahamas -  The Bahamas,Drowning
06/29/2006,Nassau -  The Bahamas,Other Accident
07/17/2006,Abaco -  Hope Town -  The Bahamas,Suicide
08/19/2006,Providenciales -  The Bahamas,Suicide
10/05/2006,Freeport -  Grand Bahamas -  The Bahamas,Drowning
03/05/2007,Freeport -  Grand Bahamas -  The Bahamas,Drowning
03/12/2007,Morgans Bluff -  Andros -  The Bahamas,Veh. Accident-Auto
04/10/2007,Big Whale Cay -  Berry Island -  The Bahamas,Air Accident
04/10/2007,Big Whale Cay -  Berry Island -  The Bahamas,Air Accident
04/10/2007,Fortune Bay -  Lucaya -  Freeport -  The Bahamas,Drowning - Ocean
05/06/2007,Treasue Cay -  Abaco -  The Bahamas,Maritime Accident
07/15/2007,Paradise Island -  Nassau,Other Accident
07/22/2007,Marsh Harbour Clinic -  Abaco,Drowning
08/19/2007,Winding Bay -  Marsh Harbour -  Abaco,Other Accident
11/03/2007,Freeport -  The Bahamas,Veh. Accid-Auto
11/04/2007,Freeport,Veh. Accid-Auto
11/04/2007,Nassau -  The Bahamas,Veh. Accid-Motorcy.
11/20/2007,Waters Off South Ocean -  Nassau -  The Bahamas,Drowning-Ocean
01/14/2008,Freeport -  The Bahamas,Drowning
02/18/2008,Nassau -  The Bahamas,Veh. Accid-Motorcy.
03/24/2008,The Bahamas,Air Accident
03/24/2008,The Bahamas,Air Accident
06/27/2008,Nassau -  The Bahamas,Suicide



