Date,City,Cause of Death
10/27/2002,St. John's -  Antigua,Veh. Accident-Auto
11/18/2002,Tortola -  British Virgin Islands,Drowning
12/24/2002,Police Marine Base -  Road Reef Marina -  Tortola -  British Virgin Islands,Drowning
11/17/2003,Cooper Island Beach Club -  Tortola -  British Virgin Islands,Drowning
01/22/2004,St. Kitts And Nevis,Homicide
01/22/2004,St. Kitts And Nevis,Homicide
02/20/2004,St. Kitts And Nevis,Other Accident
02/21/2004,St. Lucia,Drug-Related
06/02/2004,Virgin Gorda -  British Virgin Islands,Other Accident
06/11/2004,Tortola -  British Virgin Islands,Veh. Accident-Auto
11/09/2004,St. Michael -  Barbados,Drowning
01/19/2005,Road Town -  Tortola -  British Virgin Islands,Other Accident
03/25/2005,Prospect -  St. James -  Barbados,Veh. Accident-Auto
04/23/2005,Accra Beach -  Christ Church -  Barbados,Drowning
10/24/2006,Barbados -  British Virgin Islands,Suicide
01/10/2007,Stoney Ground -  Barbados,Drowning
02/22/2007,Anguilla -  Barbados,Drowning
04/04/2007,Blefton Beach -  St Michael -  Barbados,Drowning - Ocean
06/07/2007,Barbados -  British Virgin Islands,Vehicle Acid.-Auto
01/02/2008,Gallion Bay -  Barbados,Drowning
04/10/2008,Stoney Ground -  Barbados,Drowning
04/24/2008,Barbados -  British Virgin Islands,Drowning
06/22/2008,West Farm -  Barbados,Veh. Accident-other



