Date,City,Cause of Death
12/27/2002,Caribbean Sea -  Between English Caye And Turneffe Reef,Maritime Accident
01/20/2003,Between Mls 28 And 29 Western Highway -  Cayo District -  Belize,Veh. Accident-Auto
01/20/2003,Western Highway -  Belize District -  Belize,Veh. Accident-Auto
02/19/2003,San Pedro Town -  Ambergris Caye -  Belize,Drowning
04/10/2003,San Pedro Town -  Belize,Drowning
06/24/2003,Toledo District -  Belize,Suicide
10/22/2003,Belize City -  Belize,Drowning
11/27/2003,Placencia Village -  Belize,Drowning
02/15/2004,Corozal Town -  Belize,Veh. Accident-Auto
02/27/2004,Manatee Village -  Belize,Homicide
04/04/2004,Silk Caye -  Placencia Village -  Stann Creek District -  Belize,Drowning
07/25/2004,Margaret Village -  Cayo District -  Belize,Homicide
11/09/2004,South Water Caye -  Stann Creek Dist. -  Belize,Drowning
11/27/2004,Caye Caulker -  Belizean Waters -  Belize,Other Accident
01/29/2005,Corozal -  Belize,Veh. Accident-Auto
02/19/2005,San Pedro Town -  Belize,Drowning
03/11/2005,San Ignacio Town -  Cayo District -  Belize,Homicide
03/13/2005,San Pedro Ambergris Caye -  Belize,Drowning
06/07/2005,Caye Caulker Village -  Belize District -  Belize,Other Accident
08/20/2005,Belize City -  Belize,Homicide
09/14/2005,Dangriga Town -  Belize,Other Accident
11/13/2005,Indian Creek Village -  Belize,Homicide
11/18/2005,Mountain Pinde Ridge Area -  Belize,Air Accident
11/18/2005,Mountain Pine Ridge Area -  Belize,Air Accident
12/18/2005,San Pedro Town -  Belize,Homicide
02/06/2006,Alamina Drive -  Caye Caulker Village -  Belize,Drowning
02/09/2006,Ambergris Caye -  Belize,Maritime Accident
02/16/2006,San Pedro Town -  Belize,Other Accident
02/26/2006,San Pedro Town -  Belize,Drowning
06/09/2006,San Pedro Town -  Belize,Drowning
08/15/2006,San Ignacio  -  Cayo District -  Belize,Homicide
10/13/2006,San Pedro Town -  Belize,Suicide
01/16/2007,Belize City -  Belize -  Belize,Drowning
03/11/2007,San Ignacio Town -  Cayo District -  Belize,Suicide
07/07/2007,San Pedro Town,Drowning
07/16/2007,Teakettle Village -  Cayo District,Homicide
09/11/2007,Northern Highway -  Orange Walk Town,Veh. Accid-Auto
09/20/2007,Belmopan -  Belize ,Veh. Accid-Bus



