Date,City,Cause of Death
10/23/2002,Ascencion-guarayos -  Santa Cruz -  Bolivia,Homicide
11/25/2002,San Marcos -  Potosi -  Bolivia,Veh. Accident-Bus
06/07/2003,Mount Illimani -  La Paz -  Bolivia,Other Accident
06/07/2003,Mount Illimani -  La Paz -  Bolivia,Other Accident
07/03/2003,Mount Illimani -  La Paz -  Bolivia,Other Accident
12/09/2003,Pando -  Bolivia,Air Accident
03/19/2004,Bermejo -  Santa Cruz -  Boliviz,Veh. Accident-Bus
05/12/2004,El Alto -  La Paz -  Bolivia,Veh. Accident-Pedestrian
06/24/2004,Cochabamba -  Bolivia,Veh. Accident-Auto
06/24/2004,Cochabamba -  Bolivia,Veh. Accident-Auto
09/24/2004,Beni -  Bolivia,Veh. Accident-Auto
10/10/2004,Santa Cruz -  Bolivia,Drowning
01/07/2005,La Paz -  Bolivia,Veh. Accident-Bus
02/21/2005,Cochabamba -  Bolivia,Other Accident
08/13/2006,Cochabamba -  Bolivia,Drowning
08/24/2006,Alto Irpavi - la Paz -  Bolivia,Other Accident
04/19/2008,Carretera A Yolosa -  La Paz -  Bolivia,Veh. Accid-Other



