Date,City,Cause of Death
11/21/2002,Brasilia -  Brazil,Drowning
03/09/2003,Sao Paulo -  Brazil,Other Accident
04/22/2003,Caxeta-campos De Goytacazes -  Rio De Janeiro -  Brazil,Veh. Accident-Bus
04/30/2003,Santa Etelvina -  Manaus -  Brazil,Homicide
05/03/2003,Sao Paulo -  Brazil,Natural Disaster
05/07/2003,Rio De Janeiro -  Brazil,Veh. Accident-Auto
05/08/2003,Leblon -  Rio De Janeiro -  Brazil,Suicide
06/13/2003,Aquiraz -  Ceara -  Brazil,Drowning
06/22/2003,Costeira Tijucupava -  Pereque -  Guaruja -  Brazil,Other Accident
07/10/2003,Br 418 -  Km 91 -  Carlos Chagas -  Minas Gerais -  Brazil,Veh. Accident-Auto
07/10/2003,Br 418 -  Km 91 -  Carlos Chagas -  Minas Gerais -  Brazil,Veh. Accident-Auto
07/10/2003,Br 418 -  Km 91 -  Carlos Chagas -  Minas Gerais -  Brazil,Veh. Accident-Auto
09/13/2003,Rodovia Br 101 Km 459 -  Paraty -  Sao Paulo -  Brazil,Veh. Accident-Auto
11/14/2003,Copacabana -  Rio De Janeiro -  Brazil,Veh. Accident-Auto
11/22/2003,Praia De Pipa -  Tibau Do Sul -  Rio Grande Do Norte -  Brazil,Drowning
11/26/2003,Rio-santos Road -  Paraty -  Rio De Janeiro -  Brazil,Veh.Accident-Bus
11/30/2003,Rua Cesar Mendonca 210 -  Barra Da Tijuca -  Rio De Janeiro -  Brazil,Homicide
12/04/2003,Rio De Janeiro -  Brazil,Homicide
12/31/2003,Rodovia Br-381 Km 53 In Central De Minas -  Mg -  Brazil,Veh. Accident-Auto
03/27/2004,Tibau Do Sul -  Rn -  Brazil,Homicide
04/08/2004,Sao Paulo -  Sp -  Brazil,Homicide
04/25/2004,Angra Dos Reis -  Rio De Janeiro -  Brazil,Veh. Accident-Auto
07/24/2004,Rio Das Ostras -  Rio De Janeiro -  Brazil,Drowning
08/09/2004,Rio De Janeiro -  Brazil,Drowning
01/07/2005,Barra De Sao Miguel -  Alagoas -  Brazil,Other Accident
01/10/2005,Br 204 Road -  Km 79 -  Between Azu And Mossoro -  Rn Brazil,Veh. Accident-Auto
02/10/2005,Estrada De Ponta Negra -  Manaus -  Brazil,Veh. Accident-Auto
02/12/2005,Municipio De Anapu -  Para -  Brazil,Homicide
04/12/2005,Casa De Saude Campinas Campinas -  Sao Paulo -  Brazil,Other Accident
05/13/2005,Rua Da Igualdade -  59 Itacuruca -  Rj -  Brazil,Drowning
05/17/2005,Jaburuna -  Vila Velha -  Es -  Brazil,Drowning
01/17/2006,Shin Qi 03 Conjunto 06 Casa 12 Lago Norte -  Brasilia -  Brazil,Other Accident
02/18/2006,Sao Paulo -  Sp -  Brazil,Veh. Accident-Pedestrian
02/23/2006,Rio De Janeiro -  Rj -  Brazil,Veh. Accident-Other
02/28/2006,Praia De Juquehy -  Maresias -  Sao Sebastiao -  Sp -  Brazil,Drowning
05/05/2006,Av. Orion S/n -  Barueri -  Sp -  Brazil,Veh. Accident-Auto
05/31/2006,Anapolis -  Go -  Brazil,Veh. Accident-Auto
07/08/2006,Santa Cruz Do Sul -  Rs -  Brazil,Veh. Accident-Auto
07/25/2006,Municipality Of Cristalina -  Goias -  Brazil,Veh. Accident-Auto
07/31/2006,Guarapari -  Espirito Santo -  Brazil,Veh. Accident-Auto
08/17/2006,Goiania -  Go -  Brazil,Suicide
09/29/2006,Near Peixoto De Azevdo Mt -  Brazil,Air Accident
01/10/2007,Road Br 116 -  Serrinha -  Bahia -  Brazil,Veh. Accident-Auto
02/06/2007,Florianopolis -  Santa Catarina -  Brazil,Suicide
05/25/2007, city Of Rio De Janeiro -  Rio De Janeiro -  Brazil,Homicide
07/17/2007,Sao Paulo -  Sp -  Brazil,Air Accident
10/11/2007,Porto Seguro -  Bahia -  Brazil,Homicide
12/26/2007,Br 101 -  Bairro Pinheira -  Palhoca -  Santa Catarina -  Brazil,Veh. Accid-Auto
01/21/2008,Rio Grande De Norte -  Brazil,Homicide
02/26/2008,Santa Catarina -  Brazil,Suicide
04/21/2008,Salvador -  Bahia -  Brazil,Veh. Accid-Auto
05/07/2008,Caldas Novas -  Goias -  Brazil,Other Accident
06/28/2008,Rio De Janeiro -  Rj -  Brazil,Homicide



