Date,City,Cause of Death
11/18/2002,Phnom Penh -  Cambodia,Suicide
01/06/2003,Kampong Speu -  Cambodia,Other Accident
01/19/2003,Phnom Penh -  Cambodia,Drug-Related
02/10/2003,Phnom Penh -  Cambodia,Other Accident
06/14/2003,Koh Kong Province -  Cambodia,Homicide
08/03/2003,Kampong Cham Province -  Cambodia,Veh. Accident-Motorcycle
09/12/2003,Sihanoukville -  Cambodia,Veh. Accident-Motorcycle
09/15/2003,Phnom Penh -  Cambodia,Drug-Related
12/08/2003,Phnom Penh -  Cambodia,Homicide
02/25/2004,Kampot Province -  Cambodia,Veh. Accident-Motorcycle
03/08/2004,Kampong Thom Province -  Cambodia,Other Accident
06/04/2004,Kambol Commune -  Kandal Province -  Cambodia,Suicide
07/14/2004,Siem Reap Province -  Cambodia,Drowning
08/26/2004,Phnom Penh -  Cambodia,Other Accident
01/29/2005,Phnom Penh -  Cambodia,Drug-Related
03/19/2005,Phnom Penh -  Cambodia,Other Accident
04/25/2006,Phoum Pichban -  Lach Commune -  Pursat Province -  Cambodia,Suicide
08/09/2006,Phnom Penh -  Cambodia,Drug-Related
10/31/2006,Toul Kork-phnom Penh -  Cambodia,Suicide
12/16/2006,Dankor- Phnom Penh -  Cambodia,Suicide
08/09/2007,Bet Traing -  Prey Nup -  Sihanoukville,Veh. Accid-Auto
08/21/2007,Sihanoukville -  Cambodia,Drug-Related
08/31/2007,Phnom Penh -  Cambodia,Veh. Accid-Auto
10/09/2007,Phnom Penh -  Cambodia,Drug-Related
04/13/2008,Dangkor -  Phnom Penh,Veh. Accid-Auto



