Date,City,Cause of Death
11/24/2002,North Bay -  Ontario -  Canada,Natural Disaster
11/25/2002,Mississauga -  Ontario -  Canada,Natural Disaster
11/26/2002,Highway -  Lytton -  British Columbia -  Canada,Veh. Accident-Auto
11/26/2002,Highway -  Lytton -  British Columbia -  Canada,Veh. Accident-Auto
12/25/2002,Vancouver -  British Columbia -  Canada,Suicide
01/11/2003,Levis -  Quebec -  Canada,Veh. Accident-Other
01/20/2003,Selkirk Mountain Near Revelstoke -  British Columbia -  Canada,Other Accident
01/20/2003,Selkirk Mountain Near Revelstoke -  British Columbia -  Canada,Other Accident
01/20/2003,Selkirk Mountain Near Revelstoke -  British Columbia -  Canada,Other Accident
01/20/2003,Selkirk Mountain Range Near Revelstoke -  British Columbia -  Canada,Other Accident
03/15/2003,Lake Agnus -  Banff National Park -  Alberta -  Canada,Other Accident
03/17/2003,Kokanee Glacier Provincial Park -  British Columbia -  Canada,Natural Disaster
03/17/2003,Kokanee Glacier Provincial Park -  British Columbia -  Canada,Natural Disaster
05/16/2003,63 Miles Southeast Of Whitehorse -  Yukon Territory -  Canada,Veh. Accident-Auto
05/17/2003,Ste Agathe Des Monts -  Quebec -  Canada,Drowning
05/19/2003,Watson Lake -  Yukon Territory -  Canada,Veh. Accident-Motorcycle
06/18/2003,2 Kilometers South East Of Nimpo Lake -  British Columbia -  Canada,Air Accident
06/18/2003,2 Kilometers South Of Nimpo Lake -  British Columbia -  Canada,Air Accident
06/18/2003,Kilo 1176.8 Alaska Highway Near Smart River -  British Columbia -  Canada,Veh. Accident-Auto
06/27/2003,Tatshenshini River In The Yukon Territory -  Canada,Drowning
07/03/2003,Barnwell -  Alberta -  Canada,Other Accident
07/14/2003,Highway #1 -  1 Km. West Of Lake Louise -  Alberta -  Canada,Veh. Accident-Other
07/14/2003,Highway #1 -  1 Km. West Of Lake Louise -  Alberta -  Canada,Veh. Accident-Other
07/22/2003,Quartz Rd. In Whitehorse -  Yukon -  Canada,Veh. Accident-Pedestrian
07/26/2003,Km 1182 Of Alaska Highway -  British Columbia -  Canada,Veh. Accident-Auto
07/31/2003,Rutherford River -  British Columbia -  Canada,Drowning
08/18/2003,Manuels -  Newfoundland -  Canada,Suicide
09/17/2003,St. Anicet -  Quebec -  Canada,Air Accident
01/04/2004,Salt Spring Island -  British Columbia -  Canada,Suicide
01/08/2004,Albert Canyon-revelstoke -  British Columbia -  Canada,Natural Disaster
02/02/2004,Lady Bird Creek - 15 Km Nw Of Castlegar -  British Columbia -  Canada,Natural Disaster
02/11/2004,St. Michel Des Saints -  Quebec -  Canada,Other Accident
02/13/2004,Mount Wilson -  Banff National Park -  Alberta -  Canada,Natural Disaster
02/13/2004,Mount Wilson -  Banff National Park -  Alberta -  Canada,Natural Disaster
02/13/2004,Mount Wilson -  Banff National Park -  Alberta -  Canada,Natural Disaster
04/09/2004,Mount Vice President -  British Columbia -  Canada,Other Accident
04/11/2004,Saint-francois De Madawaska -  New Brunswick -  Canada,Homicide
04/19/2004,Montreal -  Quebec -  Canada,Suicide
05/20/2004,Fawcett Lake -  Kenora District East -  Ontario -  Canada,Air Accident
05/20/2004,Fawcett Lake -  Kenora District East -  Ontario -  Canada,Air Accident
05/20/2004,Fawcett Lake -  Kenora District East -  Ontario -  Canada,Air Accident
05/30/2004,Hwy 405 At Queenston - Lewiston Bridge -  Niagara Region -  Canada,Veh. Accident-Auto
07/09/2004,Rocky Lake -  Manitoba -  Canada,Other Accident
09/03/2004,Seton General Hosptal -  Jasper -  Alberta -  Canada,Veh. Accident-Auto
09/29/2004,Lorraine -  Quebec -  Canada,Homicide
09/29/2004,Lorraine -  Quebec -  Canada,Homicide
09/29/2004,Lorraine -  Quebec -  Canada,Suicide
11/05/2004,Halifax -  Nova Scotia -  Canada,Other Accident
01/24/2005,St. Georges -  Quebec -  Canada,Other Accident
02/02/2005,St Jean Sur Richelieu -  Quebec -  Canada,Veh. Accident-Auto
02/09/2005,Edmonton -  Alberta -  Canada,Veh. Accident-Auto
02/09/2005,Highway 28 Near Vilna -  Alberta -  Canada,Veh. Accident-Auto
05/19/2005,Sam Fprd Fiord -  Nunavut Territory -  Canada,Other Accident
05/25/2005,Grouse Mountain -  North Vancouver -  British Columbia -  Canada,Other Accident
07/08/2005,Route 431 -  Tablelands Mountain Area -  Newfoundland -  Canada,Veh. Accident-Auto
07/10/2005,Moose Jaw -  Saskatchewan -  Canada,Air Accident
07/18/2005,Invermere -  British Columbia -  Canada,Other Accident
07/31/2005,Chemin Du Lac Gerry -  Packington -  Quebec,Veh. Accident-Auto
08/09/2005,Sundre -  Alberta -  Canada,Air Accident
08/23/2005,Laval -  Quebec -  Canada,Other Accident
08/23/2005,Laval -  Quebec -  Canada,Other Accident
09/14/2005,Nursey Lake Outpost -  Nursey Township -  Ontario -  Canada,Other Accident
