Date,City,Cause of Death
02/23/2003,Grand Cayman -  Cayman Islands,Drowning
02/23/2003,Salt Creek Dyke Road -  West Bay Road -  Grand Cayman -  Cayman Islands,Drowning
11/11/2003,Georgetown -  Grand Cayman -  Cayman Islands,Drowning
02/09/2004,Cayman Islands,Drowning
03/03/2004,West Bay -  Cayman Islands,Drowning
12/10/2004,Grand Cayman -  Cayman Islands,Veh. Accident-Auto
03/06/2005,Grand Cayman -  Cayman Islands,Veh. Accident-Auto
03/06/2005,Grand Cayman -  Cayman Islands,Veh. Accident-Auto
02/15/2006,George Town -  Grand Cayman -  Cayman Islands,Maritime Accident
02/15/2006,George Town -  Grand Cayman -  Cayman Islands,Maritime Accident
06/20/2006,George Town -  Grand Cayman -  Cayman Islands,Drowning
06/20/2006,George Town -  Grand Cayman -  Cayman Islands,Drowning
07/13/2006,Little Cayman -  Cayman Islands,Drowning
07/19/2006,George Town -  Cayman Islands,Drowning
09/27/2007,Grand Cayman -  Cayman Islands,Drowning
01/29/2008,Grand Cayman -  Cayman Islands,Drowning
02/03/2008,Negril -  Cayman Islands,Drug-Related
02/13/2008,Little Cayman -  Cayman Islands,Drowning



