Date,City,Cause of Death
04/10/2003,Santiago -  Chile,Homicide
05/11/2003,San Pedro De Atacama -  Chile,Veh. Accident-Auto
08/20/2003,San Felipe -  Chile,Other Accident
01/28/2004,Manso River -  Llanada Grande -  Cochamo -  Chile,Drowning
09/28/2004,Santiago -  Chile,Suicide
02/18/2005,Torres Del Paine -  Chile,Other Accident
03/06/2006,Santiago -  Chile,Suicide
03/22/2006,Arica -  Chile,Veh-Accident-Bus
04/07/2006,Quillota -  Chile,Drowning
04/16/2006,Valdivia -  Chile,Suicide
01/13/2007,El Canelo -  El Cajon Del Maipo -  Santiago -  Chile,Veh. Accident-Auto
07/27/2007,Temuco -  Chile,Veh. Accid-Auto
08/03/2007,Cerro La Campana Limache -  Chile,Other Accident
02/18/2008,Santiago -  Chile,Veh. Accid-Pedestr.



