Date,City,Cause of Death
11/24/2002,Shanghai -  China,Other Accident
12/04/2002,Chongqing -  China,Veh. Accident-Auto
12/31/2002,Zhaoqing City -  Guangdong -  China,Other Accident
03/29/2003,Cao Xi Bei Rd. Shanghai  - china,Other Accident
04/02/2003,Donghai Road -  Qingdao City -  China,Veh. Accident-Auto
04/05/2003,Beijing -  China,Drug-Related
07/04/2003,Xicheng -  Beijing -  China,Suicide
09/06/2003,Zigui County -  Hubei Province -  China,Natural Disaster
09/14/2003,Chongqing -  China,Homicide
10/23/2003,Dulan County -  Qinghai Province -  China,Veh. Accident-Auto
01/22/2004,Nanning City -  Guangxi -  China,Other Accident
05/01/2004,Dalian City -  China,Veh. Accident-Auto
06/09/2004,Beijing -  China,Other Accident
06/13/2004,Shanghai -  China,Suicide
06/14/2004,Yang Jiang -  Guangdong -  China,Drowning
07/04/2004,Guangxi -  China,Veh. Accident 
07/15/2004,Sanmenxia City -  Henan Province -  China,Other Accident
07/21/2004,Hefei -  Anhui Province -  China,Suicide
07/24/2004,At 351 Km+700m Xi Cheng High Way To Wu Xi -  China,Veh. Accident - Auto
07/24/2004,At 351 Km+700m Xi Cheng High Way To Wu Xi -  China,Veh. Accident - Auto
08/05/2004,Huizhou -  Guangdong -  China,Other Accident
04/14/2005,Guangzhou City -  Guangdong Province -  China,Veh. Accident-Pedestrian
05/05/2005,Lanping Country -  Yunnan Province -  China,Veh. Accident-Motorcycle
05/09/2005,Ningde -  Fujian Province -  China,Veh. Accident-Auto
09/23/2005,No. 80 Zhongguancun Donglu -  Beijing -  China,Other Accident
10/21/2005,Jiangsu -  China,Veh. Accident-Auto
10/26/2005,Zhang Chang Highway -  Jiangxi -  Province -  China,Veh. Accident-Auto
11/02/2005,Zhongshan City -  Guangdong Province -  China,Veh. Accident-Auto
11/02/2005,Zhongshan City -  Guangdong Province -  China,Veh. Accident-Auto
11/14/2005,Fenggang Town -  Guangdong Province -  China,Suicide
11/18/2005,Yueyang -  Hunan Province -  China,Suicide
12/23/2005,Beijing -  China,Drug-Related
01/14/2006,Shenyang -  Liaoning Province -  China,Other Accident
01/24/2006,Beijing -  China,Drug-Related
02/18/2006,Na Zhu Di Village -  Shang Pa Town -  Fugong County -  Nujiang Prefecture -  Yunnan -  China,Drowning
02/22/2006,Beijing -  China,Drug-Related
02/28/2006,Beijing -  China,Homicide
03/01/2006,Xi’an -  Shaanxi -  China,Suicide
03/18/2006,Zhongshan -  Guangdong -  China,Other Accident
05/03/2006,Sanya -  Hainan -  China,Other Accident
05/23/2006,Beijing -  China,Suicide
06/27/2006,Beijing -  China,Veh. Accident-Auto
07/25/2006,Shenzhen - guangdong -  China,Other Accident
10/03/2006,Harbin -  Heilonjiang -  China,Other Accident
10/07/2006,Shanghai -  China,Other Accident
10/07/2006,Shanghai -  China,Other Accident
10/30/2006,Shanghai -  China,Suicide
11/07/2006,Guangzhou City -  Guangdong Province -  China,Suicide
11/21/2006,Shanghai -  China,Other Accident
11/29/2006,Qingdao -  Shandong -  China,Other Accident
12/19/2006,Beijing -  China,Veh. Accident-Auto
01/14/2007,Yuzhong District -  Chongqing -  China,Other Accident
01/25/2007,Guangzhou City -  Guangdong Province -  China,Homicide
03/03/2007,Hohhot -  Inner Mongolia,Veh. Accident-Auto
03/12/2007,Binhai Xincun -  Tanggu -  Tianjin -  China,Drug-Related
03/27/2007,Longsheng -  Guangxi -  China,Drowning - Pool 
05/10/2007,Fang Zheng County -  Heilongjiang Province -  Harbin -  Heilongjiang,Veh. Accident-Auto
05/12/2007,Jiangmen Section Of Fo-kai Express Way -  Jiangmen -  Guangdong,Veh. Accident-Auto
05/30/2007,Jiaohe City -  Jiaohe -  Jilin -  China,Veh. Accident-Auto
06/20/2007,Beijing -  China,Other Accident
07/09/2007,Changle -  Fujian -  China,Drowning-Ocean
08/26/2007,Xier Town - mile County -  Yunnan -  China,Drowning-River
09/14/2007,Nie La -  Tibet -  Autonomous Region -  China,Other Accident
10/05/2007,Shenzhen -  Guangdong -  China,Suicide
10/29/2007,Qingnian Road -  Kunming -  Yunnan -  China,Veh. Accid-Auto
11/09/2007,Beijing -  China,Drug-Related
11/30/2007,Jing-zhu Expressway -  Baoding City -  Baoding -  Hebei -  China,Veh. Accid-Auto
12/24/2007,Beijing -  China,Suicide
12/27/2007,Sun Bay -  Sanya -  Hainan -  China,Drowning
01/25/2008,Harbin -  Heilonjiang - china,Maritime Accident
03/21/2008,Shenyang -  Liaoning -  China,Suicide
03/28/2008,Beijing -  China,Disaster
03/29/2008,Sanya -  Hainan -  China,Other Accident
05/03/2008,Mawei District -  Fuzhou -  Fujian -  China,Veh. Accid-Motorcy.
05/28/2008,Lianjiang -  Fujian -  China,Veh. Accid-Other
05/29/2008,Beijing -  China,Homicide



