Date,City,Cause of Death
11/17/2002,Firavitoba -  Vereda Alcaparral -  Colombia,Homicide
12/13/2002,Finca La Pondorosa -  Vereda Montelargo -  Colombia,Homicide
12/22/2002,Red Zone -  Totoro Cauca -  Colombia,Homicide
01/09/2003,Cartago -  Valle -  Colombia,Homicide
01/27/2003,Medellin -  Colombia,Homicide
02/13/2003,Florencia -  Caqueta -  Colombia,Terrorist Action
02/14/2003,Cali -  Colombia,Homicide
03/25/2003,Cerro Del Sol -  Municipio De Paujil -  Caqueta -  Colombia,Air Accident
03/25/2003,Cerro Del Sol -  Municipio De Paujil -  Caqueta -  Colombia,Air Accident
03/25/2003,Cerro Del Sol -  Municipio De Paujil -  Caqueta -  Colombia,Air Accident
04/07/2003,Tablon De Gomez Vereda Las Mesas -  Narino -  Colombia,Air Accident
07/27/2003,Mirador De Antioquia -  San Jeronimo -  Colombia,Veh. Accident-Auto
07/29/2003,Alcala -  Colombia,Homicide
08/05/2003,Bogota -  Colombia,Homicide
08/17/2003,Sasaima -  Colombia,Homicide
08/19/2003,Bogota -  Colombia,Homicide
09/07/2003,Medellin -  Colombia,Veh. Accident-Auto
09/12/2003,Kilometro 84 Via Tulua -  Buga -  Colombia,Veh. Accident-Bus
09/22/2003,Soledad -  Colombia,Homicide
10/08/2003,Risaralda Clinic -  Bogota -  Columbia,Unknown
10/15/2003,Envigado -  Colombia,Homicide
12/12/2003,Parque Principal De Usaquen -  Bogota -  Colombia,Veh. Accident-Auto
12/27/2003,Cali -  Colombia,Homicide
01/06/2004,Clinica Rey David -  Cali -  Colombia,Homicide
02/14/2004,Armenia -  Colombia,Homicide
03/17/2004,Bogota -  Colombia,Veh. Accident-Auto
05/01/2004,Bogota -  Colombia,Homicide
05/28/2004,Cali -  Colombia,Homicide
05/28/2004,Cali -  Colombia,Homicide
07/09/2004,Alvarado -  Tolima -  Colombia,Veh. Accident-Auto
07/09/2004,Alvarado -  Tolima -  Colombia,Veh. Accident-Auto
02/24/2005,Cali -  Colombia,Homicide
03/26/2005,Bogota -  Colombia,Homicide
04/12/2005,Clinica Bucaramanga -  Bucaramanga -  Colombia,Drug-Related
05/15/2005,Club Mesa De Yeguas -  La Mesa -  Cundinamarca -  Colombia,Drowning
06/04/2005,Cali -  Colombia,Homicide
06/06/2005,Medellin -  Colombia,Homicide
07/17/2005,Clinica Nicolas De Federman -  Bogota -  Colombia,Veh. Accident-Auto
08/19/2005,Barranquilla -  Colombia,Homicide
09/19/2005,Bogota -  Colombia,Homicide
10/01/2005,Bucaramanga -  Colombia,Suicide
10/23/2005,Sector Aeropuerto Las Torres -  Rionegro -  Colombia,Veh. Accident-Auto
12/24/2005,Cali -  Colombia,Air Accident
12/24/2005,Zipaquira -  Colombia,Homicide
02/04/2006,Armenia -  Quindio -  Colombia,Homicide
03/03/2006,Santa Rosa De Cabal -  Colombia,Homicide
07/02/2006,Medellin -  Colombia,Homicide
07/15/2006,Medellin -  Colombia,Homicide
07/20/2006,Bogota -  Colombia,Homicide
09/05/2006,Barranquilla -  Colombia,Homicide
02/17/2007,San Luis Antioquia -  Colombia,Veh. Accident-Auto
02/17/2007,San Luis Antioquia -  Colombia,Veh. Accident-Auto
03/06/2007,Parque Tairona -  Santa Marta -  Colombia,Drowning
03/20/2007,Calle 63 Carrera 13 -  Bogota -  Colombia,Veh. Accident-Auto
03/29/2007,Cali -  Colombia,Homicide
04/10/2007,Barranquilla -  Colombia,Homicide
07/04/2007,San Jorge Pereira -  Colombia,Suicide
09/01/2007,San Jeronimo -  Colombia,Drowning
09/22/2007,Cali -  Colombia,Homicide
12/17/2007,Floridablanca -  Colombia,Homicide
02/12/2008,Tulua -  Columbia,Suicide
04/12/2008,Bogota -  Colombia,Homicide



