Date,City,Cause of Death
10/07/2002,San Jose -  Costa Rica,Suicide
11/16/2002,San Jose -  Costa Rica,Suicide
12/07/2002,Alajuela -  Costa Rica,Suicide
12/27/2002,San Jose -  Costa Rica,Veh. Accident-Auto
01/04/2003,San Pedro -  San Jose -  Costa Rica,Homicide
01/15/2003,Atenas -  Alajuela -  Costa Rica,Veh. Accident-Motorcycle
01/19/2003,Puntarenas -  Costa Rica,Drug-Related
01/23/2003,San Jose -  Costa Rica,Homicide
02/10/2003,San Jose -  Costa Rica,Veh. Accident-Pedestrian
02/16/2003,Escazu -  San Jose -  Costa Rica,Natural Disaster
02/28/2003,Piedra La Chancha -  Puntarenas -  Costa Rica,Drowning
03/19/2003,Highway To Nicoya -  Costa Rica,Veh. Accident-Auto
03/22/2003,Lomas De Ayarco -  San Jose -  Costa Rica,Other Accident
04/12/2003,Esterillos Beach -  Puntarenas -  Costa Rica,Drowning
05/16/2003,Coco Island -  Costa Rica,Other Accident
05/31/2003,Dominical -  Puntarenas -  Costa Rica,Veh. Accident-Auto
06/09/2003,Puntarenas -  Costa Rica,Suicide
06/24/2003,San Jose -  Costa Rica,Suicide
07/01/2003,Escazu -  San Jose -  Costa Rica,Other Accident
07/08/2003,Puntarenas -  Costa Rica,Suicide
07/10/2003,Coto Brus -  Puntarenas -  Costa Rica,Air Accident
07/10/2003,San Vito De Corredores -  Puntarenas -  Costa Rica,Air Accident
07/25/2003,Hotel Presidente -  San Jose -  Costa Rica,Other Accident
08/16/2003,Cacao Villas -  Limon -  Costa Rica,Veh. Accident-Auto
08/25/2003,Calle Blancos -  San Jose -  Costa Rica,Homicide
09/10/2003,Near Murcielago Island -  Guanacaste -  Costa Rica,Drowning
10/03/2003,San Pedro De Montes De Oca -  San Jose -  Costa Rica,Drug-Related
10/27/2003,Playa Naranjo -  Puntarenas -  Costa Rica,Homicide
11/17/2003,Guapil Beach -  Puntarenas -  Costa Rica,Drowning
11/21/2003,Potrero Beach -  Santa Cruz -  Guanacaste -  Costa Rica,Drowning
12/08/2003,Nicoya -  Guanacaste -  Costa Rica,Drug-Related
12/17/2003,Highway 150 Mtsw North From Melia Cariari Entrance -  Belen -  Heredia -  Costa Rica,Veh. Accident-Auto
12/23/2003,San Jose -  Costa Rica,Suicide
02/06/2004,On The Road In La Garita -  Alajuela -  Costa Rica,Veh. Accident-Auto
03/17/2004,Puntarenas -  Costa Rica,Suicide
03/19/2004,Bijagua -  Alajuela -  Costa Rica,Other Accident
03/27/2004,Near Bijagual Waterfall -  Turrubares -  San Jose -  Costa Rica,Other Accident
04/15/2004,Escazu -  San Jose -  Costa Rica,Veh. Accident-Pedestrian
04/19/2004,San Jose -  Costa Rica,Other Accident
06/05/2004,Langosta Beach -  Tamarindo Guanacaste -  Costa Rica,Drowning
06/14/2004,Ciudad Neily Hospital -  Puntarenas -  Costa Rica,Veh. Accident-Auto
06/26/2004,Puntarenas -  Costa Rica,Homicide
07/04/2004,Mata Palo Cape -  Puntarenas -  Costa Rica,Maritime Accident
07/12/2004,Santa Cruz -  Guanacuaste -  Costa Rica,Other Accident
08/04/2004,Puntarenas -  Costa Rica,Drowning
08/14/2004,Llorente De Tibas -  San Jose -  Costa Rica,Homicide
