Date,City,Cause of Death
11/23/2002,Vedado -  Havana -  Cuba,Suicide
01/09/2003,Yaguajay -  Sancti- Spiritus -  Cuba,Veh. Accident-Auto
01/09/2003,Yaguajay -  Sancti-spiritus -  Cuba,Veh. Accident-Auto
06/13/2003,On The Way To Gustavo Aldereguia Hospital -  Havana -  Cuba,Veh. Accident-Auto
06/23/2003,On The Way To Luis Diaz Soto Hospital -  Havana -  Cuba,Veh. Accident-Auto
06/23/2003,Via Blanca E/ Monumental Y Micro 4 -  Havana Del Este -  Cuba,Veh. Accident-Auto
01/19/2004,Havana -  Cuba,Suicide
02/26/2004,Varadero -  Matanzas -  Cuba,Drowning
06/16/2008,Havana -  Cuba,Veh. Accident-Auto



