Date,City,Cause of Death
08/14/2003,Nizbor -  Czech Republic,Suicide
08/24/2003,Prague -  Czech Republic,Veh. Accident-Auto
09/10/2003,Brno Bohunice -  Czech Republic,Other Accident
10/14/2003,Prague -  Czech Republic,Veh. Accident-Auto
04/29/2004,Pisek -  Czech Republic,Suicide
07/08/2004,Prague -  Czech Republic,Homicide
07/08/2004,Prague -  Czech Republic,Homicide
09/24/2004,Prague -  Czech Republic,Suicide
10/04/2004,Borek -  Czech Republic,Suicide
11/23/2004,Prague -  Czech Republic,Veh. Accident-Auto
08/14/2005,Opava -  Czech Republic,Other Accident
08/24/2006,Prague -  Czech Republic,Suicide
01/06/2007,Prague -  Czech Republic,Maritime Accident
06/01/2007,Czech Republic ,Suicide
01/30/2008,Prague -  Czech Republic,Homicide



