Date,City,Cause of Death
10/29/2002,Road Santana To Nizao -  Bani -  Dominican Republic,Other Accident
11/04/2002,San Isidro Air Base -  Santo Domingo -  Dominican Republic,Air Accident
11/24/2002,Santo Domingo -  Dominican Republic,Homicide
12/11/2002,Provincia La Vega -  Dominican Republic,Veh. Accident-Auto
12/22/2002,On The Road To La Romana -  Dominican Republic,Veh. Accident-Auto
12/22/2002,Santo Domingo -  Dominican Republic,Veh. Accident-Auto
12/24/2002,Santo Domingo -  Dominican Republic,Natural Disaster
12/30/2002,Galeton Beach -  Cabrera -  Nagua -  Dominican Republic,Drowning
01/14/2003,Higuey -  Dominican Republic,Drowning
02/09/2003,La Romana -  Dominican Republic,Suicide
02/18/2003,San Pedro De Macoris -  Dominican Republic,Homicide
02/23/2003,Santiago -  Dominican Republic,Homicide
03/16/2003,Bavaro -  Higuey -  Dominican Republic,Drowning
03/29/2003,Road Of Sabaneta Yasica-puerto Plata -  Dominican Republic,Veh. Accident-Auto
03/29/2003,San Pedro De Macoris -  Dominican Republic,Veh. Accident-Motorcycle
04/27/2003,Santiago -  Dominican Republic,Other Accident
05/11/2003,Los Arrecifres De La Avenida Espana -  Santo Domingo -  Dominican Republic,Drowning
05/19/2003,Moca -  Dominican Republic,Homicide
05/25/2003,Puerto Plata -  Dominican Republic,Other Accident
06/09/2003,Puerto Plata -  Dominican Republic,Homicide
06/20/2003,Santo Domingo -  Dominican Republic,Homicide
07/13/2003,Santo Domingo -  Dominican Republic,Homicide
07/14/2003,Santo Domingo -  Dominican Republic,Other Accident
09/26/2003,Penuela Esperanza -  Provincia Valverde -  Dominican Republic,Homicide
10/04/2003,Las Lagunas De Naibon -  Higuey -  Dominican Republic,Drowning
10/27/2003,San Felipe -  Santo Domingo -  Dominican Republic,Homicide
10/30/2003,Santo Domingo -  Dominican Republic,Homicide
12/11/2003,Santiago -  Dominican Republic,Homicide
12/12/2003,Santo Domingo -  Dominican Republic,Homicide
12/26/2003,Clinica Abel Gonzalez -  Santo Domingo -  Dominican Republic,Veh. Accident-Auto
01/06/2004,Santiago -  Dominican Republic,Veh. Accident-Auto
01/08/2004,Santo Domingo -  Dominican Republic,Homicide
01/23/2004,Santiago -  Dominican Republic,Homicide
01/30/2004,Santo Domingo -  Dominican Republic,Homicide
02/09/2004,Santo Domingo -  Dominican Republic,Veh. Accident-Auto
03/07/2004,Km 3 -  Road From Sosua -  Puerto Plata -  Dominican Republic,Veh. Accident-Auto
03/29/2004,At The Duarte Highway -  From The City Of Santiago To La Vega -  Dominican Republic,Veh. Accident-Auto
03/29/2004,Mirador Norte -  Santo Domingo -  Dominican Republic,Homicide
04/15/2004,Santo Domingo -  Dominican Republic,Veh. Accident-Auto
04/22/2004,Bonao -  Dominican Republic,Homicide
04/24/2004,Los Hidalgos -  Puerto Plata -  Dominican Republic,Veh. Accident-Motorcycle
05/04/2004,Santo Domingo -  Dominican Republic,Veh. Accident-Pedestrian
05/30/2004,Santo Domingo -  Dominican Republic,Homicide
06/05/2004,Km. 16 -  Road From Juan Dolio To San Pedtro De Macoris -  Dominican Republic,Veh. Accident-Auto
06/13/2004,San Pedro De Macoris -  Dominican Republic,Homicide
06/17/2004,San Pedro De Macoris -  Dominican Republic,Homicide
06/22/2004,Brisas Del Mar -  La Romana -  Dominican Republic,Homicide
07/04/2004,Nagua -  Dominican Republic,Homicide
07/10/2004,El Higuerito -  Moca -  Dominican Republic,Other Accident
07/12/2004,Avenida 27 De Febrero -  Santo Domingo -  Dominican Republic,Veh. Accident-Auto
07/13/2004,Cabrera -  Nagua -  Dominican Republic,Veh. Accident-Motorcycle
07/29/2004,Santiago Highway -  Santiago -  Dominican Republic,Veh. Accident-Auto
08/09/2004,Santo Domingo -  Dominican Republic,Other Accident
08/29/2004,Carretera Higuey-bavaro -  Km 18 -  Bavaro -  Dominican Republic,Veh. Accident-Auto
08/29/2004,Carretera Higuey-bavaro -  Km 18 -  Bavaro -  Dominican Republic,Veh. Accident-Auto
08/29/2004,Carretera Higuey-bavaro -  Km 18 -  Bavaro -  Dominican Republic,Veh. Accident-Auto
09/15/2004,San Francisco De Macoris -  Dominican Republic,Homicide
10/09/2004,Carr. Sanchez -  Km 9.5 -  Buenos Aires -  Mir. Norte -  Santo Domingo -  Dominican Republic,Veh. Accident-Auto
11/01/2004,Fantino -  Cotui -  Dominican Republic,Homicide
12/07/2004,San Pedro De Macoris -  Dominican Republic,Homicide
12/25/2004,Autovia Del Este -  San Pedro De Macoris -  Dominican Republic,Veh. Accident-Motorcycle
01/01/2005,Winston Churchill Avenue -  Urb. Claret -  Santo Domingo -  Dominican Republic,Veh. Accident-Auto
01/21/2005,Santiago -  Dominican Republic,Homicide
01/26/2005,Santiago -  Dominican Republic,Homicide
02/02/2005,Costambar -  Puerto Plata -  Dominican Republic,Drowning
03/01/2005,Santiago -  Dominican Republic,Homicide
03/03/2005,Santiago -  Dominican Republic,Suicide
03/04/2005,Higuey -  Dominican Republic,Homicide
03/04/2005,Puerto Plata -  Dominican Republic,Homicide
03/07/2005,Higuey Public Prison -  Higuey -  Dominican Republic,Other Accident
03/07/2005,Higuey Public Prison -  Higuey -  Dominican Republic,Other Accident
05/08/2005,Santo Domingo -  Dominican Republic,Veh. Accident
05/12/2005,Bonao -  Dominican Republic,Homicide
05/12/2005,Santo Domingo -  Dominican Republic,Suicide
06/07/2005,San Cristobal -  Dominican Republic,Homicide
06/09/2005,Bani -  Dominican Republic,Veh. Accident-Auto
06/12/2005,Bavaro -  Higuey -  Dominican Republic,Veh. Accident-Pedestrian
06/19/2005,Centro Medico Munoz Y Pichardo -  Esperanza -  Valverde -  Dominican Republic,Veh. Accident-Motorcycle
06/26/2005,Autopista Las Americas -  Santo Domingo -  Dominican Republic,Veh. Accident-Pedestrian
06/28/2005,Ave. Central -  Esquina Entrada Casa De Campo -  La Romana -  Dominican Republic,Veh. Accident-Auto
07/30/2005,Santo Domingo -  Dominican Republic,Homicide
08/14/2005,Playa De Boca Chica -  Santo Domingo -  Dominican Republic,Other Accident
08/21/2005,Basan Pedro De Macoris -  Dominican Republic,Homicide
09/24/2005,Calle Sanchez #52 -  Vicente Noble -  Prov. Barahona -  Dominican Republic,Drowning
09/24/2005,Centro Medico Punta Cana -  Higuey -  Dominican Republic,Other Accident
05/27/2006,Santo Domingo -  Dominican Republic,Homicide
06/10/2006,Santo Domingo -  Dominican Republic,Suicide
10/11/2006,Sosua -  Puerto Plata -  Dominican Republic,Air Accident
10/13/2006,Puerto Plata -  Dominican Republic,Homicide
10/27/2006,Santo Domingo -  Dominican Republic,Other Accident
01/04/2007,Gregorio Luperon Avenue -  Yasica -  Puerto Plata,Veh. Accident-Auto
02/08/2007,Santiago -  Dominican Republic,Homicide
04/14/2007,La Romano -  Dominican Republic,Veh. Accident-Auto
