Date,City,Cause of Death
11/11/2002,Higuera-paute Highway -  Ecuador,Veh. Accident-Auto
12/04/2002,Via Samborondon -  Guayaquil -  Ecuador,Drowning
02/23/2003,Eloy Alfaro Y Portete -  Equador,Veh. Accident-Auto
04/21/2003,Guayaquil -  Ecuador,Suicide
09/24/2003,Quito -  Ecuador,Homicide
01/27/2004,Quito -  Ecuador,Other Accident
02/15/2004,Hacienda San Martin Latacunga -  Ecuador,Drug-Related
02/18/2004,Road Quevedo - Santo Domingo -  Ecuador,Veh. Accident-Auto
02/18/2004,Road Quevedo - Santo Domingo -  Ecuador,Veh. Accident-Auto
02/18/2004,Road Quevedo - Santo Domingo -  Ecuador,Veh. Accident-Auto
07/11/2004,Way Manta -  Guayaquil -  Ecuador,Veh. Accident-Auto
08/15/2004,Carlos Ibarra 176 -  Quito -  Ecuador,Other Accident
09/20/2004,Isla Escalante -  Puna -  Ecuador,Homicide
12/07/2004,Carretera Via Pallatanga-ambato -  Ecuador,Other Accident
12/29/2004,Quito -  Ecuador,Suicide
10/10/2005,Quito -  Ecuador,Veh. Accident-Pedestrian
03/21/2006,Guayaquil -  Km 25 Via A La Costa -  Guayas -  Ecuador,Veh. Accident-Auto
04/13/2006,Guayaquil -  Ecuador,Homicide
03/01/2007,Machala-guayaquil Highway -  Naranjal -  Ecuador,Homicide
04/21/2007,Conocoto -  Quito -  Pichincha -  Ecuador,Suicide
08/10/2007,Km 43 Via Quininde Esmeraldas -  Esmeraldas,Veh. Accid-Auto
09/19/2007,Via Guayaquil-samborondon -  Samborondon -  Guayas -  Ecuador,Veh. Accid-Pedestr.
10/06/2007,Giron -  Azuay -  Ecuador,Other Accident-Mountain
04/12/2008,Quito - pichincha -  Ecuador,Homicide



