Date,City,Cause of Death
01/21/2003,Road Of Newiba -  South Sinai -  Egypt,Veh. Accident-Auto
05/06/2003,Bitash -  Agamy -  Alexandria -  Egypt,Homicide
06/01/2003,Haram -  Giza -  Egypt,Veh. Accident-Auto
08/06/2003,Alexandria -  Egypt,Veh. Accident-Bus
10/09/2003,Maadi -  Cairo -  Egypt,Veh. Accident-Pedestrian
01/03/2004,Sharm El Sheikh -  South Sinai -  Egypt,Air Accident
01/03/2004,Sharm El Sheikh -  South Sinai -  Egypt,Air Accident
01/03/2004,Sharm El Sheikh -  South Sinai -  Egypt,Air Accident
01/03/2004,Sharm El Sheikh -  South Sinai -  Egypt,Air Accident
01/03/2004,Sharm El Sheikh -  South Sinai -  Egypt,Air Accident
02/12/2004,Sharm El Sheikh -  South Sinai -  Egypt,Maritime Accident
10/07/2004,Taba -  Egypt,Terrorist Action
11/15/2004,Qena -  Egypt,Other Accident
12/15/2004,Autostrad Road -  May 15th City -  Helwan -  Cairo,Veh. Accident-Auto
04/08/2005,Cairo -  Egypt,Terrorist Action
05/14/2005, assafra -  Alexander -  Egypt,Veh. Accident-Auto
07/23/2005,Sharm El Sheikh -  South Sinai -  Egypt,Terrorist Action
08/13/2005,Diplomatic Village -  Sidi Abdel Rahman -  North Coast -  Matrouf -  Egypt,Other Accident
09/07/2005,Beer Alabd City -  North Sinai -  Egypt,Veh. Accident-Auto
09/07/2005,Beer Alabd City -  North Sinai -  Egypt,Veh. Accident-Auto
12/27/2005,Alexandria -  Egypt,Drug-Related
04/22/2006,Marsa Aalam & Red Sea -  Egypt,Drowning
11/25/2006,Suez -  Egypt,Veh. Accident-Auto
11/25/2006,Suez -  Egypt,Veh. Accident-Auto
04/11/2007,Alexandria -  Egypt,Maritime Accident
06/26/2007,Alexandria -  Egypt,Veh. Accident-Auto
08/24/2007,Alexandria Desert Road -  Wadi El Natroun -  Beheira -  Cairo,Veh. Accid-Auto
08/24/2007,Alexandria Desert Road -  Wadi El Natroun -  Beheira -  Cairo -  Egypt,Veh. Accid-Auto
10/11/2007,Alamereeya Rd -  Alexandria -  Cairo -  Egypt,Veh. Accid-Auto
11/28/2007,Cairo -  Egypt,Other Accident
12/25/2007,Alexandria -  Egpyt,Other Accident



