Date,City,Cause of Death
10/13/2002,San Salvador -  El Salvador,Homicide
10/29/2002,San Ramon -  Mejicanos -  San Salvador -  El Salvador,Homicide
11/07/2002,Usulutan -  El Salvador,Veh. Accident-Auto
01/14/2003,Jiquilisco -  Usulutan  -  El Salvador,Homicide
02/15/2003,Canton Cutumay Camones Santa Ana -  El Salvador,Veh. Accident-Auto
02/15/2003,Canton Cutumay Camones Santa Ana -  El Salvador,Veh. Accident-Auto
03/02/2003,Santa Tecla -  San Salvador -  El Salvador,Homicide
05/03/2003,Playa Miraflores -  Chirilagua -  San Miguel -  El Salvador,Drowning
05/17/2003,San Salvador -  El Salvador,Other Accident
05/20/2003,San Miguel -  El Salvador,Homicide
07/16/2003,El Salvador,Veh. Accident-Auto
07/19/2003,Playa San Antonio Los Blancos -  La Paz -  El Salvador,Drowning
02/05/2004,Crt Panamericana -  Km 136 -  San Miguel -  El Salvador,Veh. Accident-Auto
02/05/2004,Planes De Renderos -  San Salvador -  El Salvador,Homicide
04/08/2004,Carretera A Comalapa Km 32 -  San Salvador -  El Salvador,Veh. Accident-Auto
04/08/2004,Carretera A Comalapa Km 32 -  San Salvador -  El Salvador,Veh. Accident-Auto
04/08/2004,Carretera A Comalapa Km 32 -  San Salvador -  El Salvador,Veh. Accident-Auto
04/24/2004,Playa San Diego -  Puerto De La Libertad -  La Libertad -  El Salvador,Drowning
05/21/2004,Lake Ilopango -  Ilopango -  San Salvador -  El Salvador,Drowning
05/23/2004,Lake Ilopango -  Ilopango -  San Salvador -  El Salvador,Drowning
07/11/2004,Santa Rosa De Lima -  La Union -  El Salvador,Drowning
11/05/2004,Usulutan -  El Salvador,Homicide
11/25/2004,San Salvador -  El Salvador,Homicide
01/14/2005,Santa Tecla -  La Libertad -  El Salvador,Homicide
01/14/2005,Santa Tecla -  La Libertad -  El Salvador,Homicide
02/04/2005,Playa El Majahual -  La Libertad -  El Salvador,Drowning
02/17/2005,Canton Semillero -  San Buenaventura -  Usulutan -  El Salvador,Veh. Accident-Auto
04/06/2005,Santa Ana -  El Salvador,Veh. Accident-Auto
04/30/2005,La Libertad -  El Salvador,Homicide
07/07/2005,Canton San Antonio Los Blancos -  San Luis Ha Herradura -  La Paz -  El Salvador,Drowning
07/12/2005,Zacatecoluca -  El Salvador,Drowning
07/26/2005,Playa San Diego -  Puerto De La Libertad -  La Libertad -  El Salvador,Drowning
10/13/2005,San Salvador -  El Salvador,Homicide
11/24/2005,Canton Las Isletas -  San Pedro Masahuat -  La Paz -  El Salvador,Drowning
12/10/2005,Villa La Laguna -  Chalatenango -  El Salvador,Veh. Accident-Auto
07/13/2006,Santa Ana -  El Salvador,Veh. Accident-Auto
08/05/2006,Santa Ana -  El Salvador,Other Accident
01/09/2007,Rio Lempa -  Canton San Benito -  Usulutan -  El Salvador,Drowning-River
03/05/2007,Caserio Las Crucitas -  Gucotecti -  Cabanas -  El Salvador,Homicide
04/21/2007,Costa Del Sol -  San Luis La Herradura -  La Paz -  El Salvador,Drowning - Pool 
05/19/2007,Playa El Palmacito -  Canton El Palmar -  Tamanique -  La Libertad -  El Salvador,Drowning - Ocean
07/09/2007,San Salvador -  El Salvador,Homicide
01/26/2008,San Salvador -  El Salvador,Other Accident
03/06/2008,San Miguel -  El Salvador,Homicide
04/04/2008,Col. El Paraiso & Bulevard Venezuela -  San Salvador -  El Salvador,Veh. Accid-Auto
06/21/2008,La Libertad -  El Salvador,Veh. Accident-Auto



