Date,City,Cause of Death
07/09/2003,Addis Ababa -  Ethiopia,Veh. Accident-Auto
01/24/2004,Meke Town -  130 Km Far From Addis Ababa,Veh. Accident-Auto
11/29/2007,Konso -  Ethiopia,Veh. Accid-Auto
11/29/2007,Konso -  Ethiopia,Veh. Accid-Auto
12/28/2008,Addis Ababa -  Ethiopia,Suicide
01/31/2009,Addis Ababa -  Ethiopia,Homicide
01/10/2011,Addis Ababa -  Ethiopia,Homicide
03/30/2011,Addis Ababa -  Ethiopia,Veh. Accid-Auto
03/31/2011,Addis Ababa -  Ethiopia,Other Accident
04/24/2011,Addis Ababa -  Ethiopia,Suicide
01/18/2012,Woregarso -  Ethiopia,Vehicle Accident - Bus
03/08/2012,Addis Ababa -  Ethiopia,Other Accident
03/11/2012,Addis Ababa -  Ethiopia,Vehicle Accident - Auto
11/14/2012,Bahir Dar -  Ethiopia,Vehicle Accident - Bus
06/11/2013,Addis Ababa -  Ethiopia,Veh. Accid-Other
09/08/2013,Dire Dawa -  Ethiopia,Drowning
11/22/2013,Addis Ababa -  Ethiopia,Veh. Accid-Auto
08/14/2014,Harer,Veh. Accid-Auto
01/02/2015,Durbete Achenfer,Veh. Accid-Auto
10/01/2015,Ayder Referral Hospital - Mekelle - Region 1,Other Accident
02/17/2016,Addis Ababa,Suicide
07/31/2017,Mojjo -  Oromia Region,Veh. Accid-Auto
09/06/2017,Qoqa -  Oromia Region,Veh. Accid-Auto
06/23/2018,Debre Markos -  Misrak Gojjam,Veh. Accid-Auto



