Date,City,Cause of Death
02/24/2004,Naviti -  Yasawa -  Fiji,Drowning
03/17/2004,Fiji,Drowning
08/11/2004,Bounty Island Sea Front -  Yasawa -  Lautoka -  Fiji,Drowning
05/10/2005,Matangi Island -  Taveuni -  Fiji,Drowning
11/20/2005,Huahine -  Tahiti -  French Polynesia,Drowning
11/13/2006,Suva -  Fiji,Other Accident
02/15/2007,South Seas Island -  Nadi -  Fiji,Drowning - Ocean
06/13/2007,Bora Bora -  Tahiti,Drowning 
07/08/2007,Suva -  Rewa -  Fiji,Homicide
12/06/2007,Lautoka -  Fiji,Other Accident
05/24/2008,Navua -  Navua -  Fiji,Drowning
08/25/2008,Castaway Island Resort - lautoka,Drowning
08/25/2008,Monriki Island -  Yasawa -  Fiji - lautoka,Drowning
09/23/2008,Outrigger Reef Resort - sigatoka,Drowning
01/09/2009,Nunue -  Bora Bora -  Fiji,Drowning
04/06/2009,Sau Bay -  Vanua Levu -  Fiji,Drowning
04/06/2009,Sau Bay - vanua Levu -  Fiji,Other Accident
07/04/2009,Moorea - Fiji,Drowning
10/10/2009,Namulomulon -  Fiji,Veh. Accid-Auto
11/13/2009,Cakaudrove -  Fiji,Maritime Accident
03/27/2010,Soqulu - Taveuni - Taveuni -  Fiji,Drowning
04/01/2010,Suva -  Fiji,Suicide
06/13/2010,Suva -  Fiji,Maritime Accident
09/05/2010,Suva -  Fiji ,Drowning
09/09/2011,Tahiti -  Fiji,Drowning
11/27/2011,Tahiti -  Fiji,Drowning
07/06/2015,Lautoka,Veh. Accid-Other
07/21/2015,Waiyevo -  Taveuni,Drowning
08/20/2015,Bora Bora -  Tahiti,Drowning
10/21/2015,Bora Bora - Tahiti,Drowning
11/13/2015,Moorea - Papeete,Drowning



