Date,City,Cause of Death
11/06/2002,Nancy -  France,Train Accident
11/06/2002,Nancy -  France,Train Accident
11/06/2002,Nancy -  France,Train Accident
11/06/2002,Nancy -  France,Train Accident
11/06/2002,Nancy -  France,Train Accident
01/08/2003,Paris -  France,Suicide
02/07/2003,Theillay -  France,Veh. Accident-Auto
05/02/2003,Toulouse -  France,Suicide
05/14/2003,Les Gets -  France,Suicide
06/02/2003,Fleury-merogis -  France,Suicide
07/02/2003,Le Bouscat -  France,Suicide
08/31/2003,Hericy-sur-seine -  France,Suicide
02/08/2004,Hospital Pitie Salpetriere -  Paris -  France,Other Accident
03/21/2004,Paris -  France,Suicide
04/11/2004,Grenoble -  Varces -  France,Suicide
04/18/2004,On The A104 Highway Near The Two Of Mitry-mory -  France,Veh. Accident-Bus
04/26/2004,149 Rue De Sevres -  Paris -  France,Veh. Accident-Bus
05/03/2004,Chamonix Mont Blanc -  France,Other Accident
05/05/2004,Rouen -  France,Suicide
05/08/2004,Albertville -  France,Suicide
07/16/2004,Limoges -  France,Suicide
07/20/2004,Paris -  France,Suicide
08/16/2004,Hospital Henri Modor -  Creteil -  France,Other Accident
09/10/2004,Route Des Cloux -  Champniers -  France,Veh. Accident-Auto
09/25/2004,Under A64 Highway Bridge -  Mascaras -  Lieu Dit L'arret D'arret -  France,Veh. Accident-Auto
12/17/2004,Paris -  France,Suicide
04/14/2005,Paris -  France,Other Accident
05/23/2005,Paris -  France,Suicide
07/17/2005,La Costelle -  Le Beulay -  France,Drowning
08/05/2005,Fronton -  Haute-garonne -  France,Veh. Accident-Auto
08/12/2005,Paris -  France,Suicide
09/05/2005,Annecy Le Vieux -  France,Homicide
09/08/2005,Roquebrune -  France,Veh. Accident-Auto
09/23/2005,Roissy Charles De Gaulle Aiprot -  Le Mesnil Amelot -  France,Other Accident
10/08/2005,Paris -  France,Veh. Accident-Auto
11/01/2005,Charenton Le Pont -  France,Drowning
11/17/2005,Paris -  France,Suicide
12/21/2005,Lle Vesinet -  France,Suicide
12/28/2005,80 Avenue G. Pompidou -  Perigueux -  France,Other Accident
03/06/2006,Tignes -  France,Other Accident
05/18/2006,Chateauroux -  France,Veh. Accident-Auto
05/19/2006,Chateauroux -  France,Veh. Accident-Auto
02/10/2007,La Pas De La Ville -  Gresse En Vercors -  France,Air Accident
02/10/2007,La Pas De La Ville -  Gresse En Vercors -  France,Air Accident
02/11/2007,La Pas De La Ville -  Gresse En Vercors -  France,Air Accident
03/05/2007,Paris -  France ,Suicide
09/11/2007,Chenmin Des Oliviers - tavel -  France,Suicide
11/21/2007,Fontainebleau -  France,Drowning
07/10/2008,Paris -  France,Suicide
09/21/2008,Paris -  France,Suicide
10/27/2008,Neuille-le-lierre -  France,Veh. Accid-Auto
03/30/2009,Monjaux -  France,Suicide
03/31/2009,Eyguieres -  France,Other Accident
06/08/2009,Atlantic Ocean Off The Archipelago Fernando De Noronha -  Brazil- North 02? 58'8\" /west 030? 35'4\",Air Accident
06/08/2009,Atlantic Ocean Off The Archipelago Fernando De Noronha -  Brazil- North 02? 58'8\" /west 030? 35'4\",Air Accident
10/13/2009,Aulnay Sous Bois -  France,Homicide
12/31/2009,Asco -  France,Other Accident
03/11/2010,3 Rue Elysee Reclus - Paris 75007,Other Accident
04/28/2010,Tournie -   - 46250 Gindou,Other Accident
06/28/2010,Etap Hotel -  Prom. des Anglais - Nice 06000,Suicide
07/05/2010,Cannes -  France,Drowning
09/30/2010,Nice -  France,Veh. Accid-Pedestr.
11/17/2010,Paris -  France,Suicide
04/14/2011,Paris -  France,Other Accident
05/16/2011,Avranches -  France,Other Accident
06/07/2011,Saint Nazaire -  France,Suicide
08/10/2011,Dognen -  Paris -  France,Drowning
08/22/2011,Medreac -  Paris -  France,Veh. Accid-Motorcy.
10/16/2011,Haute-Savoie -  France,Other Accident
11/14/2011,Angers -  France,Suicide
11/24/2011,Saint-Lanne -  France,Veh. Accid-Auto
12/19/2011,Paris -  France,Suicide
01/23/2012,Thenac -  France,Suicide
03/12/2012,Paris -  France,Suicide
06/02/2012,Villepinte -  France,Other Accident
06/15/2012,Le Porge -  France,Drowning
07/13/2012,Le Castellet -  France,Air Accident
07/13/2012,Le Castellet -  France,Air Accident
07/13/2012,Le Castellet -  France,Air Accident
08/17/2012,Izaguette -  France,Drowning
09/10/2012,Paris -  France,Suicide
09/14/2012,Nice -  France,Vehicle Accident - Motorcycle
01/10/2013,Roudouallec -  France,Veh. Accid-Auto
03/10/2013,Paris -  France,Suicide
05/18/2013,Saint Malo -  France,Maritime Accident
07/11/2013,Nice -  France,Veh. Accid-Bus
08/18/2013,Menton -  France,Maritime Accident
09/08/2013,Chamonix-Mont-Blanc -  France,Other Accident
09/14/2013,Chamonix Mont-Blanc -  France,Other Accident
09/14/2013,Chateauroux -  France,Veh. Accid-Auto
10/13/2013,Roujan -  Heraut -  France,Drowning
01/13/2014,Saint Hilaire De Riez,Suicide
06/18/2014, Choisy-Le-Roi,Drowning
09/28/2014,Nice,Suicide
10/28/2014,Voisines,Suicide
10/31/2014,Honfleur,Suicide
02/21/2015,La Roche-Bernard,Drowning
03/21/2015,Nuits-Saint-Georges,Other Accident
03/23/2015,Saint-Antoine-Cumond,Suicide
03/24/2015,Prads-Haute-Bleone -  Alpes-De-Haute-Provence,Air Accident
03/24/2015,Prads-Haute-Bleone -  Alpes-De-Haute-Provence,Air Accident
03/24/2015,Prads-Haute-Bleone -  Alpes-De-Haute-Provence,Air Accident
04/03/2015,Clamerey -  Cote dOr,Suicide
04/09/2015,Montreuil -  Seine-Saint-Denis,Suicide
04/15/2015,Paris,Suicide
04/18/2015,Paris,Suicide
06/06/2015,Bobigny -  Seine-Saint-Denis,Suicide
07/06/2015,Alpes-Maritimes,Suicide
07/29/2015,Le Coudray-Macouard -  Maine-et-Loire,Veh. Accid-Auto
08/13/2015,Paris,Suicide
10/22/2015,Chamonix,Other Accident
11/13/2015,Paris,Terrorist Action
01/29/2016,Maisons-Alfort,Suicide
02/17/2016,Paris,Suicide
04/13/2016,Chenonceau,Other Accident
06/04/2016,Dunkerk,Drowning
06/22/2016,Authon,Air Accident
06/29/2016,Chamonix,Other Accident
07/06/2016,Les Houches -  Haute-Savoie,Other Accident
07/14/2016,Nice -  Alpes-Maritimes,Terrorist Action
07/14/2016,Nice -  Alpes-Maritimes,Terrorist Action
07/14/2016,Nice -  Alpes-Maritimes,Terrorist Action
08/11/2016,Saint-Julien-Montdenis -  Savoie,Other Accident
03/23/2017,Romainville,Suicide
04/06/2017,Montreuil,Homicide
04/27/2017,Sioniac,Other Accident
05/28/2017,Lyon,Suicide
07/15/2017,Paris,Suicide
08/06/2017,Loireauxence -  Loire-Atlantic,Veh. Accid-Auto
10/14/2017,Paris,Drowning
11/24/2017,Verdun -  Meuse,Veh. Accid-Auto
01/23/2018,Nantes -  Loire-Atlantique,Veh. Accid-Auto
03/01/2018,Marsan -  Gers,Suicide
03/13/2018,Albertville -  Savoie,Other Accident
06/08/2018,Kaysersberg -  Haut-Rhin,Suicide
06/20/2018,Petit-Bornand-Les-Glieres -  Haut-Savoie,Other Accident



