Date,City,Cause of Death
07/23/2003,Chuuk State -  Federated States Of Micronesia,Drowning
01/06/2007,Pohnpei -  Fms ,Drowning - Ocean
11/13/2008,Colonia -  Yap -  Federated States Of Micronesia,Other Accident
06/18/2009,Pohnpei -  Kolonia -  Federated States Of Micronesia,Homicide
11/19/2009,Colonia -  Micronesia,Homicide
09/30/2010,Weno - Chuuk States -  Federated States of Micronesia,Other Accident
10/15/2010,Yap -  Federated States of Micronesia,Drowning
08/06/2011,Nett -  Pohnpei -  Micronesia,Other Accident
12/06/2012, Chuuk -  Federated States Of Micronesia,Maritime Accident
03/13/2014,Weno - Chuuk State,Other Accident
08/22/2015,Lelu -  Kosrae,Drowning
12/10/2015,Chuuk,Drowning
02/28/2017,Yap,Suicide



