Date,City,Cause of Death
10/13/2002,Hessdorf -  Germany,Suicide
10/15/2002,Berlin Lichtenrade -  Germany,Homicide
10/24/2002,Boeblingen -  Germany,Other Accident
11/09/2002,Highway Bisfeld -  Germany,Veh. Accident-Auto
11/24/2002,Roth -  Bavaria -  Germany,Homicide
12/22/2002,Wiesbaden -  Germany,Suicide
01/27/2003,State Road B 13 -  Ansbach And Burgoberbach -  Bavaria -  Germany,Veh. Accident-Auto
02/22/2003,Erlensee -  Germany,Other Accident
03/05/2003,Rodenbach -  Germany,Other Accident
03/20/2003,Eggolsheim -  Bavaria -  Germany,Train Accident
03/28/2003,Wiesbaden -  Germany,Suicide
03/30/2003,Bad Duerrheim -  Germany,Veh. Accident-Auto
05/19/2003,Stuttgart-moehringen -  Germany,Homicide
05/24/2003,Bergheim-glessen -  Germany,Suicide
06/30/2003,Landshut -  Germany,Other Accident
07/30/2003,Freiburg Im Breisgau -  Germany,Suicide
08/06/2003,Saarbrucken -  Germany,Veh. Accident-Auto
09/03/2003,State Road 13 -  Sommerhausen -  Bavaria -  Germany,Veh. Accident-Auto
09/24/2003,Arenrath -  Germany,Veh. Accident-Auto
01/12/2004,Rottenbuch -  Bavaria -  Germany,Suicide
01/30/2004,Oberursel -  Germany,Suicide
01/31/2004,Fuerfeld -  Road B420 -  Germany,Veh. Accident-Auto
02/05/2004,Berlin -  Germany,Drug-Related
02/16/2004,Bad Schwalbach Fischbach -  Germany,Other Accident
02/16/2004,Bad Schwalbach Fischbach -  Germany,Other Accident
02/26/2004,Frankfurt Am Main-mitte -  Germany,Suicide
04/02/2004,Hohenahr -  Germany,Veh. Accident-Motorcycle
05/05/2004,Offenbach -  Germany,Suicide
05/14/2004,Leun -  Germany,Veh. Accident-Auto
05/27/2004,Rotenburg -  Germany,Other Accident
06/07/2004,Muecke -  Germany,Suicide
06/19/2004,Krankenhaus Barmherzig Brueder -  Regensburg -  Bavaria -  Germany,Veh. Accident-Pedestrian
06/27/2004,B 23 (state Road) At Km 6000 In Peiting -  Bavaria -  Germany,Veh. Accident-Motorcycle
07/02/2004,Landstuhl -  Germany,Terrorist Action
07/19/2004,Kassel -  Germany,Veh. Accident 
07/21/2004,Naumburg -  Germany,Suicide
08/03/2004,Duisburg -  Germany,Drowning
08/26/2004,Hemmingen -  Hannover -  Germany,Homicide
08/26/2004,Ruesselsheim -  Germany,Veh. Accident-Auto
09/09/2004,L21 -  Dorfstr./strandweg -  Ahrenshoop -  Germany,Veh. Accident
09/20/2004,Kandern -  Germany,Drug-Related
09/22/2004,Mainz Gonsenheim -  Germany,Other Accident
09/30/2004,Bkh Straubing -  Germany,Suicide
01/04/2005,Moerfelden Walldorf -  Germany,Drug-Related
01/10/2005,Lampertheim -  Germany,Suicide
01/24/2005,Gernsbach -  Germany,Veh. Accident-Auto
01/26/2005,Wiesbaden -  Germany,Veh. Accident-Auto
02/02/2005,Landau In Der Pfalz -  Germany,Suicide
02/08/2005,Frankfurt -  Germany,Suicide
03/27/2005,Gruenstadt -  Germany,Suicide
03/31/2005,Hinterzarten -  Germany,Suicide
04/24/2005,Frankfurt Niederrad -  Germany,Suicide
05/01/2005,Mannheim -  Germany,Drug-Related
05/04/2005,Kempen -  Germany,Suicide
05/12/2005,German Federal Road B 19 -  Between Muennerstadt And Neustadt/sand -  Germany,Veh. Accident-Auto
05/25/2005,Wiesbaden -  Germany,Suicide
05/29/2005,Vincenz Krankenhaus -  Germany,Veh. Accident-Auto
06/10/2005,U-bahnof -  Odeonsplatz -  Gleis 2 -  Munich -  Germany,Veh. Accident-Auto
06/25/2005,Sankt Augustin -  Germany,Homicide
07/24/2005,Heidelberg -  Germany,Suicide
10/04/2005,Boppard -  Germany,Other Accident
10/10/2005,Memmingen -  Bavaria -  Germany,Veh. Accident-Auto
10/20/2005,Niederneuendorfer Allee/aalemannufer -  Berlin -  Germany,Veh. Accident-Auto
10/22/2005,Wiesbaden -  Germany,Suicide
11/19/2005,Heubach -  Germany,Suicide
11/20/2005,Fuerth -  Bavaria -  Germany,Other Accident
12/30/2005,Lampertheim -  Germany,Suicide
01/31/2006,Berlin -  Germany,Suicide
02/08/2006,Hospital St. Johannes -  Landstuhl -  Germany,Veh. Accident-Auto
02/08/2006,Im Hoffluerchen 13 -  Wittlich -  Germany,Drug-Related
02/12/2006,Kaiserslautern -  Germany,Veh. Accident-Auto
03/13/2006,Heidenheim-mergelstetten -  Germany,Suicide
03/18/2006,Highway A 65 -  Km 115 - 830 -  Neustadt An Der Weinstrasse -  Germany,Veh. Accident-Auto
03/28/2006,Hoheneckenstrasse 6 -  Ludwigshafen Am Rhein -  Germany,Other Accident
04/02/2006,Buseck -  Germany,Suicide
05/08/2006,Heidelberg -  Germany,Vehic. Accident-Auto
05/22/2006,Wald-michelbach Kreidach -  Germany,Vehic. Accident-Auto
05/23/2006,Heilbronn -  Germany,Vehic. Accident-Auto
05/23/2006,Mannheim -  Germany,Vehic. Accident-Auto
06/15/2006,Heidelberg -  Germany,Maritime Accident
06/29/2006,Engelsbrand-grundbach -  Germany,Suicide
07/03/2006,Schweinfurt -  Bavaria -  Germany,Other Accident
07/10/2006,Vogelsangstrausse -  Germany,Suicide
07/11/2006,Munich -  Bavaria -  Germany,Other Accident
07/11/2006,Munich -  Germany,Other Accident
08/07/2006,Munich -  Germany,Suicide
08/24/2006,Tempelhofer Damm -  Germany,Other Accident
08/29/2006,Nuernberg -  Bavaria -  Geramny,Maritime Accident
09/22/2006,Frensenburg -  Germany,Vehic. Accident-Train
09/22/2006,Frensenburg -  Germany,Vehic. Accident-Train
10/05/2006,Rudolf-buchheir -  Germany,Veh. Accident-Auto
10/14/2006,Bochum -  Germany,Suicide
11/29/2006,Bg Unfalklinik -  Germany,Terrorist Action
01/07/2007,Happurg -  Bavaria -  Germany,Suicide
02/12/2007,Wuerzburg -  Bavaria -  Germany,Other Accident
03/05/2007,Weiden -  Bavaria -  Germany,Other Accident
03/20/2007,Garmisch-partenkirchen -  Bavaria -  Germany,Other Accident
03/24/2007,Ensdorf -  Bavaria -  Germany,Veh. Accident-Auto
03/25/2007,Munich -  Bavaria -  Germany ,Suicide
04/02/2007,Sulzbachtal -  Germany,Homicide
04/07/2007,Neckarsulm -  Germany,Suicide
04/20/2007,Frankfurt -  Germany,Suicide
06/12/2007,Koblenz -  Germany,Veh. Accident-Bus
07/06/2007,Bad Duerkheim -  Germany,Homicide
07/06/2007,Bad Duerkheim -  Germany,Suicide
07/14/2007,Berlin -  Germany,Other Accident
07/17/2007,Wiesbaden-biebirch -  Germany,Suicide
08/04/2007,Heidelberg -  Germany,Maritime Accident
08/19/2007,Leverkusen-rheindorf -  Germany,Suicide
08/23/2007,Frensenburg -  Germany,Other Accident
09/22/2007,Wiesbaden -  Germany,Suicide
09/24/2007,Heidelberg -  Germany,Other Accident
10/06/2007,Niestatel -  Germany,Maritime Accident
10/18/2007,B-9 -  Between Bingen And Trechtingshausen -  Germany,Veh. Accid-Auto
12/30/2007,Bavaria -  Germany,Other Accident
01/06/2008,Hospital \"westpfalzklinikum\" -  67655 Kaiserslautern,Other Accident
01/30/2008,Hamburg -  Germany,Other Accident
02/07/2008,Hospital \"westpfalzklinikum\" -  67655 Kaiserslautern,Maritime Accident
02/18/2008,Ruesselsheim -  Germany,Suicide
02/20/2008,Baumholder -  Germany,Suicide
02/23/2008,Karlsruhe -  Germany,Suicide
04/09/2008,Eichenzell -  Germany,Veh. Accid-Auto
04/09/2008,Karlsruhe -  Germany,Maritime Accident
07/04/2008,Erbach-bach -  Germany,Veh. Accid-Auto
07/26/2008,Aachen -  Germany,Suicide
08/31/2008,Wuppertal -  Germany,Other Accident
09/06/2008,Berlin -  Germany,Suicide
10/28/2008,Erlangen -  Bavaria -  Germany,Suicide
10/28/2008,Erlangen -  Bavaria -  Germany,Homicide
11/10/2008,Felsbergg -  Germany,Suicide
01/20/2009,Seeheim-jugenheim -  Germany,Veh. Accid-Auto
01/21/2009,Mannheim -  Germany,Drug-Related
02/09/2009,Main River -  Frankfurt Am Main,Suicide
02/20/2009,Munich -  Bavaria -  Germany,Other Accident
02/21/2009,Wuerzburg -  Bavaria -  Germany,Other Accident
02/22/2009,Hamburg -  Germany,Suicide
02/25/2009,Munich -  Bavaria -  Germany,Suicide
03/23/2009,Frankfurt -  Germany,Suicide
04/08/2009,Germany -  Bonn,Suicide
04/19/2009,89584 Ehingen (donau),Veh. Accid-Motorcy.
04/23/2009,Wilnsdorf-obersdorf -  Germany,Other Accident
05/01/2009,Freiburg -  Germany,Veh. Accid-Auto
05/16/2009,Rottenburg Am Neckar -  Germany,Suicide
05/28/2009,Salinenweg -  Grosskarolinenfeld -  Bavaria -  Germany,Other Accident
06/29/2009,Frankfurt -  Germany,Suicide
07/07/2009,Olching - Bavaria -  Germany,Veh. Accid-Auto
07/11/2009,Duesseldorf -  Germany,Suicide
07/22/2009,Munich - Bavaria -  Germany,Veh. Accid-Other
07/25/2009,Freudenberg -  Germany,Veh. Accid-Auto
09/12/2009,Berlin -  Germany,Drug-Related
09/14/2009,Hergenroth -  Germany,Veh. Accid-Auto
10/09/2009,Sigmarszell - Bavaria -  Germany,Veh. Accid-Auto
10/28/2009,Nuernberg - Bavaria -  Germany,Drug-Related
11/04/2009,Heidelberg -  Germany,Suicide
11/12/2009,Frankfurt -  Germany,Suicide
12/15/2009,Boppard -  Germany,Other Accident
01/02/2010,Maintal -  Germany,Veh. Accid-Auto
01/03/2010,Amberg - Bavaria -  Germany,Drug-Related
01/11/2010,Nuernberg - Bavaria -  Germany,Suicide
