Date,City,Cause of Death
05/20/2003,Maamedede Nsawam -  Ghana,Other Accident
06/09/2003,Rta-accra-kumasi Road -  Ghana,Veh. Accident-Auto
04/13/2004,Tema -  Ghana,Veh. Accident-Auto
05/27/2004,On Accra-tema Road -  Ghana,Homicide
08/26/2004,Elmina -  Ghana,Drowning
01/22/2005,Cape Coast-jukwa Road -  Cape Coast -  Ghana,Veh. Accident-Auto
12/14/2005,Accra -  Ghana,Veh. Accident-Auto
01/03/2006,Accra -  Ghana,Drowning
08/14/2006,Pokauase Road -  Ghana,Veh. Accident-Auto
11/20/2006,Kumasi-accra Road -  Nnadiesco -  Ghana,Veh. Accident-Auto
02/05/2007,Dzorwulu -  Ghana,Other Accident
04/15/2007,Achimota -  Ghana,Drowning - Pool 
07/03/2007,Accra -  Ghana,Veh. Accid-Pedestr.
02/03/2008,Accra -  Ghana,Drug-Related
03/30/2008,Accra -  Ghana,Drug-Related
05/01/2008,Tema -  Ghana,Homicide
05/15/2009,Tamale -  Tamale -  Ghana,Other Accident
05/24/2009,Cape Coast -  Ghana,Veh. Accid-Auto
02/23/2010,Juaso -  Ghana,Veh. Accid-Auto
10/22/2011,Trede- Kumasi -  Ghana,Veh. Accid-Auto
10/22/2011,Trede- Kumasi -  Ghana,Veh. Accid-Auto
03/16/2013,Elmina -  Ghana,Other Accident
01/12/2014,Tema -  Greater Accra,Drowning
09/18/2017,Tema -  Greater Accra,Homicide
11/04/2017,Accra,Drowning
02/02/2018,Ho -  Volta Region,Drug-Related



