Date,City,Cause of Death
12/17/2002,Ano Voula -  Greece,Suicide
04/05/2003,Agios Stefanos Avlioton -  Corfu -  Greece,Drowning
05/16/2003,Glyfada -  Athens -  Greece,Suicide
05/19/2003,National Road Ioanninon -  Artas -  Greece,Veh. Accident-Auto
06/22/2003,Medical Center Of Atalanti -  Fthiotida -  Greece,Veh. Accident-Auto
08/21/2003,Voula -  Greece,Drowning
11/02/2003,Kifissia -  Athens -  Greece,Other Accident
11/14/2003,Thessaloniki -  Greece,Suicide
01/24/2004,11th Klm Of Thermopilon-antirio Highway -  Greece,Other Accident
02/05/2004,Agios Panteleimon -  Ag. Kyrikos -  Ikaria -  Greece,Suicide
05/06/2004,Niforeika -  Ahaia -  Greece,Suicide
05/09/2004,222 Syngrou Av. -  Athens -  Greece,Veh. Accident-Auto
06/10/2004,Mykonos -  Greece,Under Investigation
07/16/2004,Athens -  Greece,Veh. Accident - Auto
08/27/2004,Sparti -  Githio Highway -  Lakonia -  Greece,Veh. Accident - Auto
09/13/2004,Vourlioton -  Vatheos -  Samos -  Greece,Other Accident
12/30/2004,Pyrgi -  Hios -  Greece,Other Accident
03/30/2005,Km 114 Of The National Road Athens-patra -  Melisi -  Corinthias -  Greece,Veh. Accident-Auto
03/31/2005,Corinthos -  Greece,Veh. Accident-Auto
04/10/2005,Athens -  Greece,Veh. Accident-Motorcycle
06/12/2005,Kourountere Area -  Samos -  Greece,Veh. Accident-Motorcycle
07/05/2005,General State Hospital -  Athens -  Greece,Other Accident
08/14/2005,Grammatiko -  Attica -  Greece,Air Accident
08/25/2005,Sfakera -  Corfu Island -  Greece,Veh. Accident-Motorcycle
09/17/2005,Nikaia -  Greece,Other Accident
10/10/2005,Lavrio -  Greece,Homicide
10/20/2005,Athens -  Greece,Veh. Accident-Pedestrian
10/29/2005,Rhodes -  Greece,Other Accident
06/25/2006,Near Ahaia -  Greece,Drowning
07/03/2006,Stavros -  Halkidiki -  Greece,Homicide
07/13/2006,Kalamata -  Messinia -  Greece,Drowning
07/29/2006,Lesvos -  Greece,Homicide
08/04/2006,Lefkada -  Greece,Drowning
10/15/2006,Athens -  Greece,Veh. Accident-Pedestrian
11/02/2006,Athens -  Greece,Suicide
01/01/2007,2.8 Km Dionysou Ave -  Dionysos -  Attica -  Greece,Veh. Accident-Auto
03/19/2007,Tripi -  Lakonias -  Greece,Suicide
05/23/2007,Eretria -  Evia -  Greece,Homicide
07/14/2007,Kos -  Greece,Veh. Accid-Motorcy.
07/23/2007,Tripoli-nestani -  Greece,Veh. Accid-Auto
09/02/2007,Chania -  Crete -  Greece,DROWNING-Ocean
09/04/2007,Kos -  Greece,DROWNING-SEA
09/16/2007,Mesokambo Sea -  Samos -  Greece,Drowning
10/31/2007,Kalithea -  Greece,Other Accident
12/17/2007,Athens -  Greece,Other Accident
04/08/2008,Athens -  Greece,Veh. Accid-Auto
06/06/2008,Athens -  Greece,Veh. Accid-Auto
06/30/2008,Viota -  Greece,Drowning
07/26/2008,Athens -  Greece,Veh. Accid-Auto
09/18/2008,Symi -  Greece,Drowning-BEACH
12/06/2008,Naxos -  Greece,Other Accident
01/25/2009,Nikaia -  Greece,Other Accident
