Date,City,Cause of Death
10/07/2002,Km 179.5 -  Santa Elena -  Chiquimula -  Guatemala,Veh. Accident-Auto
11/03/2002,Solola -  Guatemala,Veh. Accident-Bus
12/14/2002,Masagua -  Escuintla -  Guatemala,Homicide
01/06/2003,Santa Lucia Cotz -  Escuintla -  Guatemala,Homicide
03/28/2003,Aldea Chimanzana -  Solola -  Guatemala,Homicide
04/01/2003,Chimaltenango -  Guatemala,Veh. Accident-Auto
07/12/2003,Km 91 Ruta Al Pacifico -  Sta Lucia Cotz -  Escuintla -  Guatemala,Veh. Accident-Auto
07/12/2003,Km 91 Ruta Al Pacifico -  Sta Lucia Cotz -  Escuintla -  Guatemala,Veh. Accident-Auto
08/23/2003,Guatemala City -  Guatemala,Homicide
09/16/2003,Mixco -  Guatemala,Homicide
12/21/2003,Patzun -  Chimaltenango -  Guatemala,Homicide
01/07/2004,Retalhuleu -  Guatemala,Homicide
01/10/2004,Suchitepequez -  Guatemala,Homicide
03/04/2004,San Cristobal I -  Guatemala,Homicide
03/28/2004,Near Cementerio Bugambilias -  Guatemala,Homicide
05/17/2004,Guatemala City -  Guatemala,Homicide
06/01/2004,Km 342 Aldea La Cumbre -  San Luis -  Peten -  Guatemala,Veh. Accident-Auto
07/06/2004,¬†santa Rosa -  Guatemala,Veh. Accident - Bus
07/18/2004,Finca El Dorado -  Barbarena -  Santa Rosa -  Guatemala,Homicide
07/28/2004,Guatemala,Veh. Accident - Auto
12/29/2004,Col Roosevelt -  Guatemala,Suicide
01/04/2005,Guatemala,Veh. Accident-Auto
03/01/2005,Jacaltenango -  Huehuetenango -  Guatemala,Suicide
03/03/2005,Sanarate -  El Progreso -  Guatemala,Homicide
06/20/2005,Igss Escuintla -  Guatemala,Veh. Accident-Auto
08/11/2005,Km 24.6 Ca Interamericana -  San Lucas -  Sacatepequez -  Guatemala,Veh. Accident-Auto
11/08/2005,Guatemala City -  Guatemala,Homicide
11/15/2005,Rio Hondo -  Zacapa -  Guatemala,Homicide
01/28/2006,Carril Sur A Norte -  Anillo Periferico Zona 7 -  Entrada Col Sta Rita -   -  Guatemala City -  Guatemala,Veh. Accident-Bus
03/09/2006,Morales -  Izabel -  Guatemala,Drowning
04/30/2006,Hospital Privado -  Santa Elena De La Cruz -  Flores -  Peten -  Guatemala,Other Accident
07/27/2006,Los Amates -  Izabal -  Guatemala,Drowning
08/16/2006,Entrada A Aldea Jurgallon -  Chiquimula -  Guatemala,Veh. Accident-Auto
09/05/2006,Guatemala City -  Guatemala,Homicide
09/27/2006,Esquipulas -  Chiquimula -  Guatemala,Other Accident
10/17/2006,Villa Nueva -  Guatemala,Other Accident
11/13/2006,Guatemala City -  Guatemala,Homicide
01/16/2007,Guatemala City -  Guatemala,Other Accident
01/18/2007,Guatemala City -  Guatemala,Veh. Accident-Auto
01/25/2007,Nuevo Jalpatagua -  Guatemala,Homicide
01/27/2007,Aldea Chapas -  Nueva Santa Rosa  -  Santa Rosa -  Guatemala,Other Accident
01/30/2007,Guatemala City -  Guatemala,Veh. Accident-Auto
02/05/2007,Km. 12 Ruta A Cuyotenango -  Suchitepequez -  Guatemala,Veh. Accident-Auto
04/03/2007,Asuncion Mita -  Jutiapa -  Guatemala,Homicide
06/08/2007,Guatemala City -  Guatemala,Homicide
07/04/2007,Guatemala City -  Guatemala,Homicide
07/28/2007,Guatemala City -  Guatemala,Homicide
08/28/2007,Sta Cruz -  El Quiche -  Guatemala,Veh. Accid-Auto
09/26/2007,Sacatepequez -  Guatemala,Execution
10/08/2007,Guatemala City -  Guatemala,Other Accident
10/28/2007,Guatemala City -  Guatemala,Homicide
12/28/2007,San Benito Peten -  Guatemala,Homicide
01/11/2008,Guatemala City -  Guatemala,Homicide
01/11/2008,La Florida -  Guatemala,Homicide
01/18/2008,Antigua -  Sacatopequez -  Guatemala,Homicide
01/19/2008,Km 79.5 Ruta Antiga Puerto San Jose -  Masagua -  Escuintla -  Guatemala,Veh. Accid-Auto
04/04/2008,Livingston -  Izabal -  Guatemala,Drowning
04/26/2008,Km 43 C.a.1 -  Cuilapa -  Santa Rosa -  Guatemala¬†,Veh. Accid-Motorcy.
05/07/2008,Flores -  Peten -  Guatemala,Homicide
05/11/2008,Escuintala -  Guatemala,Drowning
08/08/2008,Chimaltenango -  Guatemala,Homicide
08/09/2008,Livingston -  Izabal -  Guatemala,Homicide
08/15/2008,Chiquimulilla -  Santa Rosa -  Guatemala,Veh. Accid-Auto
08/24/2008,Aldea La Puente -  Cabanas -  Zacapa -  Guatemala,Air Accident
08/24/2008,Aldea La Puente -  Cabanas -  Zacapa -  Guatemala,Air Accident
08/24/2008,Aldea La Puente -  Cabanas -  Zacapa -  Guatemala,Air Accident
08/24/2008,Aldea La Puente -  Cabanas -  Zacapa -  Guatemala,Air Accident
08/24/2008,Aldea La Puente -  Cabanas -  Zacapa -  Guatemala,Air Accident
08/24/2008,Aldea La Puente -  Cabanas -  Zacapa -  Guatemala,Air Accident
08/25/2008,San Nuestra Senora Del Pilar -  Guatemala,Air Accident
10/16/2008,Guatemala,Other Accident
01/11/2009,Centro 2 -  La Maquina -  Retalhuleu,Drowning
02/02/2009,Quetzaltenango -  Guatemala,Air Accident
02/03/2009,Jutiapa -  Guatemala,Homicide
03/09/2009,Teculutan -  Zacapa -  Guatemala,Homicide
03/29/2009,Retalhuleu -  Guatemala,Drowning
04/14/2009,Guatemala,Homicide
05/18/2009,Ixcan -  Quiche -  Guatemala,Homicide
07/03/2009,Palencia -  Guatemala,Other Accident
07/19/2009,Alta Verapaz -  Guatemala,Homicide
07/31/2009,Guatemala,Homicide
08/22/2009,Escuintla -  Guatemala,Other Accident
09/02/2009,Gualan -  Zacapa -  Guatemala,Other Accident
09/02/2009,Gualan -  Zacapa -  Guatemala,Other Accident
10/25/2009,El Progreso -  Sanarate -  Guatemala,Other Accident
10/26/2009,San Juan De Dios - Guatemala,Other Accident
10/28/2009,San Juan De Dios - Guatemala,Other Accident
01/25/2010,Puerto Sn Jose -  Escuintla -  Guatemala,Homicide
05/26/2010, Zona 3 - Guatemala,Air Accident
05/30/2010,Guatemala,Other Accident
06/30/2010,Malacatan -  San Marcos -  Guatemala,Homicide
07/11/2010,Guatemala City -  Guatemala,Homicide
08/07/2010,Joyabaj -  Quiche -  Guatemala,Other Accident
10/11/2010,Amatitlan -  Guatemala,Homicide
12/08/2010,Puerto Barrios -  Izabal -  Guatemala,Homicide
01/10/2011,Santiago Atitlan -  Solola -  Guatemala,Air Accident
01/27/2011,Amatitlan -  Guatemala,Homicide
02/10/2011,Tiquisate Escuintla -  Guatemala,Drowning
03/11/2011,Guatemala City -  Guatemala,Homicide
06/05/2011,Chiquimula -  Guatemala,Other Accident
06/07/2011,San Lucas Sacatepequez -  Guatemala,Homicide
07/01/2011,Cipresales -  Guatemala,Homicide
07/12/2011,Chimaltenango -  Guatemala,Homicide
07/30/2011,La Gomera -  Escuintla -  Guatemala,Other Accident
07/31/2011,Santa Rosa -  Chiquimulilla -  Guatemala,Maritime Accident
08/13/2011,Puerto San Jose -  Escuintla -  Guatemala,Homicide
08/13/2011,San Rafael Ii -  Guatemala,Veh. Accid-Auto
01/02/2012,Solola -  Guatemala,Vehicle Accident - Auto
01/27/2012,Ocos -  San Marcos -  Guatemala,Drowning
01/27/2012,Ocos -  San Marcos -  Guatemala,Drowning
02/07/2012,Guatemala -  Guatemala,Homicide
02/11/2012,Escuintla -  Guatemala,Homicide
06/10/2012,Quetzaltenango -  Guatemala,Vehicle Accident - Auto
07/02/2012,Guatemala City -  Guatemala,Other Accident
07/24/2012,Solola -  Guatemala,Drowning
11/07/2012,San Crist√≥bal Cucho -  San Marcos -  Guatemala,Disaster
12/15/2012,Guatemala City -  Guatemala,Homicide
01/15/2013,San Miguel Petata -  Guatemala,Homicide
03/23/2013,Moyuta -  Jutiapa -  Guatemala,Homicide
03/30/2013,Canton Anono -  San Jose Pinula -  Guatemala,Homicide
04/19/2013,Quetzaltenango -  Guatemala,Veh. Accid-Auto
05/11/2013,Solola -  Guatemala,Veh. Accid-Auto
05/19/2013,Retalhuleu -  Guatemala,Homicide
06/19/2013,San Marcos -  Guatemala,Other Accident
07/22/2013,Puerto San Jose -  Escuintla -  Guatemala,Drowning
07/26/2013,Morales -  Izabal -  Guatemala,Suicide
07/26/2013,Morales -  Izabal -  Guatemala,Homicide
10/23/2013,Cerro Vivo -  Car. a Chinautla -  Guatemala,Other Accident
11/10/2013,Buenos Aires -  Guatemala,Veh. Accid-Auto
01/30/2014,Guatemala -  Guatemala,Homicide
03/08/2014,Antigua,Homicide
03/22/2014,San Andres Villa Seca -  Retalhuleu,Drowning
04/01/2014, Palo Gordo -  San Marcos,Air Accident
04/02/2014, Palo Gordo -  San Marcos,Air Accident
04/05/2014,Guatemala -  Guatemala,Homicide
04/22/2014,Zacapa,Other Accident
09/11/2014,Tiquisate - Escuintla,Drowning
10/20/2014,Quetzaltenango,Other Accident
11/12/2014,Pto.San Jose - Escuintla,Drowning
07/01/2015,Sacatepequez,Other Accident
08/21/2015,Chiquimula,Homicide
11/01/2015,Poptun -  Peten,Air Accident
11/01/2015,Poptun -  Peten,Air Accident
11/08/2015,Mazatenango,Homicide
11/12/2015,Escuintla,Drowning
11/12/2015,Puerto San Jose,Drowning
11/20/2015,Izabal,Veh. Accid-Auto
11/28/2015,Malacatan -  San Marcos,Homicide
12/22/2015,Izabal,Other Accident
01/15/2016,Guatemala City,Homicide
02/14/2016,Quetzaltenango,Veh. Accid-Auto
05/04/2016,Rio Hondo,Other Accident
06/20/2016,Solola,Veh. Accid-Bus
07/05/2016,Chinautla -  Guatemala,Undetermined/Unknown
07/27/2016,Villa Nueva -  Guatemala,Homicide
09/29/2016,Nahualá -  Sololá ,Veh. Accid-Auto
10/14/2016,San Lucas Sacatepéquez -  Sacatepéquez,Homicide
08/20/2017,Rio Dulce,Veh. Accid-Motorcy.



