Date,City,Cause of Death
08/08/2003,Georgetown -  Guyana,Drowning
12/05/2004,Georgetown -  Guyana,Veh. Accident-Auto
03/30/2005,Rupununi -  Lethem -  Guyana,Homicide
03/30/2005,Rupununi -  Lethem -  Guyana,Homicide
04/05/2005,East Bank Public Road -  Georgetown -  Guyana,Other Accident
11/26/2005,Black Bush Village -  Guyana,Homicide
12/10/2005,Georgetown -  Guyana,Homicide
05/08/2008,Georgetown -  Guyana,Homicide
06/17/2008,Georgetown -  Guyana,Drug-Related
10/25/2008,Berbice -  Guyana,Drowning
01/19/2011,Berbice -  Guyana,Homicide
04/12/2011,Georgetown -  Guyana,Homicide
06/13/2011,Berbice -  Guyana,Disaster
09/05/2011,Georgetown -  Guyana,Veh. Accid-Motorcy.
01/01/2012,West Coast Demerara -  Guyana,Homicide
04/27/2012,Corentyne -  Berbice -  Guyana,Homicide
07/08/2012,Demerara -  Guyana,Homicide
04/13/2013,Sparendaam -  East Coast Demerara -  Guyana,Air Accident
02/18/2015,Georgetown,Homicide
03/25/2015,Buxton -  East Coast Demerara,Homicide
08/10/2015,Polder,Veh. Accid-Auto
04/09/2017,East Bank Demerara,Drowning
10/02/2017,Georgetown,Homicide
10/15/2017,Corentyne -  Berbice,Veh. Accid-Auto



