Date,City,Cause of Death
10/06/2002,Port-au-prince -  Haiti,Homicide
11/04/2002,Port-au-prince -  Haiti,Drowning
12/13/2002,Fond Parisien -  Haiti,Homicide
07/12/2003,Saint Louis Du Sud -  Haiti,Drowning
07/20/2003,Vignier National Route #1 -  Haiti,Veh. Accident-Auto
08/11/2003,Port-au-prince -  Haiti,Other Accident
08/24/2003,Cap-haitian -  Haiti,Air Accident
09/08/2003,Leogane -  Haiti,Homicide
09/08/2003,Leogane -  Haiti,Homicide
01/06/2004,Arcachon -  Haiti,Homicide
02/05/2004,Fermathe -  Haiti,Homicide
02/19/2004,Port-au-prince -  Haiti,Homicide
03/03/2004,Pont Sonde -  Haiti,Homicide
04/04/2004,Route De Freres #42 -  Port-au-prince -  Haiti,Drowning
04/19/2004,Ganthier -  Haiti,Homicide
07/26/2004,Leogane -   Haiti,Other Accident
09/03/2004,Cap-haitian -  Haiti,Homicide
09/08/2004,Portail Leogane -  Haiti,Homicide
02/10/2005,Petion Ville -  Haiti,Homicide
03/16/2005,Port-au-prince -  Haiti,Homicide
04/20/2005,Port-au-prince -  Haiti,Homicide
04/23/2005,Port-au-prince -  Haiti,Other Accident
06/01/2005,Port-au-prince -  Haiti,Homicide
09/01/2005,Port-au-prince -  Haiti,Homicide
10/01/2005,Leogane -  Haiti,Homicide
10/12/2005,Delmas -  Haiti,Homicide
12/06/2005,Port-au-prince -  Haiti,Homicide
12/06/2005,Port-au-prince -  Haiti,Homicide
02/14/2006,Hopital St Joseph -  Port-au-prince -  Haiti,Other Accident
05/04/2006,Hopital Citimed -  Port-au-prince -  Haiti,Veh. Accident-Motorcycle
07/02/2006,Port-au-prince -  Haiti,Homicide
07/07/2006,Cabaret -  Haiti,Veh. Accident-Auto
07/29/2006,Gonaives -  Haiti,Homicide
09/05/2006,Port-au-prince -  Haiti,Homicide
11/18/2006,Port-au-prince -  Haiti,Homicide
01/23/2007,Rue Darquin -  Petion-ville -  Haiti,Homicide
05/07/2007,Port-au-prince -  Haiti,Homicide
05/08/2007,Rue Pelican -  Delmas 56 -  Port-au-prince -  Haiti,Drowning
10/05/2007,Truitier -  Haiti,Homicide
10/08/2007,Desdunes -  Haiti,Suicide
12/29/2007,Bicentenaire -  Port-au-prince -  Haiti,Homicide
06/23/2008,Port-au-prince -  Haiti,other Accident
06/24/2008,Port-de-paix -  Haiti,Homicide
07/09/2008,Port-au-prince -  Haiti,Homicide
07/23/2008,Delmas -  Haiti,Other Accident
08/08/2008,Port-au-prince -  Haiti,Veh. Accid-Auto
09/05/2008,Port-au-prince -  Haiti,Other Accident
09/22/2008,Merger -  Gressier Haiti,Other Accident
11/18/2008,Saint Marc -  Saint Marc -  Haiti,Air Accident
12/26/2008,Port-au-prince -  Haiti,Homicide
03/06/2009,Port-au-prince -  Haiti,Veh. Accid-Bus
04/08/2009,Saint-marc - haiti,Homicide
05/16/2009,Port-au-prince -  Haiti,Homicide
10/18/2009,Les Cayes -  Haiti,Veh. Accid-Motorcy.
12/08/2009,Port-Au-Prince -  Haiti,Homicide
12/21/2009,Port-Au-Prince -  Haiti,Homicide
01/04/2010,Leogane - Leogane -  Haiti,Veh. Accid-Auto
01/12/2010,Port Au Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-Au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/12/2010,Port-au-Prince -  Haiti,Disaster
01/15/2010,Port-Au-Prince -  Haiti,Disaster
01/15/2010,Port-Au-Prince -  Haiti,Disaster
01/18/2010,Port-Au-Prince -  Haiti,Disaster
01/18/2010,Port-Au-Prince -  Haiti,Disaster
02/08/2010,Port-Au-Prince -  Haiti,Homicide
02/24/2010,Port-Au-Prince -  Haiti,Homicide
