Date,City,Cause of Death
11/17/2002,Roatan -  Islas De La Bahia -  Honduras,Veh. Accident-Motorcycle
12/10/2002,Roatan -  Islas De La Bahia -  Honduras,Drowning
12/11/2002,Santa Cruz De Yojoa -  Honduras,Air Accident
12/11/2002,Santa Cruz De Yojoa -  Honduras,Air Accident
12/11/2002,Santa Cruz De Yojoa -  Honduras,Air Accident
12/11/2002,Santa Cruz De Yojoa -  Honduras,Air Accident
12/11/2002,Santa Cruz De Yojoa -  Honduras,Air Accident
01/21/2003,Francisco Morazan -  Honduras,Suicide
02/10/2003,Roatan -  Islas De La Bahia -  Honduras,Homicide
02/13/2003,Tegucigalpa -  Francisco Morazan -  Honduras,Homicide
02/15/2003,Barrio Alvarado -  La Ceiba -  Atlantida -  Honduras,Homicide
02/22/2003,Lucinda -  Balfate -  Colon -  Honduras,Other Accident
04/07/2003,Roatan -  Bay Islands -  Honduras,Drowning
05/11/2003,El Centro -  Texiguat -  El Paraiso -  Honduras,Homicide
08/06/2003,Santa Rita -  Yoro -  Honduras,Veh. Accident-Auto
08/30/2003,Tegucigalpa -  Distrito Central -  Francisco Morazan -  Honduras,Veh. Accident-Auto
09/03/2003,Atlantida -  Honduras,Suicide
09/07/2003,Tela -  Atlantida -  Honduras,Drowning
09/26/2003,Roatan -  Bay Islands -  Honduras,Veh. Accident-Auto
11/16/2003,Cortes -  Honduras,Homicide
12/04/2003,La Ceiba -  Atlantida -  Honduras,Veh. Accident-Auto
12/31/2003,Cucuyagua -  Copan -  Honduras,Veh. Accident-Auto
02/01/2004,Rio Chiquito -  Omoa -  Cortes -  Honduras,Veh. Accident-Auto
07/01/2004,Lamani -  Comayagua -  Honduras,Suicide
07/01/2004,Siguatepeque -  Comayagua -  Honduras,Veh. Accident-Other
07/21/2004,Tamara -  Francisco Morazan -  Honduras,Veh. Accident
07/25/2004,Copan -  Honduras,Veh. Accident-Auto
07/25/2004,San Pedro Sula -  Cortes -  Honduras,Veh. Accident-Auto
07/31/2004,Gracias -  Lempira -  Honduras,Air Accident
10/04/2004,Roatan -  Islas De La Bahia -  Honduras,Homicide
10/09/2004,San Pedro Sula -  Honduras,Homicide
11/07/2004,La Ceiba -  Atlantida -  Honduras,Homicide
01/01/2005,La Ceiba -  Atlantida -  Honduras,Homicide
01/02/2005,Utila -  Islas De La Bahia -  Honduras,Maritime Accident
01/04/2005,La Ceiba -  Atlantida -  Honduras,Homicide
01/14/2005,Tegucigalpa -  Francisco Morazan -  Honduras,Veh. Accident-Motorcycle
03/14/2005,Roatan -  Islas De La Bahia -  Honduras,Suicide
04/22/2005,San Pedro Sula -  Cortes -  Honduras,Homicide
06/04/2005,Roatan -  Islas De La Bahia -  Honduras,Homicide
06/21/2005,Roatan -  Islas De La Bahia -  Honduras,Drowning
07/21/2005,Tela -  Atlantida -  Honduras,Veh. Accident
07/24/2005,San Pedro Sula -  Honduras,Homicide
07/26/2005,Francisco Morazan -  Honduras,Veh. Accident-Auto
07/29/2005,Tegucigalpa -  Francisco Morazan -  Honduras,Homicide
08/17/2005,La Ceiba -  Atlantida -  Honduras,Veh. Accident-Other
12/02/2005,La Lima -  Cortes -  Honduras,Homicide
12/02/2005,Tela -  Atlantida -  Honduras,Homicide
12/11/2005,Roatan -  Islas De La Bahia -  Honduras,Homicide
12/15/2005,La Lima -  Cortes -  Honduras,Homicide
12/18/2005,Aldea Chachaguala -  Omoa -  Cortes -  Honduras,Homicide
02/10/2006,La Esperanza -  Intibuca -  Honduras,Homicide
02/15/2006,Roatan -  Islas De La Bahia -  Honduras,Other Accident
04/24/2006,Villanueva -  Cortes -  Honduras,Homicide
05/08/2006,La Paz -  La Paz -  Honduras,Homicide
07/10/2006,Tegucigalpa -  Francisco Morazan -  Honduras,Veh. Accident-Auto
07/11/2006,Roatan -  Islas De La Bahia -  Honduras,Drowning
