Date,City,Cause of Death
04/13/2003,Shatin -  New Territories -  Hong Kong,Homicide
05/21/2003,Kowloon -  Hong Kong,Suicide
07/29/2003,Taipa -  Macau,Suicide
11/07/2003,Hong Kong,Homicide
04/12/2004,Macau,Suicide
04/21/2004,Hong Kong,Suicide
10/27/2005,Wanchai -  Hong Kong,Suicide
06/12/2006,Hong Kong,Suicide
09/19/2007,Hong Kong,Suicide
08/15/2008,Hung Hom -  Hong Kong ,Drug-Related
10/14/2008,North Point -  Hong Kong,Suicide
11/07/2008,Wan Chai -  Hong Kong,Veh. Accid-Auto
12/01/2008,Kowloon -  Hong Kong,Drowning
12/28/2008,Hong Kong -  Hong Kong,Drug-Related
04/25/2009,Sai Kung -  Nt -  Hong Kong,Drowning
10/12/2009,Hong Kong,Suicide
11/01/2009,Tsuen Wan -  Hong Kong,Other Accident
01/08/2010,Tseung Kwan O -  Hong Kong SAR,Suicide
08/02/2010,Hong Kong SAR,Drug-Related
08/21/2010,Kowloon -  Hong Kong SAR,Drug-Related
03/12/2013,Kowloon -  Hong Kong,Drug-Related
04/30/2013,Kowloon -  Hong Kong,Suicide
10/09/2014,Hong Kong S.A.R.,Suicide
11/02/2014,Hong Kong S.A.R.,Suicide
03/22/2015,Sheung Wan,Drug-Related
08/09/2015,Hong Kong,Veh. Accid-Other
10/17/2015,Hong Kong,Suicide
01/18/2016,Hong Kong,Suicide
06/22/2016,Hong Kong,Suicide
07/22/2017,Kennedy Town -  Central and Western District,Suicide



