Date,City,Cause of Death
10/18/2002,Budapest -  Hungary,Other Accident
01/16/2003,Kalocsa -  Hungary,Other Accident
07/23/2003,Budapest -  Hungary,Other Accident
11/10/2004,Budai Nagy Antal U. 28 -  Csongrad -  Hungary,Drowning
03/31/2005,Floud Area -  Hodmezovasarhely -  Hungary,Drowning
04/30/2005,Szechenyi Street -  Balatonfured -  Hungary,Veh. Accident-Auto
07/25/2005,Budapest -  Hungary,Veh. Accident-Auto
02/02/2006,Budapest -  Hungary,Drug-Related
04/24/2006,Budapest -  Hungary,Veh. Accident-Auto
04/24/2006,High Way No. 11 -  Szentendre -  Hungary,Veh. Accident-Auto
05/24/2006,Miskolc -  Hungary,Other Accident
08/19/2006,Budapest -  Hungary,Suicide
09/23/2006,Near Csorvas -  Hungary,Veh. Accident-Auto
04/26/2009,Budapest -  Hungary,Suicide
07/03/2009,Budapest -  Hungary,Suicide
10/23/2009,Debrecen -  Hungary,Suicide
02/15/2010,Budapest -  Hungary,Suicide
09/11/2010,Siofok -  Hungary,Suicide
02/19/2011,Budapest -  Hungary,Other Accident
10/21/2011,Miskolc -  Hungary,Veh. Accid-Pedestr.
12/27/2011,Budapest -  Hungary,Other Accident
01/26/2012,Budapest -  Hungary,Other Accident
04/23/2012,Diosd -  Hungary,Suicide
07/21/2012,Ajka -  Hungary,Vehicle Accident - Auto
09/18/2012,Csakanydoroszlo -  Hungary,Vehicle Accident - Auto
10/10/2012,Budapest -  Hungary,Other Accident
10/10/2012,Budapest -  Hungary,Suicide
10/26/2012,Budapest -  Hungary,Vehicle Accident - Bus
12/01/2012,Budapest -  Hungary,Suicide
09/01/2013,Budapest -  Hungary,Veh. Accid-Pedestr.
02/12/2014,Diosd,Suicide
09/30/2014,Sopron,Suicide
01/26/2015,Dunaharaszti,Suicide
04/10/2015,Kisvarda,Other Accident
06/08/2015,Adony,Suicide
07/17/2015,Szedres,Veh. Accid-Auto
10/02/2015,Veces,Veh. Accid-Auto
10/02/2015,Vecses,Veh. Accid-Auto
10/01/2016,Szeged -  Csongrád,Veh. Accid-Auto
06/28/2017,Abony,Veh. Accid-Auto
10/28/2017,Balassagyarmat,Suicide



