Date,City,Cause of Death
10/31/2002,Mumbai,Other Accident
11/01/2002,Mumbai -  India,Air Accident
01/03/2003,Parli -  Maharashtra -  India,Train Accident
01/19/2003,Between Varkala Papanasam And Ponnthura Seashore -  Kerala -  India,Drowning
02/02/2003,Kanjiranampara -  Trivandrum -  Kerala -  India,Other Accident
02/04/2003,Hampi -  Karnataka -  India,Suicide
02/04/2003,Hampi -  Karnataka -  India,Suicide
02/08/2003,Mumbai -  India,Homicide
02/12/2003,Vankia -  Dist Amreli -  Gujarat -  India,Veh. Accident-Auto
02/19/2003,Andhra Pradesh -  India,Drowning
02/22/2003,Erode -  India,Other Accident
08/15/2003,Malad (w) Mumbai -  India,Drug-Related
10/26/2003,New Delhi -  India,Air Accident
12/14/2003,Manali -  India,Drug-Related
12/21/2003,New Delhi -  India,Suicide
02/12/2004,Dharamsala -  India,Other Accident
03/23/2004,Anand -  Gujarat -  India,Homicide
03/27/2004,K.t. Road -  Tirupathi -  India,Other Accident
04/03/2004,Bhairavnath Mandir -  Kadi Taluka -  Untwa -  Dist Mehsana -  India,Homicide
06/26/2004,Bhupatinagar Mugberia B.p.h.c. -  Purba Medinipur -  Wb -  India,Drowning
06/28/2004,Vagator Beach -  Goa -  India,Drowning
08/27/2004,East Coast Road -  Oothiyur -  Nainarkuppam Post -  Cheyyur -  Tamilnadu -  India,Other Accident
09/26/2004,Murud -  Janjira -  District Raigad -  Maharashtra -  India,Drowning
09/26/2004,National Highway -  Chilamathur Mandal -  India,Other Accident
12/19/2004,Mumbai -  India,Other Accident
01/09/2005,Bellary Road -  Bangalore -  India,Other Accident
07/31/2005,Jaipur -  Rajasthan -  India,Other Accident
08/16/2005,Latur -  Maharashtra -  India,Homicide
11/02/2005,New Delhi -  India,Other Accident
01/10/2006,Ghasit Pur Village -  Ambala -  Haryana -  India,Veh. Accident-Auto
03/12/2006,P.o. Bodhgaya -  District Gaya -  Bihar -  India,Other Accident
04/02/2006,Daund -  Maharashtra -  India,Veh. Accident-Auto
06/23/2006,Ambala Cantt. -  Haryana -  India,Veh. Accident-Auto
07/08/2006,Rishikesh -  Uttranchal -  India,Veh. Accident-Auto
07/12/2006,Sivakasi -  Tamilnadu -  India,Other Accident
10/18/2006,Ahmedabad -  Gujarat -  India,Veh. Accident-Auto
11/02/2006,Civil Lines -  Delhi -  India,Drug-Related
01/09/2007,Kolhapur -  Maharashtrak -  India,Veh. Accident-Auto
02/14/2007,Mumbai -  Maharashtra -  India,Suicide
04/06/2007,Gwalior -  Madhya Pradesh  -  India,Other Accident
06/27/2007,Mumbai -  India,Veh. Accident-Auto
08/31/2007,Karnal -  Haryana -  India,Veh. Accid-Bus
11/13/2007,Dhorimanna -  Barmer -  Rajasthan -  India,Veh. Accid-Auto
11/13/2007,Dhorimanna -  Barmer -  Rajasthan -  India,Veh. Accid-Auto
11/13/2007,Jaisalmer -  India,Veh. Accid-Auto
01/15/2008,Inupamula -  Nalgonda - andhra - pradesh -  India,Veh. Accid-Bus
01/16/2008,Nh-17 Road - malpem -  Pernem - goa 403202 -  India,Veh. Accid-Auto
01/16/2008,Nh-17 Road - malpem - pernem - goa 403202 -  India,Veh. Accid-Auto
01/16/2008,Nh-17 Road - malpem - pernem - goa 403202 -  India,Veh. Accid-Auto
01/16/2008,Nh-17 Road - malpem - pernem - goa 403202 -  India,Veh. Accid-Auto
01/16/2008,Nh-17 Road - malpem - pernem - goa 403202 -  India,Veh. Accid-Auto
02/14/2008,Ahmedabad 380 007 Gujarat,Veh. Accid-Auto
03/24/2008,Dera Bassi -  Punjab -  India,Veh. Accid-Auto
