Date,City,Cause of Death
10/12/2002,Kuta -  Bali -  Indonesia,Terrorist Action
10/12/2002,Kuta -  Bali -  Indonesia,Terrorist Action
10/12/2002,Kuta -  Bali -  Indonesia,Terrorist Action
10/12/2002,Kuta -  Bali -  Indonesia,Terrorist Action
10/12/2002,Kuta -  Bali -  Indonesia,Terrorist Action
10/12/2002,Kuta -  Bali -  Indonesia,Terrorist Action
10/12/2002,Kuta -  Bali -  Indonesia,Terrorist Action
01/22/2003,Mt. Telomoyo -  Central Java -  Indonesia,Drowning
06/16/2003,Batu Abah -  Nusa Penida -  Bali -  Indonesia,Drowning
07/30/2003,Tulamben Beach -  Bali -  Indonesia,Drowning
10/22/2003,Kerobokan -  Kuta -  Bali -  Indonesia,Drowning
01/01/2004,Balikpapan -  Indonesia,Drowning
09/20/2004,Waimena -  Papua -  Indonesia,Air Accident
01/02/2005,Denpasar -  Bali -  Indonesia,Veh. Accident-Motorcycle
03/18/2005,Denpasar -  Bali -  Indonesia,Veh. Accident-Motorcycle
12/14/2005,Aceh -  Indonesia,Drowning
04/26/2007,Denpasar -  Bali -  Indonesia,Veh. Accident-Motorcycle
05/19/2007,Ubud -  Bali -  Indonesia,Veh. Accident-Motorcycle
08/03/2007,East Kutai Regency -  East Kalimantan -  Indonesia,Veh. Accid-Motorcy.
10/16/2007,Bali -  Indonesia,Drug-Related
08/09/2008,Papua -  Papua -  Indonesia,Air Accident
08/27/2008,Jakarta Selatan -  Indonesia,Drowning
08/30/2009,Dago - West Java -  Indonesia,Veh. Accid-Auto
09/08/2009,Badung - Bali -  Indonesia,Other Accident
01/02/2010,Ubud - Bali -  Indonesia,Drowning
03/15/2010,Badung - Bali -  Indonesia,Other Accident
04/12/2010,West Java -  Indonesia,Veh. Accid-Train
11/07/2010,Lhoknga -  Aceh Besar Regency -  Indonesia,Drowning
01/29/2011,Tegalalang -  Gianyar -  Bali -  Indonesia,Veh. Accid-Motorcy.
07/24/2011,Liwa -  Lampung -  Barat -  Indonesia,Other Accident
08/28/2011,Batam -  Indonesia,Veh. Accid-Auto
09/22/2011,Jayapura -  Papua -  Indonesia,Air Accident
10/12/2011,Bali -  Indonesia,Veh. Accid-Motorcy.
10/19/2011,Medan -  North Sumatra -  Indonesia,Other Accident
05/09/2012,Bogor -  West Java -  Indonesia,Air Accident
12/01/2012,Kuta -  Bali -  Indonesia,Drowning
02/04/2013,Denpasar -  Bali -  Indonesia,Veh. Accid-Motorcy.
04/02/2013,Jakarta -  Indonesia,Suicide
06/16/2013,Pantai Krui -  Manatuto -  Indonesia,Drowning
09/01/2013,Cugenang -  Cianjur -  West Java -  Indonesia,Other Accident
09/29/2013,Kuta Utara -  Badung -  Bali -  Indonesia,Drug-Related
10/07/2013,Selemadeg Timur -  Tabanan -  Bali -  Indonesia,Veh. Accid-Motorcy.
12/22/2013,Uluwatu -  Badung -  Bali -  Indonesia,Suicide
03/09/2014,Bali,Drug-Related
03/23/2014,Mataram - Nusa Tenggara Barat,Suicide
04/09/2014,Jayapura - Papua,Air Accident
06/11/2014,Jakarta,Veh. Accid-Auto
08/12/2014,Nusa Dua,Homicide
10/05/2014,Manado - North Sulawesi,Drowning
01/30/2015,Gianyar - Bali,Other Accident
03/23/2015,Surabaya -  Jawa Timur,Suicide
04/28/2015,Klungkung -  Bali,Drowning
07/20/2015,Denpasar -  Bali,Suicide
08/30/2015,Badung -  Bali,Veh. Accid-Motorcy.
10/11/2015,Kuala Lumpur,Veh. Accid-Motorcy.
06/07/2016,Bali,Suicide
09/16/2016,West Nias Island -  North Sumatera,Drowning
10/29/2016,Denpasar -  Bali,Veh. Accid-Motorcy.
11/03/2016,Badung -  Bali,Drowning
02/05/2017,Bali,Veh. Accid-Motorcy.
03/04/2017,Bengkulu,Drowning
05/06/2017,North Jakarta,Suicide
05/14/2017,Bali,Drowning
02/15/2018,Denpasar -  Bali,Drowning
04/01/2018,Lombok Utara -  Nusa Tenggara Barat,Drowning



