Date,City,Cause of Death
04/04/2003,Baghdad -  Iraq,Drowning
05/09/2003,Samarra -  Iraq,Veh. Accident-Auto
07/31/2003,Safwan -  Iraq,Veh. Accident-Auto
08/01/2003,Basrah -  Iraq,Veh. Accident-Auto
08/05/2003,Tikrit -  Iraq,Terrorist Action
08/19/2003,Baghdad -  Iraq,Terrorist Action
08/19/2003,Baghdad -  Iraq,Terrorist Action
08/19/2003,Baghdad -  Iraq,Terrorist Action
09/03/2003,Baghdad -  Iraq,Terrorist Action
11/11/2003,Baghdad -  Iraq,Terrorist Action
11/13/2003,Balad -  Iraq,Terrorist Action
11/17/2003,Baqubah -  Iraq,Terrorist Action
11/18/2003,Ramadi -  Iraq,Veh. Accident -Auto
11/23/2003,Mosul -  Iraq,Veh. Accident - Auto
11/23/2003,Mosul -  Iraq,Veh. Accident-Auto
12/14/2003,Addujayal -  Iraq,Homicide
01/21/2004,Samawah -  Iraq,Vehic. Accident-Auto
01/27/2004,Baghdad -  Iraq,Terrorist Action
02/14/2004,Baghdad -  Iraq,Terrorist Action
02/16/2004,Baghdad -  Iraq,Terrorist Action
02/23/2004,Iskandariya -  Iraq,Terrorist Action
02/28/2004,Balud -  Iraq,Veh. Accident-Auto
03/15/2004,Mosul -  Iraq,Terrorist Action
03/15/2004,Mosul -  Iraq,Terrorist Action
03/15/2004,Mosul -  Iraq,Terrorist Action
03/16/2004,Mosul -  Iraq,Terrorist Action
03/31/2004,Fallujah -  Iraq,Terrorist Action
03/31/2004,Fallujah -  Iraq,Terrorist Action
03/31/2004,Fallujah -  Iraq,Terrorist Action
03/31/2004,Fallujah -  Iraq,Terrorist Action
04/08/2004,Near Baghdad -  Iraq,Terrorist Action
04/08/2004,Near Baghdad -  Iraq,Terrorist Action
04/09/2004,Fallujah -  Iraq,Terrorist Action
04/09/2004,Near Baghdad -  Iraq,Terrorist Action
04/09/2004,Near Baghdad -  Iraq,Terrorist Action
04/09/2004,Near Baghdad -  Iraq,Terrorist Action
04/25/2004,Balad -  Iraq,Terrorist Action
04/25/2004,Balad -  Iraq,Terrorist Action
04/30/2004,Balad -  Iraq,Terrorist Action
04/30/2004,Mosul -  Iraq,Terrorist Action
05/07/2004,Baghdad -  Iraq,Terrorist Action
05/08/2004,Baghdad -  Iraq,Terrorist Action
05/13/2004,Kirkuk -  Iraq,Veh. Accident-Auto
05/13/2004,Kirkuk -  Iraq,Veh. Accident-Auto
05/30/2004,Baghdad -  Iraq,Homicide
06/02/2004,Al Asad -  Iraq,Terrorist Action
06/02/2004,Southern Iraq,Terrorist Action
06/05/2004,Baghdad -  Iraq,Terrorist Action
06/05/2004,Baghdad -  Iraq,Terrorist Action
06/14/2004,Baghdad -  Iraq,Terrorist Action
06/14/2004,Near Babylon -  Iraq,Terrorist Action
06/17/2004,Baghdad -  Iraq,Terrorist Action
