Date,City,Cause of Death
10/21/2002,Naas -  County Kildare -  Ireland,Veh. Accident-Auto
09/17/2004, sligo -  Ireland,Other Accident
06/25/2005,Dublin -  Ireland,Drowning
11/19/2005,Munny Cross -  Stradbally -  Co. Laois -  Ireland,Other Accident
02/27/2007,Waterford -  Ireland,Veh. Accident
05/12/2008,Dublin -  Ireland,Veh. Accid-Auto
05/03/2009,Skellig Michael -  Kerry,Other Accident
05/29/2009,Bahola -  Mayo,Veh. Accid-Other
06/01/2009,Atlantic Ocean Off The Archipelago Fernando De Noronha -  Brazil- North 02? 58'8\" /west 030? 35'4\",Air Accident
09/20/2009,Valentia - Co. Kerry -  Ireland,Other Accident
03/20/2011,Limerick -  Ireland,Veh. Accid-Auto
07/02/2011,Dingle -  Kerry -  Ireland,Veh. Accid-Auto
07/31/2011,Galway -  Ireland,Homicide
12/08/2012,Leitrim -  Ireland,Other Accident
12/08/2012,Leitrim -  Ireland,Other Accident
12/08/2012,Leitrim -  Ireland,Other Accident
05/11/2014, Bagenalstown - Carlow,Veh. Accid-Auto
09/12/2014,Annascaul - Kerry,Veh. Accid-Auto
05/15/2017,Sligo,Veh. Accid-Auto
09/11/2017,County Cork,Veh. Accid-Auto
09/11/2017,County Cork,Veh. Accid-Auto
12/04/2017,County Wexford,Veh. Accid-Auto
12/04/2017,County Wexford,Veh. Accid-Auto
12/04/2017,County Wexford,Veh. Accid-Auto
12/04/2017,County Wexford,Veh. Accid-Auto



