Date,City,Cause of Death
12/13/2002,Kibbutz Gaalia -  Israel,Homicide
01/11/2003,Ramat Gan -  Israel,Veh. Accident-Auto
02/26/2003,Even Shmuel Junction -  Israel,Veh. Accident-Auto
03/05/2003,Haifa -  Israel,Terrorist Action
03/07/2003,Kiryat Arba -  The West Bank,Terrorist Action
03/07/2003,Kiryat Arba -  The West Bank,Terrorist Action
03/16/2003,Gaza,Other
06/11/2003,Jerusalem,Terrorist Action
06/11/2003,Jerusalem,Terrorist Action
06/20/2003,Sha'ar Binyamin -  The West Bank,Terrorist Action
08/19/2003,Jerusalem,Terrorist Action
08/19/2003,Jerusalem,Terrorist Action
08/19/2003,Jerusalem,Terrorist Action
08/19/2003,Jerusalem,Terrorist Action
08/19/2003,Jerusalem,Terrorist Action
09/09/2003,Jerusalem,Terrorist Action
09/09/2003,Jerusalem,Terrorist Action
10/15/2003,Gaza,Terrorist Action
10/15/2003,Gaza,Terrorist Action
10/15/2003,Gaza,Terrorist Action
11/18/2003,Jerusalem,Terrorist Action
03/23/2004,Eilat -  Israel,Drowning
04/22/2004,Dvira Junction -  Israel,Veh. Accident-Other
07/30/2004,Huwwara -  Nablus -  The West Bank,Veh. Accident-Auto
09/24/2004,Beer Sheva -  Israel,Terrorist Action
01/02/2005,Tel Aviv -  Israel,Suicide
01/18/2005,Ichilov Hospital -  Tel Aviv -  Israel,Drug-Related
01/22/2005,Tel Aviv -  Israel,Suicide
09/01/2005,Near Nablus -  The West Bank,Homicide
09/29/2005,Route 85 -  Northern District -  Israel,Veh. Accident-Auto
12/15/2005,Kabbutz Maagan Michael -  Israel,Suicide
12/15/2005,Kabbutz Maagan Michael -  Israel,Suicide
12/29/2005,Near Tulkarm -  The West Bank,Terrorist Action
03/03/2006,Jerusalem -  Jerusalem,Suicide
05/14/2006,Tel Aviv -  Israel,Suicide
07/28/2006,Tel Aviv -  Israel,Homicide
08/01/2006,Nothern Israel,Other Accident
08/02/2006,Nothern Israel,Terrorist Action
08/08/2006,Northern Israel,Other Accident
08/11/2006,Beer Yaakov -  Israel,Other Accident
09/14/2006,Hadera -  Israel,Drowning
10/24/2006,Haifa -  Israel,Other Accident
07/25/2007, qiryat Gat -  Israel,Other Accident
09/26/2007,Tel Aviv -  Israel,Drug-Related
09/30/2007,Arava Highway -  Eilat -  Israel,Veh. Accid-Auto
09/30/2007,Arava Highway -  Eilat -  Israel,Veh. Accid-Auto
09/30/2007,Arava Highway -  Eilat -  Israel,Veh. Accid-Auto
09/30/2007,Avara Hwy -  Beer Sheva -  Israel,Veh. Accid-Auto
09/30/2007,Avara Hwy -  Beer Sheva -  Israel,Other Accident
09/30/2007,Avara Hwy -  Beer Sheva -  Israel,Veh. Accid-Auto
09/30/2007,Avara Hwy -  Beer Sheva -  Israel,Veh. Accid-Auto
11/08/2007,Arad -  Israel,Veh. Accid-Auto
11/30/2007,Ramat Gan -  Israel,Other Accident
02/23/2008,Jerusalm -  Jerusalem,Suicide
02/25/2008,Ein Gedi -  Israel,Drowning
03/06/2008,Jerusalem -  Jerusalem,Terrorist Action
04/03/2008,Safed -  Israel,Suicide
12/27/2008,Gaza,Other Accident
01/31/2009,Haifa -  Israel,Other Accident
08/05/2009,Golan Heights -  Israel ,Other Accident
08/12/2009,Palmahim -  Israel,Drowning
11/06/2009,Herzliya -  Israel,Veh. Accid-Auto
02/26/2010,Be'Er Yaakov -  Israel,Other Accident
03/07/2010,Beer Sheva -  Israel,Veh. Accid-Auto
03/07/2010,Beer Sheva -  Israel,Veh. Accid-Auto
04/24/2010,Ramallah -  West Bank,Veh. Accid-Auto
04/28/2010,Jerusalem -  Jerusalem,Suicide
05/13/2010,Eilat -  Israel,Drowning
08/21/2010,Mougins,Drowning
08/23/2010,Jerusalem -  Jerusalem,Homicide
11/01/2010,Ramat Gan -  Israel,Suicide
12/01/2010,Dead Sea -  Israel,Drowning
12/19/2010,Beit Shemesh -  Israel,Homicide
02/28/2011,Elon Moreh -  The West Bank,Suicide
06/13/2011,Herzliya Pituach -  Israel,Drowning
09/23/2011,Jerusalem -  Jerusalem,Terrorist Action
10/14/2011,Jerusalem -  Jerusalem,Veh. Accid-Auto
12/27/2011,Jerusalem -  Jerusalem,Suicide
04/10/2012,Ashkelon -  Israel,Suicide
09/20/2012,Netanya -  Israel,Suicide
05/04/2013,Bat Yam -  Israel,Drug-Related
06/12/2014,Moshav Yashresh,Homicide
06/12/2014,Moshav Yashresh,Homicide
08/19/2014,Beer Yaakov,Suicide
10/01/2015,West Bank,Terrorist Action
11/19/2015,Allon Shvut,Terrorist Action
01/01/2016,Herzliya,Drug-Related
01/20/2016,Ramat Gan,Suicide
03/04/2016,Tel Aviv-Yafo,Suicide
03/08/2016,Holon,Terrorist Action
05/18/2016,Arad,Suicide
06/18/2016,Tel Aviv-Yafo,Other Accident
06/30/2016,Hebron,Terrorist Action
01/16/2017,Jerusalem,Unknown/Undetermined
07/29/2017,Beit Shemesh,Unknown/Undetermined
10/01/2017,Tel Aviv - Jaffa,Unknown/Undetermined
10/08/2017,Petach Tikva,Unknown/Undetermined
12/14/2017,Herzliya,Unknown/Undetermined
06/01/2018,Tel Aviv -  Tel Aviv,Drowning
06/05/2018,Eilat -  Southern District,Undetermined/Unknown



