Date,City,Cause of Death
11/04/2002,'strada Provinciale 99' -  Km. 1.3 -  Tortona -  Alessandria -  Italy,Veh. Accident-Auto
11/13/2002,Venice -  Italy,Other Accident
11/30/2002,Perugia -  Italy,Suicide
01/04/2003,Italy,Other Accident
05/07/2003,Reggio Calabria -  Italy,Suicide
06/17/2003,S Abgelo Dei Lombardi -  Avellino -  Italy,Veh. Accident-Auto
06/26/2003,Montevergine -  Mercogliano -  Avellino -  Italy,Veh. Accident-Motorcycle
06/29/2003,Massino Visconti -  Novara -  A26 Km 177,Veh. Accident-Auto
08/24/2003,Pozzuoli -  Italy,Veh. Accident-Motorcycle
09/19/2003,Barga -  Lucca -  Italy,Veh. Accident-Auto
10/29/2003,Piazza Ugo La Malfa -  Rome -  Italy,Veh. Accident-Motorcycle
12/01/2003,Via Lungarno Colombo -  Florence -  Italy,Veh. Accident-Pedestrian
01/24/2004,Florence -  Italy,Drug-Related
01/29/2004,Rome -  Italy,Suicide
03/14/2004,Florence -  Italy,Homicide
03/21/2004,Sergnano -  Cremona -  Italy,Veh. Accident-Motorcycle
05/01/2004,Via G. Frescobaldi -  Rome -  Italy,Other Accident
05/08/2004,S.r. 222km -  33+800 -  Greve In Chianti -  Florence -  Italy,Veh. Accident-Auto
05/16/2004,Siano Salerno -  Italy,Suicide
05/17/2004,Brindisi -  Italy,Suicide
05/20/2004,Naples -  Italy,Suicide
05/24/2004,Trento -  Italy,Other Accident
05/30/2004,Castelnuovo Berardenga -  Siena -  Italy,Other Accident
06/13/2004,Senigallia -  Ancona -  Italy,Suicide
07/03/2004,Siena -  Italy,Other Accident
07/13/2004,Caserta -  Italy,Veh. Accident-Pedestrian
07/27/2004,Varese -  Italy,Suicide
08/22/2004,Monterosso Al Mare -  La Spezia -  Italy,Other Accident
09/07/2004,Castel Di Lama -  Italy,Veh. Accident-Motorcycle
10/13/2004,Port Of Civitavecchia -  Italy,Drowning
01/25/2005,Acquaviva Delle Fonti -  Bari -  Italy,Veh. Accident-Auto
02/04/2005,Milan -  Italy,Veh. Accident-Auto
