Date,City,Cause of Death
10/01/2002,Montego Bay -  Jamaica,Suicide
10/28/2002,Maroon Town -  Montego Bay -  Jamaica,Homicide
11/01/2002,Negril -  Jamaica,Drug-Related
11/19/2002,Clarendon -  Jamaica,Natural Disaster
11/24/2002,Montego Bay -  Jamaica,Drug-Related
12/08/2002,At Sea -  Negril -  Jamaica,Drowning
12/25/2002,Norman Manley Boulevard -  Negril -  Jamaica,Veh. Accident-Auto
12/30/2002,Clarendon -  Jamaica,Homicide
01/18/2003,Pear Tree Bottom Main Road -  St. Ann -  Jamaica,Veh. Accident-Auto
03/03/2003,Greenwood -  Montego Bay -  Jamaica,Homicide
04/11/2003,Paul Mountain  -  St. Catherine -  Jamaica,Homicide
04/27/2003,Negril -  Jamaica,Drowning
04/27/2003,Negril. Jamaica,Drowning
05/18/2003,Johnson Hill -  Martha Brace -  Trelawny -  Jamaica,Veh. Accident-Motorcycle
05/19/2003,Winnifred Beach -  Port Antonio -  Portland -  Jamaica,Drowning
05/26/2003,Negril -  Jamaica,Drowning
06/11/2003,Santa Cruz -  Black River -  Jamaica,Veh. Accident-Auto
09/10/2003,Negril -  Jamaica,Drug-Related
10/06/2003,Kingston -  Jamaica,Other Accident
12/28/2003,Kingston -  Jamaica,Homicide
01/01/2004,Mount Pleasant District -  Runaway Bay -  St. Ann -  Jamaica,Homicide
01/01/2004,Mount Pleasant District -  Runaway Bay -  St. Ann -  Jamaica,Homicide
01/19/2004,Savanna-la-mar -  Westmoreland -  Jamaica,Homicide
04/29/2004,Norman Manley Blvd. -  Negril -  Jamaica,Veh. Accident-Bus
05/23/2004,Temple Hall -  St. Andrew -  Jamaica,Homicide
07/28/2004,Ocho Rios -  Jamaica,Suicide
08/05/2004,Kingston -  Jamaica,Homicide
08/08/2004,Clarendon -  Jamaica,Other Accident
11/21/2004,Williamsfield -  Westmoreland -  Jamaica,Suicide
12/27/2004,St. Ann -  Jamaica,Drowning
02/22/2005,Montego Bay -  Jamaica,Other Accident
04/13/2005,Discovery Bay -  St. Ann -  Jamaica,Drowning
05/10/2005,Kingston -  Jamaica,Drowning
05/18/2005,Duncans -  Trelawny -  Jamaica,Veh. Accident-Auto
05/21/2005,St. James -  Montego Bay -  Jamaica,Homicide
06/03/2005,St. Ann -  Jamaica,Veh. Accident-Auto
03/26/2006,Black River -  St. Elizabeth -  Jamaica,Homicide
07/17/2006,Montego Bay -  Jamaica,Drowning
08/19/2006,Clarendon -  Jamaica,Homicide
09/27/2006,Cumberland -  Portmore -  St Catherine -  Jamaica,Homicide
01/09/2007,Georgetown -  Jamaica,Drowning
01/24/2007,Georgetown -  Jamaica,Drowning
02/10/2007,Runaway Bay -  Jamaica,Drowning - Pool
03/04/2007,East End -  Jamaica,Drowning
03/11/2007,Smith Cove -  Georgetown -  Jamaica,Drowning - Ocean
04/09/2007,Big Bridge Main Road -  Westmoreland -  Jamaica,Veh. Accident-Auto
04/09/2007,Big Bridge Main Road -  Westmoreland -  Jamaica,Veh. Accident-Auto
05/02/2007,Manchester -  Jamaica,Other Accident
05/13/2007,Yallahs -  St Thomas -  Jamaica,Homicide
05/18/2007,Lucea -  Hanover -  Jamaica,Veh. Accident-Auto
02/17/2008,Ocho Rios -  Jamaica,Drowning-Beach
04/06/2008,Ocho Rios -  Jamaica,Drowning
09/22/2008,Kingston -  Jamaica,Homicide
12/10/2008,Jamaica,Maritime Accident
01/06/2009,Westmoreland -  Jamaica,Homicide
02/01/2009,Negril -  Jamaica,Veh. Accid-Auto
02/13/2009,St. James -  Jamaica,Veh. Accid-Pedestr.
03/04/2009,George Town -  Jamaica,Maritime Accident
03/08/2009,Kingston -  Jamaica,Homicide
03/22/2009,St. Catherine -  Jamaica,Homicide
04/26/2009,George Town -  Jamaica,Maritime Accident
05/11/2009,Westmoreland -  Jamaica,Veh. Accid-Auto
07/17/2009,Portland -  Jamaica,Homicide
07/24/2009,George Town -  Jamaica,Drowning
08/28/2009,Falmouth - Trelawny -  Jamaica,Drowning
09/21/2009,Grand Cayman -  Jamaica,Maritime Accident
10/18/2009,St. Ann -  Jamaica,Drowning
10/30/2009,Port Bello - St. James -  Jamaica,Homicide
12/07/2009,Negril - Westmoreland -  Jamaica,Veh. Accid-Pedestr.
12/28/2009,Trelawny -  Jamaica,Veh. Accid-Auto
12/30/2009,George Town - Grand Cayman -  Jamaica,Maritime Accident
02/05/2010,Rosehall - St. James -  Jamaica,Homicide
02/15/2010,West Bay -  Jamaica,Homicide
02/18/2010,Negril -  Jamaica,Drug-Related
06/25/2010,Grand Cayman -  Jamaica,Drowning
08/05/2010,Montego Bay -  St. James -  Jamaica,Veh. Accid-Auto
08/05/2010,Montego Bay -  St. James -  Jamaica,Veh. Accid-Auto
08/11/2010,Morrit's Tortuga -  East End -  Grand Cayman -  Jamaica,Drowning
08/20/2010,Montego Bay - St. James -  Jamaica,Drowning
08/29/2010,St. James -  Montego Bay -  Jamaica,Drowning
09/16/2010,Duncans -  Trelawny -  Jamaica,Veh. Accid-Auto
10/16/2010,Kingston -  Jamaica,Homicide
11/29/2010,Kingston -  Jamaica,Homicide
12/02/2010,St. James -  Jamaica,Veh. Accid-Auto
12/20/2010,Westmoreland -  Jamaica,Homicide
01/17/2011,Cayman Brac -  Jamaica,Drowning
01/18/2011,Cayman Brac -  Jamaica,Drowning
01/27/2011,Negril -  Jamaica,Suicide
02/04/2011,Westmoreland -  Jamaica,Veh. Accid-Auto
02/08/2011,Grand Cayman -  Jamaica,Drowning
02/13/2011,St. Catherine -  Jamaica,Homicide
02/20/2011,George Town -  Jamaica,Drowning
03/11/2011,St. James -  Montego Bay -  Jamaica,Drug-Related
03/28/2011,Ironshore -  Montego Bay -  Jamaica,Drowning
04/10/2011,Montego Bay -  St. James -  Jamaica,Veh. Accid-Pedestr.
05/12/2011,Montego Bay -  St. James -  Jamaica,Drowning
05/17/2011,George Town -  Jamaica,Veh. Accid-Auto
07/05/2011,Westmoreland -  Jamaica,Drug-Related
07/09/2011,Little Cayman -  Jamaica,Other Accident
08/16/2011,Stony Hill -  Kingston -  Jamaica,Homicide
08/20/2011,St. Mary -  Jamaica,Veh. Accid-Auto
09/01/2011,Lionel Town -  Clarendon -  Jamaica,Veh. Accid-Train
09/03/2011,Haynes -  Clarendon -  Jamaica,Homicide
10/19/2011,St. Mary -  Jamaica,Other Accident
10/20/2011,St. Ann -  Jamaica,Maritime Accident
11/23/2011,Grand Cayman -  Jamaica,Maritime Accident
11/30/2011,George Town -  Grand Cayman -  Jamaica,Veh. Accid-Auto
12/06/2011,George Town -  Grand Cayman -  Jamaica,Drowning
12/08/2011,Negril -  Jamaica,Suicide
12/29/2011,Montego Bay -  Jamaica,Other Accident
12/30/2011,Mandeville -  Machester -  Jamaica,Homicide
01/11/2012,Little London -  Westmoreland -  Jamaica,Drowning
01/23/2012,Montego Bay -  Jamaica,Drowning
01/23/2012,Montego Bay -  Jamaica,Homicide
02/03/2012,George Town -  Jamaica,Drowning
02/20/2012,St. James -  Jamaica,Suicide
03/01/2012,West Bay -  Grand Cayman -  Cayman Islands,Other Accident
03/02/2012,Spanish Town -  Jamaica,Vehicle Accident - Bus
03/25/2012,Grand Cayman -  Cayman Islands,Drowning
05/18/2012,Mt. Salem -  St. James -  Jamaica,Vehicle Accident - Pedestrian
06/13/2012,St. James -  Jamaica,Suicide
07/05/2012,St. Ann -  Jamaica,Homicide
07/14/2012,St. Elizabeth -  Jamaica,Homicide
07/20/2012,St. Ann -  Jamaica,Vehicle Accident - Auto
08/26/2012,St. Elizabeth -  Jamaica,Drowning
11/27/2012,St. Andrew -  Jamaica,Homicide
12/13/2012,Negril -  Westmoreland -  Jamaica,Maritime Accident
01/02/2013,Falmouth -  Trelawny -  Jamaica,Veh. Accid-Auto
01/02/2013,Falmouth -  Trelawny -  Jamaica,Veh. Accid-Auto
01/02/2013,Falmouth -  Trelawny -  Jamaica,Veh. Accid-Auto
01/05/2013,Spanish Town -  St. Catherine -  Jamaica,Homicide
01/19/2013,Kingston -  Jamaica,Homicide
02/14/2013,Trelawny -  Jamaica,Homicide
02/21/2013,George Town -  Jamaica,Suicide
02/24/2013,Edgewater  - St. Catherine -  Jamaica,Homicide
02/24/2013,Edgewater -  St. Catherine -  Jamaica,Homicide
03/22/2013,Montego Bay -  St. James -  Jamaica,Veh. Accid-Motorcy.
03/23/2013,Negril -  Westmoreland -  Jamaica,Drowning
05/16/2013,Kingston -  Jamaica,Homicide
05/18/2013,George Town -  Grand Cayman -  Jamaica,Veh. Accid-Auto
05/19/2013,St. Ann -  Jamaica,Veh. Accid-Bus
05/26/2013,George Town -  Grand Cayman -  Jamaica,Drowning
06/01/2013,Savannalamar -  Westmoreland -  Jamaica,Homicide
06/07/2013,Three Miles River -  Westmoreland -  Jamaica,Veh. Accid-Auto
07/01/2013,Clarendon -  Jamaica,Veh. Accid-Auto
08/01/2013,Rio Bueno -  Trelawny -  Jamaica,Veh. Accid-Bus
09/09/2013,Mandeville -  Manchester -  Jamaica,Homicide
11/22/2013,Trelawny -  Jamaica,Homicide
01/22/2014,Negril - Westmoreland,Drug-Related
01/25/2014,Montego Bay - St. James,Homicide
01/28/2014,Negril - Westmoreland,Maritime Accident
02/20/2014,George Town - Grand Cayman,Drowning
03/22/2014,Westmoreland,Drowning
07/14/2014,St. James,Other Accident
07/22/2014,Duncans - Trelawny,Drowning
07/30/2014,Trelawny,Veh. Accid-Auto
08/04/2014,Riu Tropical Bay - Negril,Drowning
08/15/2014,Runaway Bay - St. Ann,Veh. Accid-Auto
09/05/2014,Port Antonio - Portland,Air Accident
09/05/2014,Port Antonio - Portland,Air Accident
10/13/2014,Montego Bay - St. James,Veh. Accid-Auto
01/02/2015,Oracabessa -  St. Mary,Homicide
01/02/2015,St. Mary,Homicide
01/06/2015,Kingston,Homicide
01/09/2015,Clarendon,Homicide
01/11/2015,Buena Vista Terrace,Homicide
01/14/2015,Grand Cayman,Drowning
03/05/2015,Grand Cayman,Drowning
03/12/2015,Sylgoville -  St Catherine,Homicide
03/12/2015,Westmoreland,Veh. Accid-Motorcy.
03/19/2015,Grand Cayman,Other Accident
03/31/2015,George Town,Drowning
04/02/2015,Kingston,Homicide
04/22/2015,Greater Portmore -  St. Catherine,Veh. Accid-Auto
05/16/2015,St. Mary,Drowning
05/29/2015,Grand Cayman,Drowning
06/13/2015,St. Anns Bay -  St. Ann,Other Accident
08/07/2015,Negril,Drowning
09/12/2015,Kingston,Veh. Accid-Auto
11/15/2015,Cayman Brac,Veh. Accid-Auto
11/15/2015,Cayman Brac,Veh. Accid-Auto
11/19/2015,Palmer's Cross,Homicide
12/09/2015,St. Catherine,Homicide
01/14/2016,Falmouth,Veh. Accid-Bus
02/07/2016,Mandeville,Homicide
02/10/2016,Mount Carey,Homicide
02/17/2016,Portland,Drowning
02/27/2016,Montego Bay,Veh. Accid-Auto
03/06/2016,Good Hope,Homicide
03/22/2016,Bamboo,Homicide
04/26/2016,Lucea,Veh. Accid-Auto
04/30/2016,Albion,Homicide
05/01/2016,Albion,Homicide
05/25/2016,St. Elizabeth,Drowning
07/01/2016,George Town -  Grand Cayman,Suicide
