Date,City,Cause of Death
10/31/2002,Gotenyama Railway Crossing -  Hirakata -  Osaka -  Japan,Train Accident
11/18/2002,Shinjuku-ku -  Tokyo -  Japan,Homicide
12/03/2002,Fish Port -  Sennan -  Osaka Prefecture -  Japan,Other Accident
12/11/2002,Tokyo -  Japan,Suicide
02/23/2003,226-1 Iiyama -  Iiyama-shi -  Nagano -  Japan,Other Accident
03/04/2003,Kawaguchiko-machi -  Yamanashi-ken -  Japan,Suicide
04/13/2003,Gushikawa -  Okinawa -  Japan,Veh. Accident-Auto
07/31/2003,Okinawa -  Japan,Veh. Accident-Auto
10/15/2003,Naka-ku -  Hiroshima -  Japan,Suicide
10/28/2003,Naka-ku -  Hiroshima -  Japan,Suicide
10/29/2003,Tokyo -  Japan,Veh. Accident-Motorcycle
01/10/2004,Kita-ku -  Tokyo -  Japan,Suicide
01/29/2004,Izumi -  Osaka -  Japan,Suicide
02/18/2004,Toshima-ku -  Tokyo -  Japan,Suicide
02/22/2004,Oura-gun -  Gunma -  Japan,Suicide
03/28/2004,1-1-13 Kamiminecho -  Hitachi-shi -  Ibaraki-ken -  Japan,Veh. Accident-Pedestrian
05/31/2004,Inohana -  Chuo-ku -  Chiba-shi -  Chiba -  Japan,Veh. Accident-Auto
06/11/2004,Urafunecho -  Minami-ku -  Yokohama -  Japan,Veh. Accident-Motorcycle
06/16/2004,Kamigyo-ku Kyoto -  Japan,Suicide
08/01/2004,Tama-ku -  Kawasaki-shi -  Kanagawa -  Japan,Homicide
10/24/2004,Obihiro -  Hokkaido -  Japan,Suicide
10/25/2004,Urawa-ku -  Saitama-shi -  Saitama -  Japan,Suicide
11/01/2004,Omachi-shi -  Nagano-ken -  Japan,Veh. Accident
12/03/2004,Tokyo -  Japan,Homicide
05/07/2005,Fuchu-shi -  Tokyo -  Japan,Veh. Accident-Auto
08/29/2005,Kobe -  Hyogo -  Japan,Suicide
09/12/2005,Nakagami-gun -  Okinawa -  Japan,Suicide
12/30/2005,Shinjuku-ku -  Tokyo -  Japan,Suicide
01/30/2006,2-9-33 Nishishinsaibashi -  Chuo-ku -  Osaka -  Japan,Other Accident
02/08/2006,Yokohama-shi -  Kanagawa -  Japan,Suicide
03/03/2006,Yokohama -  Kanagawa -  Japan,Suicide
03/04/2006,1-10-203 Saiwai-cho 1-chome -  Naniwa-ku -  Osaka -  Japan,Drug-Related
04/12/2006,Shinjuku-ku -  Tokyo -  Japan,Homicide
04/28/2006,Yamanashi-shi -  Yamanashi-ken -  Japan,Veh. Accident-Auto
05/23/2006,Higashi Okitama-gun -  Yamagata -  Japan,Drowning
07/31/2006,Oshima-machi - tokyo -  Japan,Drowning
08/26/2006,Nasukarasuyama-shi -  Tochigi -  Japan,Vehic. Accident-Motorcycle
09/30/2006,Takadanobaba -  Shinjuku-ku -  Tokyo -  Japan,Suicide
12/21/2006,Tokyo -  Japan,Suicide
04/07/2007,Tomishiro City -  Okinawa -  Japan,Suicide
09/17/2007,Yoshihara Monobe River -  Yoshikawa-cho -  Konan -  Kochi -  Japan,Drowning-River
09/24/2007,Fujiidera -  Osaka -  Japan,Suicide
10/15/2007,Toyama -  Toyama -  Japan,Suicide
11/25/2007,Kyoto -  Japan,Suicide
01/11/2008,Taihku-ku -  Sendai -  Miyagi -  Prefecture -  Japan,Suicide
11/06/2008,Sakai -  Osaka Japan,Suicide
12/01/2008,Narita-shi -  Chiba-ken -  Japan,Suicide
01/12/2009,Taraha -  Aichi -  Japan,Veh. Accid-Auto
