Date,City,Cause of Death
10/28/2002,Al-rawabi -  Amman -  Jordan,Terrorist Action
02/07/2004,Aqaba To Amman Road Near Al-karak -  Jordan,Veh. Accident-Auto
02/07/2004,While Being Transfered After The Accident From Ghor Safi To Amman -  Jordan,Veh. Accident-Auto
03/27/2004,Shouneh -  Albalqa -  Jordan,Drowning
06/22/2004,Mafraq -  Jordan,Veh. Accident-Auto
07/19/2004,Tafila -  Jordan,Veh. Accident-Auto
02/16/2005,Amman -  Jordan,Veh. Accident-Auto
06/12/2005,Aqaba -  Jordan,Veh. Accident-Auto
11/09/2005,Amman -  Jordan,Terrorist Action
11/09/2005,Amman -  Jordan,Terrorist Action
11/09/2005,Amman -  Jordan,Terrorist Action
11/10/2005,Amman -  Jordan,Terrorist Action
07/14/2006,Amman -  Jordan,Veh. Accident-Auto
07/26/2006,Amman -  Jordan,Veh. Accident-Auto
09/11/2007,Amman -  Jordan,Veh. Accid-Auto
11/10/2007,Amman -  Jordan,Veh. Accid-Pedestr.
02/02/2008,Amman -  Jordan,Veh. Accid-Pedestr.
02/02/2008,Petra -  Jordan,Other Accident
03/08/2008,Amman -  Jordan,Suicide
09/03/2008,Ma'an -  Jordan,Veh. Accid-Auto
04/01/2009,Amman -  Jordan,Homicide
05/27/2009,Amman -  Jordan,Homicide
05/27/2009,Amman - jordan,Homicide
06/05/2009,Wadi Mousa -  Jordan,Other Accident
08/04/2009,AlBalqa -  Jordan,Drowning
08/06/2009,Karak -  Jordan,Veh. Accid-Auto
08/06/2009,Karak -  Jordan,Veh. Accid-Auto
02/21/2010,Naour -  Jordan,Suicide
05/11/2010,Amman -  Jordan,Other Accident
10/25/2010,Madaba -  Jordan,Veh. Accid-Auto
08/10/2011,Amman -  Jordan,Veh. Accid-Motorcy.
03/26/2012,Amman -  Jordan,Other Accident
04/12/2012,Aqaba -  Jordan,Drowning
04/15/2012,Amman -  Jordan,Vehicle Accident - Pedestrian
05/15/2012,Amman -  Jordan,Vehicle Accident - Auto
07/30/2012,Amman -  Jordan,Other Accident
09/04/2012,Irbid -  Jordan,Homicide
12/02/2012,Amman -  Jordan,Suicide
08/21/2013,Zarqa -  Jordan,Veh. Accid-Pedestr.
10/05/2013,Amman -  Jordan,Veh. Accid-Auto
06/19/2014,Irbid,Veh. Accid-Auto
09/02/2014,Amman,Veh. Accid-Auto
09/27/2014,Zarqa,Other Accident
11/06/2015,Amman,Suicide
11/06/2015,Amman,Suicide
11/09/2015,Amman,Terrorist Action
11/09/2015,Amman,Terrorist Action
08/22/2016,Amman,Veh. Accid-Auto
08/22/2016,Amman,Veh. Accid-Auto
08/28/2016,Aqaba,Drowning
04/02/2017,Amman,Homicide
05/29/2017,Amman,Unknown/Undetermined
02/07/2018,Salt -  Balqa,Veh. Accid-Auto
02/11/2018,Aqaba -  Aqaba,Drowning



