Date,City,Cause of Death
07/08/2003,Mangystau Oblast -  Kazakhstan,Drowning
05/03/2004,Uzunagash City -  Kazakhstan,Veh. Accident-Auto
09/30/2006,Abai -  Kazakhstan,Veh. Accident-Auto
05/13/2007,Ural River -  Atyrau ,Drowning - River
10/05/2009,Kazakhstan Oblast -  Khazakhstan,Other Accident
02/15/2010,Almaty -  Kazakhstan,Other Accident
11/27/2010,Almaty Oblast -  Kazakhstan,Other Accident
03/14/2015,Astana,Other Accident
07/13/2017,Astana,Veh. Accid-Auto
07/13/2017,Astana,Veh. Accid-Auto
07/16/2017,Astana,Veh. Accid-Auto



