Date,City,Cause of Death
06/29/2003,Segera -  Laikipia -  Kenya,Air Accident
07/19/2003,Mt. Kenya -  Nyeri -  Kenya,Air Accident
07/19/2003,Mt. Kenya -  Nyeri -  Kenya,Air Accident
07/19/2003,Mt. Kenya -  Nyeri -  Kenya,Air Accident
07/19/2003,Mt. Kenya -  Nyeri -  Kenya,Air Accident
07/19/2003,Mt. Kenya -  Nyeri -  Kenya,Air Accident
07/19/2003,Mt. Kenya -  Nyeri -  Kenya,Air Accident
07/19/2003,Mt. Kenya -  Nyeri -  Kenya,Air Accident
07/19/2003,Mt. Kenya -  Nyeri -  Kenya,Air Accident
07/19/2003,Mt. Kenya -  Nyeri -  Kenya,Air Accident
07/19/2003,Mt. Kenya -  Nyeri -  Kenya,Air Accident
07/19/2003,Mt. Kenya -  Nyeri -  Kenya,Air Accident
07/19/2003,Mt. Kenya -  Nyeri -  Kenya,Air Accident
01/11/2004,Nairobi -  Kenya,Veh. Accident-Auto
08/28/2004,Nairobi Hospital -  Kenya,Veh. Accident-Pedestrian
07/29/2005,Nairobi-mombasa Highway -  Kenya,Veh. Accident-Auto
12/31/2005,Nairobi Hospital -  Nairobi -  Kenya,Veh. Accident-Auto
02/22/2006,Likoni -  Mombasa -  Kenya,Homicide
03/16/2006,Nairobi -  Kenya,Homicide
03/22/2006,Nairobi -  Kenya,Other Accident
04/17/2006,Nairobi -  Kenya,Other Accident
07/19/2006,Meru Central -  Kenya,Suicide
08/16/2006,Nyeri Central -  Kenya,Other Accident
08/20/2006,Thika District -  Kenya,Veh. Accident-Bus
09/23/2006,Ghumsa -  Kenya,Air Accident
12/01/2006,Mombasa -  Kenya,Other Accident 
01/15/2007,Nairobi -  Kenya,Veh. Accident-Bus
01/27/2007,Nairobi -  Kenya,Homicide
01/27/2007,Nairobi - kenya,Homicide
05/11/2007,Bamburi -  Mombasa Coast -  Kenya,Homicide
10/09/2008,Buruburu -  Nairobi -  Narobi -  Kenya,Drowning
08/01/2009,Nairobi - Nairobi -  Kenya,Air Accident
12/03/2009,Mogadishu -  Kenya,Terrorist Action
01/04/2010,Kirinyaga District -  Kenya,Other Accident
01/04/2010,Kirinyaya District -  Kenya,Other Accident
02/12/2010,Nairobi -  Kenya,Homicide
12/13/2010,Nairobi -  Kenya,Veh. Accid-Auto
01/28/2011,Nakuru -  Rift Valley -  Kenya,Veh. Accid-Auto
02/27/2011,Narok -  Rift Valley -  Kenya,Other Accident
04/05/2011,Nairobi -  Kenya,Homicide
10/20/2011,Malindi Coast -  Kenya,Veh. Accid-Pedestr.
11/17/2011,Nairobi -  Kenya,Veh. Accid-Auto
12/18/2012,Kisumu -  Kenya,Suicide
02/24/2013,Mt. Kenya -  Kenya,Air Accident
07/25/2013,Aberdare Forest -  Nyandarua South -  Kenya,Air Accident
07/25/2013,Aberdare Forest -  Nyandarua South -  Kenya,Air Accident
09/04/2013,Majengo Mapya -  Kilindini -  Coast -  Kenya,Homicide
11/17/2014,Nairobi - Nairobi,Homicide
04/16/2015,South Nyanza,Drowning
05/18/2015,Kibwezi -  Eastern,Veh. Accid-Auto
02/13/2016,Nyanza,Veh. Accid-Motorcy.
06/01/2016,Nairobi,Homicide
08/09/2016,Rift Valley,Veh. Accid-Auto
06/27/2017,Nairobi,Homicide
07/06/2017,Mombasa,Suicide
11/12/2017,Nairobi,Other Accident
12/12/2017,Molo -  Rift Valley,Veh. Accid-Auto
01/23/2018,Iten -  Elgeyo-Marakwet,Other Accident
02/04/2018,Nairobi -  Nairobi,Homicide
02/28/2018,Naivasha -  Nakuru,Other Accident



