Date,City,Cause of Death
12/05/2002,Songpa-gu -  Seoul -  Korea,Natural Disaster
08/17/2003,Seoul -  Korea,Drug-Related
12/29/2003,Daejon -  Korea,Suicide
01/02/2004,Gangseo-gu -  Seoul -  Korea,Suicide
04/22/2004,Mia 9 Dong -  Kangbuk-ku -  Seoul -  Korea,Veh. Accident-Auto
07/15/2004,Kuwol Dong -  Namdong-gu -  Inchun -  Korea,Veh. Accident-Auto
07/24/2004,Yichon-dong -  Yongsan-gu -  Seoul -  Korea,Drowning
02/25/2005,Seoul -  Korea,Other Accident
03/07/2005,Asan-city -  Korea,Suicide
03/12/2005,Pyongtaek-city -  Korea,Suicide
03/28/2005,Youngdungpho-gu -  Seoul -  Korea,Other Accident
05/27/2005,Seoul -  Korea,Homicide
06/15/2005,Seoul -  Korea,Suicide
08/25/2005,Jung-1dong Haewoongdae-gu -  Busan -  Korea,Veh. Accident-Auto
12/04/2005,Gakhyul Valley At Dopyong-ri -  Edong-myon -  Pocheon-si -  Korea,Homicide
01/14/2006,2240 Daewha Dong -  Ilsan-gu -  Kyoyang-city -  Kyonggi-do -  Korea,Veh. Accident-Auto
04/02/2006,Pusan -  Korea,Suicide
07/05/2006,Deachum Beach -  Boryung -  Chungnam -  Korea,Drowning
11/25/2006,Seoul -  Korea,Suicide
01/01/2007,Kyungpo Beach -  Kangreung -  Kangwon -  Korea,Drowning- Ocean
01/25/2007,Jinwui-myeon -  Pyongtaek -  Korea,Suicide
01/30/2007,Busan -  Korea,Drug-Related
02/23/2007,Nowon-gu -  Seoul -  Korea,Suicide
03/19/2007,Sungnam -  Gyunggi-do -  Korea,Suicide
08/05/2007,Dowon-dong -  Dalseo-gu -  Daegu -  Korea,Suicide
09/13/2007,Youngdeungpo-gu -  Seoul -  Korea,Suicide
10/07/2007,Youngho-dong -  Changwon -  Kyungsangnam-do -  Korea,Suicide
11/05/2007,Seoul -  Korea,Drowning-Bridge
12/01/2007,Seoul -  Korea,Veh. Accid-Motorcy.
03/08/2008,Seoul -  Korea,Other Accident
03/12/2008,Seoul -  Korea,Suicide
05/10/2008,Gyeongsan -  Korea,Drowning
06/13/2008,Seongnam -  Korea,Suicide
10/21/2008,Nam-gu -  Incheon -  Korea,Suicide
12/03/2008,Pyeongtaek -  Korea,Veh. Accid-Auto
01/05/2009,Joong-ang University Hospital -  Seoul,Other Accident
02/26/2009,A Curve Way On Doomundong-jae -  Hawjeon-dong -  Taebaek,Veh. Accid-Auto
03/23/2009,Haenam -  Korea,Suicide
05/24/2009,Busan -  Gyeonsangnam-do -  Korea,Suicide
05/29/2009,Paju -  Korea,Other Accident
06/25/2009,Gyochon-dong -  Yuseong-gu -  Daejeon -  Korea,Suicide
06/29/2009,Jung-gu -  Busan -  Korea,Suicide
08/20/2009,Chiljeon-Dong -   - Chuncheon -  Korea,Other Accident
08/27/2009,Gongju -  Korea,Veh. Accid-Auto
09/26/2009,Paldal-Gu - Suwon -  Korea,Suicide
10/03/2009,Jongro-Gu  - Seoul -  Korea,Veh. Accid-Motorcy.
11/07/2009,Hannam-Dong -  Yongsan-Gu - Seoul -  Korea,Veh. Accid-Motorcy.
11/09/2009,Gyeonggi-Do -  Korea,Suicide
12/31/2009,Haewundae-Gu  - Busan -  Korea,Other Accident
01/08/2010,Incheon -  Korea,Other Accident
01/25/2010,Gangwon-Do -  Korea,Suicide
02/06/2010,Busan -  Korea,Suicide
03/11/2010,Jinju -  Korea,Veh. Accid-Motorcy.
04/23/2010,Seoul -  Korea,Suicide
05/15/2010,Ulsan -  Korea,Veh. Accid-Auto
05/16/2010,Gwangak-gu - Seoul -  Korea,Suicide
05/17/2010,Wonju -  Korea,Suicide
05/27/2010,Pocheon -  Korea,Suicide
07/03/2010,Incheon -  Korea,Veh. Accid-Bus
07/21/2010,Seobuk-Gu - Chunan -  Korea,Suicide
07/26/2010,Yeongdungpo-Gu - Seoul -  Korea,Suicide
07/31/2010,Kimpo - Gyeonggi-Do -  Korea,Other Accident
08/17/2010,Seocho-Gu -  Seoul -  Korea,Suicide
09/15/2010,Sinjang-Dong - Pyeongtaek -  Korea,Suicide
10/14/2010,Pusan -  Korea,Suicide
11/01/2010,Yangcheon-Gu - Seoul -  Korea,Homicide
11/13/2010,Goyang -  Korea,Suicide
02/19/2011,Suyoung-Gu -  Suyoung-Gu -  Busan -  Korea,Suicide
02/21/2011,Gojan-Dong -  Danwon-Gu -  Ansan -  Korea,Other Accident
02/22/2011,Yeongdeungpo-Gu -  Seoul -  Korea,Suicide
04/19/2011,Yongsan -  Korea,Suicide
04/22/2011,Seoul -  Korea,Suicide
06/05/2011,Pyungtaek -  Korea,Suicide
06/11/2011,Seoul -  Korea,Veh. Accid-Auto
06/13/2011,Seoul -  Korea,Suicide
08/12/2011,Seoul -  Korea,Suicide
08/16/2011,Incheon -  Korea,Suicide
09/06/2011,Buk-Gu -  Gwangju -  Korea,Veh. Accid-Pedestr.
09/24/2011,Kwangmyung -  Korea,Suicide
09/30/2011,Hochen -  Korea,Suicide
10/19/2011,Seo-Gu -  Busan -  Korea,Suicide
11/03/2011,Cheongwan -  Hwangcheong -  Korea,Homicide
11/20/2011,Suji -  Yongin -  Korea,Suicide
12/25/2011,Seoul -  Korea,Suicide
05/05/2012,Namyangju -  Korea -  Republic,Drowning
07/10/2012,Haeundae-gu -  Busan -  Korea,Suicide
07/31/2012,Chungju -  Chungcheong -  Korea,Other Accident
08/06/2012,Chungsun-Eup -  Korea,Suicide
08/11/2012,Busan -  Korea,Homicide
11/10/2012,Kijanggun -  Busan -  Korea,Vehicle Accident - Pedestrian
11/23/2012,Jung-gu -  Seoul -  Korea,Suicide
12/09/2012,Seocho-gu -  Seoul -  Korea,Suicide
01/14/2013,Mokpo -  Jeollanam-do -  Korea,Suicide
02/13/2013,Kangnung -  Kangwon-do -  Korea,Suicide
02/17/2013,Seoul -  Korea,Drowning
02/26/2013,Paengsong-Up -  Pyongtaek -  Korea,Suicide
03/06/2013,Seongnam-Si -  Gyeonggo-Do -  Korea,Suicide
03/16/2013,Daegu -  Korea,Veh. Accid-Auto
05/04/2013,Yeonsu-Gu -  Incheon -  Korea,Veh. Accid- Bus
07/02/2013,Seoul -  Korea,Veh. Accid-Other
07/06/2013,Yeoksam-Dong -  Gangnam-Gu -  Seoul -  Korea,Suicide
09/27/2013,Gaya-Daero -  Busan Jingu -  Busan -  Korea,Suicide
10/01/2013,Kiheung-Gu - Yongin -  Gyunggi-Do -  Korea,Suicide
10/10/2013,Umbong-Myun -  Asan -  Choongchungnam-Do -  Korea,Suicide
10/26/2013,Tongyong City -  Korea,Other Accident
11/06/2013,Seoul -  Korea,Other Accident
12/23/2013,Seoul -  Korea,Suicide
01/04/2014,Paengsung-Up - Pyeongtaek,Suicide
01/23/2014,Seoul,Suicide
01/27/2014,Anyang,Veh. Accid-Auto
02/02/2014,Seoul,Other Accident
02/21/2014,Jeollanam-Do,Other Accident
04/01/2014,Sokcho,Suicide
04/07/2014,Suwon,Suicide
04/13/2014, Youngtong-gu -  ,Suicide
05/26/2014,Cheongju,Veh. Accid-Motorcy.
06/20/2014,Suwon,Suicide
07/03/2014,Seoul,Suicide
07/12/2014,Seongdong-gu - Seoul,Suicide
09/22/2014,Seoul,Suicide
10/14/2014,Seongdong-gu - Seoul,Suicide
02/08/2015,Yongsan-Gu -  Seoul,Suicide
02/17/2015,Jeollanam-Do,Veh. Accid-Auto
03/14/2015,Deungnyang-myeon -  Boseong-gun,Other Accident
04/10/2015,Incheon,Other Accident
05/01/2015,Mokpo,Veh. Accid-Bus
05/27/2015,Seoul,Veh. Accid-Motorcy.
06/11/2015,Jeongseon,Other Accident
07/07/2015,Busan,Suicide
07/21/2015,Busan,Drowning
07/27/2015,Seoul,Suicide
09/28/2015,Daegu,Suicide
09/28/2015,Seoul,Other Accident
10/06/2015,Jeonju,Other Accident
11/04/2015,Seongnam,Other Accident
12/18/2015,Danwon-gu -  Ansan,Suicide
12/24/2015,Seoul,Veh. Accid-Motorcy.
01/11/2016,Uijeongbu City,Other Accident
01/26/2016,Shiheung,Suicide
03/26/2016,Busan,Suicide
04/05/2016,Seoul,Drowning
04/24/2016,Seoul,Suicide
05/08/2016,Seoul,Other Accident
07/23/2016,Chilgok-Gun -  Gyeongsangbuk-Do,Veh. Accid-Auto
08/30/2016,Gangjun-Eup -  Gangjin-Gun,Suicide
10/10/2016,Sokcho City,Other Accident
10/27/2016,Bupyeong-gu -  Incheon,Suicide
11/06/2016,Dong-gu -  Ulsan,Veh. Accid-Pedestr.
11/30/2016,Seocho-Dong -  Seocho-Gu -  Seoul,Suicide
02/12/2017,Seoul,Suicide
02/15/2017,Okcheon-Gun,Suicide
03/03/2017,Busan,Drowning
03/07/2017,Gunpo,Suicide
03/09/2017,Seoul,Other Accident
04/14/2017,Chungnam,Suicide
07/16/2017,Daegu,Suicide
07/30/2017,Seoguipo -  Jeju,Maritime Accident
09/26/2017,Seoul,Other Accident
10/07/2017,Busan,Drowning
10/17/2017,Busan,Other Accident
10/30/2017,Pyeongtaek City -  Gyeonggi Province,Suicide
11/09/2017,Seoul,Drug-Related
11/12/2017,Chuncheon -  Gangwon Province,Drowning
12/09/2017,Pohang -  North Gyeongsang,Suicide
12/27/2017,Gimjae -  South Gyeongsang,Suicide
12/31/2017,Seoul,Suicide



