Date,City,Cause of Death
01/21/2003,Kuwait City -  Kuwait,Terrorist Action
01/29/2003,Ahmadi -  Kuwait,Veh. Accident-Auto
03/28/2003,Maghrib Highway Kuwait City -  Kuwait,Veh. Accident-Auto
04/09/2003,Mina Abdullah Area -  Kuwait,Veh. Accident-Auto
04/10/2003,Qashaniya Area -  Kuwait,Veh. Accident-Auto
03/29/2004,Um Qasr Iraq/kuwait Border,Veh. Accident-Auto
05/09/2005,Abdali -  Kuwait,Veh. Accident-Auto
07/17/2005,Sabahia -  Kuwait,Veh. Accident-Motorcycle
11/12/2005,Camp Buehring -  Kuwait,Veh. Accident-Auto
10/18/2006,Kuwait City -  Kuwait,Veh. Accident-Motorcycle
03/01/2007,Arabian Gulf Street -  Shaab Al Bahri,Veh. Accident-Auto
09/13/2007,Kuwait City -  Kuwait,Veh. Accid-Auto
04/08/2008,Kuwait City -  Kuwait,Veh. Accid-Auto
04/08/2008,Kuwait City -  Kuwait,Veh. Accid-Auto
08/13/2008,Mina Alabdulla -  Kuwait,Veh. Accid-Other
09/10/2008,Kuwait City -  Kuwait -  Kuwait,Veh. Accid-Auto
09/11/2008,Kuwait City -  Kuwait -  Kuwait,Veh. Accid-Auto
12/26/2008,Kuwait City -  Kuwait -  Kuwait,Veh. Accid-Auto
04/27/2009,Ahmadi -  Kuwait,Veh. Accid-Auto
10/03/2009,Mina Abdulla - Mina Abdulla -  Kuwait,Other Accident
03/03/2010,Mina Abdullah -  Kuwait,Veh. Accid-Auto
07/25/2010,Kuwait City -  Kuwait,Veh. Accid-Auto
12/13/2010,Jahra -  Kuwait,Veh. Accid-Auto
12/27/2010,Kuwait City -  Kuwait,Veh. Accid-Auto
02/18/2011,Jahra -  Kuwait,Veh. Accid-Auto
05/30/2011,Salmiya -  Kuwait,Other Accident
07/27/2011,Salwa -  Kuwait,Other Accident
08/04/2011,Al Adan -  Kuwait,Veh. Accid-Auto
09/07/2011,Al Adan -  Kuwait,Veh. Accid-Auto
03/18/2012,Kuwait City -  Kuwait,Drowning
03/22/2012,Riqqa Area -  Kuwait,Suicide
04/18/2012,Abdullah Port Area -  Kuwait,Vehicle Accident - Auto
06/25/2012,Kuwait City -  Kuwait,Vehicle Accident - Other
10/12/2012,Kuwait City -  Kuwait,Other Accident
10/13/2012,Mahboula -  Kuwait,Vehicle Accident - Auto
04/10/2013,Sharq -  Kuwait,Homicide
09/26/2014,Al Jahra,Veh. Accid-Auto
06/13/2015,Mahboula,Other Accident
09/22/2015,Midan Hawalli,Other Accident
01/24/2016,Mahboula,Suicide
03/21/2017,Adan,Veh. Accid-Auto
12/29/2017,Abdally -  Abdally,Veh. Accid-Auto



