Date,City,Cause of Death
03/17/2006,Ban Naveng -  Savannakhet -  Laos,Drowning
09/22/2006,Nam Leek River -  Laos,Other Accident - Rafting
10/25/2006,Chanthabouly District -vientiane -  Laos,Other
02/20/2008,Savannakhet -  Laos,Suicide
03/22/2008,Vientiane -  Capital District -  Laos,Drug-Related
04/18/2008,Vientiane -  Capital District -  Laos,Drug-Related
04/26/2008,Vang Vieng -  Loas,Drug-Related
07/02/2008,Luang Prabang District -  Luang Prabang Province -  Laos,Drowning
02/27/2009,Laos,Drug-Related
03/01/2009,Bokeo Province -  Laos,Veh. Accid-Motorcy.
03/18/2009,Vientiane -  Laos,Drug-Related
07/19/2009,Pakse - Champasak -  Laos,Disaster
11/22/2009,Sekong Province -  Laos,Other Accident
02/20/2010,Luang Namtha -  Laos,Suicide
12/27/2010,Sam Neua Laos,Veh. Accid-Auto
01/10/2012,Vientiane -  Laos,Vehicle Accident - Auto
09/29/2012,Vientiane -  Laos,Drowning
01/17/2013, Chanthabouly -  Vientiane -  Laos,Drug-Related
05/03/2013,Savannakhet -  Laos,Other Accident
10/16/2013,Phonthong -  Pakse -  Laos,Air Accident
08/12/2014,Mixay - Vientiane Capital,Drug-Related
11/14/2014,Vientiane - Vientiane Capital,Drug-Related
12/06/2016,Nakham Village -  Mahaxay -  Khammouane,Veh. Accid-Motorcy.
12/06/2016,Nakham Village -  Mahaxay -  Khammouane,Veh. Accid-Motorcy.
03/24/2017,Bokeo,Other Accident
04/10/2017,Luang Prabang,Drowning
05/24/2017,Vientiane,Veh. Accid-Motorcy.
03/29/2018,Luang Prabang -  Louangphabang,Veh. Accid-Auto



