Date,City,Cause of Death
11/21/2002,Saida -  Lebanon,Homicide
01/29/2003,Amyoun -  Al Koura -  Lebanon,Veh. Accident-Auto
09/14/2003,District Of Zahle -  Beqaa Valley -  Lebanon,Veh. Accident-Auto
10/09/2003,Nabatieh -  South Lebanon,Other Accident
03/10/2004,Beirut -  Lebanon,Other Accident
03/31/2004,Beirut -  Lebanon,Other Accident
06/26/2004,Beirut -  Lebanon,Other Accident
11/28/2004,Al Masnaa Rd -  The Lebanese-syrian Border,Veh. Accident-Auto
11/28/2004,Al Masnaa Rd -  The Lebanese-syrian Border,Veh. Accident-Auto
11/28/2004,Chtaura -  District Of Zahle -  Lebanon,Veh. Accident-Auto
04/24/2009,Beirut -  Lebanon,Suicide
07/19/2009,Beirut -  Lebanon,Veh. Accid-Auto
07/19/2009,Beirut -  Lebanon,Veh. Accid-Auto
01/25/2010,Beirut -  Lebanon,Air Accident
07/09/2010,Safa District -  El koura - North Lebanon,Maritime Accident
09/07/2010,Rabieh -  Metn -  Lebanon,Homicide
03/14/2011,Beirut -  Lebanon,Suicide
12/18/2011,Baskinta -  Metn -  Lebanon,Other Accident
07/08/2012,Batroun -  Lebanon,Vehicle Accident - Auto
07/08/2012,Batroun -  Lebanon,Vehicle Accident - Auto
07/14/2012,Qalamoun -  Lebanon,Other Accident
03/09/2013,Zalka -  Metn -  Lebanon,Homicide
08/26/2013,Tripoli -  Lebanon,Terrorist Action
10/01/2013,Antelias -  Metn -  Lebanon,Other Accident
11/01/2013,Jbeil -  Lebanon,Homicide
01/01/2015,Beirut,Suicide
07/31/2015,Chouf,Veh. Accid-Auto
10/20/2015,Kesserwan,Veh. Accid-Other
05/07/2016,Chouf,Other Accident
08/08/2017,Baabda,Homicide
06/29/2018,Jbeil -  Jbeil,Veh. Accid-Auto
06/29/2018,Jbeil -  Jbeil,Veh. Accid-Auto



