Date,City,Cause of Death
08/25/2003,Penang -  Malaysia,Other Accident
10/06/2003,Kuala Lumpur -  Malaysia,Drowning
01/26/2004,Labuan -  Malaysia,Homicide
07/18/2004,Kuching -  Sarawak -  Malaysia,Suicide
04/22/2005,Km 20.2 Jalan Lahad Datu -  Sabah -  Malaysia,Veh. Accident-Auto
05/02/2006,Km 8 Lebuhraya Pasir Gudang -  Johor -  Malaysia,Veh. Accident-Pedestrian
05/13/2006,Kota Kinabalu -  Sabah -  Malaysia,Maritime Accident
07/19/2006,Kuala Lumpur -  Malaysia,Other Accident - Fall
12/07/2008,Kluang -  Johor -  Maylaysia,Veh. Accid-Motorcy.
12/21/2008,Kuala Lumpur -  Malaysia,Other Accident
04/05/2009,Kuala Lumpur -  Malaysia,Other Accident
07/08/2009,Tanjong Bungah - Penang -  Malaysia,Homicide
10/18/2009,Kota Bharu -  Kelantan -  Malaysia,Veh. Accid-Auto
03/28/2010,Kuala Lumpur -  Malaysia,Other Accident
06/25/2010,Sarawak -  Malaysia,Air Accident
05/04/2013,Kuala Lumpur -  Malaysia,Homicide
08/25/2013,Kuching Sarawak -  Malaysia,Veh. Accid-Other
02/27/2014,Selangor,Other Accident
04/03/2015,Penang,Maritime Accident
04/04/2015,Kuala Lumpur,Air Accident
03/22/2016,Kuala Lumpur,Suicide
11/26/2016,Lingkaran Syed Putra -  Kuala Lumpur,Homicide
04/27/2017,Selangor,Suicide
09/04/2017,Penang,Other Accident
12/26/2017,Kuala Lumpur,Maritime Accident
01/03/2018,Pinang Kecil -  Perak,Veh. Accid-Motorcy.
02/19/2018,Arah Utara -  Selangor,Veh. Accid-Auto
04/12/2018,Tasik Dayang Bunting -  Kedah,Drowning
04/25/2018,Kuala Lumpur -  Selangor,Undetermined/Unknown



