Date,City,Cause of Death
10/02/2002,Guadalajara -  Jalisco -  Mexico,Veh. Accident-Auto
10/02/2002,Tijuana -  Baja California Norte -  Mexico,Homicide
10/03/2002,Hermosillo -  Sonora -  Mexico,Veh. Accident-Auto
10/06/2002,Veracruz -  Veracruz -  Mexico,Suicide
10/08/2002,Puerto Vallarta -  Jalisco -  Mexico,Veh. Accident-Motorcycle
10/09/2002,Cd. Obregon -  Sonora -  Mexico,Veh. Accident-Auto
10/09/2002,Nuevo Laredo -  Tamaulipas -  Mexico,Drug-Related
10/10/2002,Guadalajara -  Jalisco -  Mexico,Other Accident
10/12/2002,Federal Beaches -  Playa Del Carmen -  Quintana Roo -  Mexico,Drowning
10/13/2002,Ciudad Juarez -  Chihuahua -  Mexico,Drug-Related
10/14/2002,Av. Internacional Al Soler -  Tijuana -  Baja California Norte -  Mexico,Veh. Accident-Motorcycle
10/15/2002,Empalme -  Sonora -  Mexico,Veh. Accident-Auto
10/15/2002,Km. 44.2 Transpeninsular Hwy -  La Paz And Cd. Constitucion -  Baja California Sur -  Mexico,Veh. Accident-Auto
10/16/2002,Baja California Sur -  Mexico,Suicide
10/18/2002,Chapala -  Jalisco -  Mexico,Suicide
10/18/2002,Tijuana -  Baja California Norte -  Mexico,Drug-Related
10/20/2002,La Paz -  Baja California Sur -  Mexico,Veh. Accident-Auto
10/22/2002,Puerto Penasco -  Sonora -  Mexico,Homicide
10/24/2002,Sanatorio Cemsi -  Culiacan -  Sinaloa -  Mexico,Veh. Accident-Auto
10/26/2002,Paraiso Beach -  Cozumel -  Quintana Roo -  Mexico,Drowning
10/27/2002,Zacapu -  Michoacan -  Mexico,Other Accident
10/30/2002,Chapala -  Jalisco -  Mexico,Suicide
11/01/2002,San Quintin -  Baja California Norte -  Mexico,Veh. Accident-Auto
11/01/2002,Tijuana -  Baja California Norte -  Mexico,Other Accident
11/04/2002,Cuernavaca -  Morelos -  Mexico,Other Accident
11/04/2002,Km. 57 Tijuana-ensenada -  Playas De Rosarito -  Baja California Norte -  Mexico,Veh. Accident-Auto
11/06/2002,Ciudad Juarez -  Chihuahua -  Mexico,Homicide
11/09/2002,Baja California Sur -  Mexico,Suicide
11/09/2002,Cabo San Lucas -  Baja California Sur -  Mexico,Other Accident
11/09/2002,Highway 200 San Francisco Crossroad -  Nayarit -  Mexico,Veh. Accident-Auto
11/09/2002,Highway 200 San Francisco Crossroad -  Nayarit -  Mexico,Veh. Accident-Auto
11/09/2002,Highway 200 -  San Francisco Crossroad -  Nayarit -  Mexico,Veh. Accident-Auto
11/09/2002,Sahuayo-la Barca -  Michoacan -  Mexico,Homicide
11/15/2002,Aerodromo De Alfonsinas -  Baja California Norte -  Mexico,Air Accident
11/15/2002,Aerodromo De Alfonsinas -  Baja California Norte -  Mexico,Air Accident
11/15/2002,Guerrero Negro -  Baja California Sur -  Mexico,Veh. Accident-Auto
11/19/2002,Tijuana -  Baja California Norte -  Mexico,Drug-Related
11/21/2002,Ciudad Juarez -  Chihuahua -  Mexico,Homicide
11/21/2002,Km. 120 Carretera A Mexicali -  Tecate -  Baja California Norte -  Mexico,Veh. Accident-Auto
11/23/2002,Costera Sur Highway -  Cozumel -  Quintana Roo -  Mexico,Veh. Accident-Motorcycle
11/23/2002,Costera Sur Highway -  Cozumel -  Quintana Roo -  Mexico,Veh. Accident-Motorcycle
11/24/2002,Cd Juarez-villahumada Highway -  Chihuahua -  Mexico,Veh. Accident-Auto
11/24/2002,Tijuana -  Baja California Norte -  Mexico,Drug-Related
11/27/2002,Km 145-150 Acapulco-zihuatanejo National Highway -  Guerrero -  Mexico,Veh. Accident-Motorcycle
11/28/2002,Emiliano Zapata -  Tabasco -  Mexico,Veh. Accident-Motorcycle
11/30/2002,Guaymas -  Sonora -  Mexico,Veh. Accident-Auto
11/30/2002,Highway 15 Km 125 Between Los Mochis-obregon -  Navojoa -  Sonora -  Mexico,Veh. Accident-Auto
11/30/2002,Highway 15 Km 125 Los Mochis-obregon At Navojoa -  Sonora -  Mexico,Veh. Accident-Auto
11/30/2002,Road #4 -  Km 115 -  Guaymas -  Sonora -  Mexico,Veh. Accident-Auto
12/01/2002,La Paz -  Baja California Sur -  Mexico,Drowning
12/04/2002,San Miguel De Allende -  Guanajuato -  Mexico,Veh. Accident-Auto
12/05/2002,Cancun -  Quintana Roo -  Mexico,Drowning
12/05/2002,Ciudad Juarez -  Chihuahua -  Mexico,Homicide
12/07/2002,Cabo San Lucas-san Jose Del Cabo Highway Km 07 + 200 -  Baja California Sur -  Mexico,Veh. Accident-Auto
12/07/2002,Cabo San Lucas-san Jose Del Cabo Highway Km 07 + 200 -  Baja California Sur -  Mexico,Veh. Accident-Auto
12/07/2002,Maneadero -  Baja California Norte -  Mexico,Drowning
12/08/2002,Ciudad Juarez -  Chihuahua -  Mexico,Other Accident
12/12/2002,Cancun -  Quintana Roo -  Mexico,Veh. Accident-Auto
12/12/2002,Traffic Artery -  Cancun -  Quintana Roo -  Mexico,Veh. Accident-Auto
12/13/2002,Conocido -  Libramiento Republica -  Morelia -  Michoacan -  Mexico,Veh. Accident-Auto
12/13/2002,La Paz -  Baja California Sur -  Mexico,Other Accident
12/14/2002,Guerrero -  Mexico,Drug-Related
12/14/2002,Tijuana -  Baja California Norte -  Mexico,Homicide
12/17/2002,Cd. Constitucion And Loreto Highway Km 092+800 -  Baja California Sur -  Mexico,Veh. Accident-Auto
12/17/2002,Highway 15 Cd. Obregon-los Mochis At Navojoa -  Sonora -  Mexico,Veh. Accident-Auto
12/20/2002,Ciudad Juarez -  Chihuahua -  Mexico,Drug-Related
12/20/2002,International Highway Km. 23 Mazatlan-culiacan -  Sinaloa -  Mexico,Veh. Accident-Auto
12/25/2002,Cancun -  Quintana Roo -  Mexico,Suicide
12/25/2002,Nuevo Casas Grandes -  Chihuahua -  Mexico,Veh. Accident-Auto
12/29/2002,Km. 68 + 800 Highway Guadalajara - Colima -  Mexico,Veh. Accident-Auto
12/29/2002,Km. 68 + 800 -  Highway Guadalajara - Colima -  Mexico,Veh. Accident-Auto
12/30/2002,Kilometer 100 Highway Tepic-puerto Vallarta-compostela -  Mexico,Veh. Accident-Auto
12/30/2002,Kilometer 100 Highway Tepic-puerto Vallarta-compostela -  Mexico,Veh. Accident-Auto
12/30/2002,Km 31 Freeway Manzanillo-cihuatlan -  Colima -  Mexico,Veh. Accident-Auto
12/30/2002,Puerto Vallarta -  Jalisco -  Mexico,Homicide
12/31/2002,San Felipe -  Baja California Norte -  Mexico,Drowning
12/31/2002,Tijuana -  Baja California Norte -  Mexico,Homicide
01/01/2003,Chihuahua -  Chihuahua -  Mexico,Veh. Accident-Auto
01/02/2003,Chihuahua -  Chihuahua -  Mexico,Veh. Accident-Auto
01/02/2003,Highway Hermosillo-nogales Km 102 -  Benjamin Hill -  Sonora -  Mexico,Veh. Accident-Auto
01/04/2003,Ensenada -  Baja California Norte -  Mexico,Homicide
01/05/2003,Mazatlan -  Sinaloa -  Mexico,Suicide
01/07/2003,Ciudad Juarez -  Chihuahua -  Mexico,Other Accident
01/15/2003,Veracruz -  Veracruz -  Mexico,Homicide
01/16/2003,Tepatitlan -  Jalisco -  Mexico,Homicide
01/17/2003,Acapulco -  Guerrero -  Mexico,Suicide
01/18/2003,Freeway # 15 -  Mexico-nogales Km. 097+300 Rosa Morada -  Nayarit -  Mexico,Veh. Accident-Auto
01/18/2003,Freeway # 15 -  Mexico-nogales Km. 097+300 -  Rosamorada -  Nayarit -  Mexico,Veh. Accident-Auto
01/18/2003,Freeway # 15 -  Mexico-nogales Km. 097+300 -  Rosamorada -  Nayarit -  Mexico,Veh. Accident-Auto
01/19/2003,Rosarito -  Baja California Norte -  Mexico,Drug-Related
01/26/2003,Puerto Penasco -  Sonora -  Mexico,Other Accident
01/28/2003,Cabo San Lucas -  Baja California Sur -  Mexico,Drowning
01/30/2003,Quintana Roo -  Mexico,Drowning
01/30/2003,Servicios De Salud Tuxpan -  Nayarit -  Mexico,Natural Disaster
01/31/2003,Ensenada -  Baja California Norte -  Mexico,Veh. Accident-Auto
02/09/2003,Guaymas -  Sonora -  Mexico,Other Accident
02/14/2003,Cancun -  Quintana Roo -  Mexico,Other Accident
02/15/2003,Acapulco -  Guerrero -  Mexico,Drowning
02/17/2003,Tijuana -  Baja California Norte -  Mexico,Drug-Related
02/20/2003,La Paz -  Baja California Sur -  Mexico,Homicide
02/22/2003,Cruz De Huanacaxtle -  Nayarit -  Mexico,Natural Disaster
02/22/2003,Puerto Vallarta -  Jalisco -  Mexico,Suicide
02/22/2003,Puerto Vallarta -  Jalisco -  Mexico,Veh. Accident-Bus
02/23/2003,Guadalajara -  Jalisco -  Mexico,Homicide
02/25/2003,Cananea -  Sonora -  Mexico,Homicide
02/25/2003,Cueramaro -  Guanajuato -  Mexico,Homicide
