Date,City,Cause of Death
02/16/2003,Imintanout -  Marrakech -  Morocco,Veh. Accident-Auto
02/16/2003,Marrakech -  Morocco,Other Accident
08/15/2003,Laayoune -  Morocco,Veh. Accident-Auto
12/08/2003,El Jadida -  Morocco,Homicide
11/06/2004,Ouarzazate -  Morocco,Veh. Accident-Bus
05/17/2005,Souk El Arbaa Du Gharb -  Morocco,Veh. Accident-Auto
03/12/2007,Fez -  Morocco,Suicide
04/28/2007,Highway -  Marrakech -  Morocco,Other Accident
07/21/2007,Boulevard Mohamed V -  Essaouira -  Morocco,Veh. Accid-Auto
05/24/2009,Casablanca -  Morocco,Homicide
06/10/2009,Marrakech -  Morocco,Drowning
06/10/2009,Marrakech -  Morocco,Drowning
11/12/2009,Khenifra -  Morocco,Veh. Accid-Auto
03/15/2010,Casablanca -  Morocco,Veh. Accid-Auto
03/15/2010,Casablanca -  Morocco,Veh. Accid-Auto
11/07/2010,Hay Essalam -  Khemisset -  Montenegro,Other Accident
07/16/2011,Jemaat Riah -  Morocco,Veh. Accid-Auto
07/25/2011,Moulay Bousselham -  Morocco,Veh. Accid-Auto
03/16/2012,Rissani -  Errachidia Province -  Morocco,Vehicle Accident - Auto
08/23/2012,El Hajeb -  Meknes -  Morocco,Vehicle Accident - Auto
03/15/2013,Casablanca -  Morocco,Suicide
06/30/2013,Fez -  Morocco,Veh. Accid-Auto
01/13/2014,Kalaat Mgouna,Other Accident
07/23/2014,Inezgane,Veh. Accid-Auto
09/24/2014,Laayoune,Other Accident
01/26/2015,Meknes,Other Accident
02/28/2015,Agadir,Veh. Accid-Auto
08/19/2015,Larache,Veh. Accid-Auto
07/28/2016,Rhamna,Veh. Accid-Auto
03/16/2017,Fez,Other Accident
02/05/2018,Caidat Aglou - Tiznit,Drowning



