Date,City,Cause of Death
12/04/2002,Maputo -  Mozambique,Homicide
07/08/2004,Chokwe -  Mozambique,Train Accident
09/16/2006,Tete Province -  Mozambique,Veh. Accident - Auto
04/12/2010, - Quelimane - Zambezia -  Mozambique,Veh. Accid-Motorcy.
12/20/2011,Macia -  Gaza -  Mozambique,Veh. Accid-Auto
12/20/2011,Macia -  Gaza -  Mozambique,Veh. Accid-Auto
06/03/2012,Mocimboa Da Praia -  Cabo Delgado -  Mozambique,Maritime Accident
02/02/2014,Cabo Delgado,Drowning
11/06/2014,Matola -  Maputo,Homicide
03/25/2016,Tete,Veh. Accid-Auto



