Date,City,Cause of Death
03/05/2004,Swakopmund -  Namibia,Veh. Accident-Auto
04/23/2004,Windhoek -  Namibia,Suicide
08/17/2006,Kunane River -  Nambia,Drowning
09/07/2006,Gobabis -  Nambia,Other Accident
04/11/2009,Kunene River -  Epupa Falls,Drowning
04/27/2010,Windhoek -  Nambia,Other Accident
05/23/2012,Rehoboth -  Klein-Aub -  Namibia,Vehicle Accident - Auto
04/07/2014,Etosha Game Reserve,Veh. Accid-Auto
08/29/2014,Oshikoto - Grootfontein,Veh. Accid-Auto
01/04/2015,Epupa Falls -  Kunene River,Drowning
09/10/2016,Richtersveld National Park,Veh. Accid-Motorcy.
11/24/2017,Between Ongwediva And Ondangwa,Veh. Accid-Auto
01/17/2018,Kamanjab -  District Outjo,Veh. Accid-Auto



