Date,City,Cause of Death
02/08/2004,Jyatha -  Thamel -  Kathmandu -  Nepal,Suicide
05/18/2004,Mount Makalu -  Nepal,Other Accident
01/04/2005,Thoshe Vdc -  Ramechhap -  Janakpur Zone -  Nepal,Air Accident
05/01/2005,Mt Everest -  Solukhumbu -  Nepal,Disaster
06/05/2005,Mt Everest -  Nepal,Other Accident
05/31/2006,Bharatpur -  Chitwan -  Nepal,Veh. Accident-Motorcycle
09/23/2006,Ghumsa -  Taplejung -  Nepal,Air Accident
09/23/2006,Ghumsa -  Taplejung -  Nepal,Air Accident
09/23/2006,Ghumsa -  Taplejung -  Nepal,Air Accident
02/26/2007,Nepal,Other Accident
09/14/2007,Choyu -  Nyalam -  Tibet Autonomous Region,Other Accident
07/31/2008,Sundarijal -  Kathmandu -  Nepal,Drowning
02/13/2010,Koyalghari -  Chitwan -  Nepal,Other Accident
08/24/2010,Makwanpur -  Nepal,Air Accident
08/24/2010,Makwanpur -  Nepal,Air Accident
08/24/2010,Makwanpur -  Nepal,Air Accident
08/24/2010,Makwanpur -  Nepal,Air Accident
12/15/2010,Thamdada -  Okhaldhunga -  Nepal,Air Accident
05/10/2011,Kalanki -  Kathmandu -  Nepal,Drug-Related
09/25/2011,Lalitpur -  Nepal,Air Accident
09/25/2011,Lalitpur -  Nepal,Air Accident
09/25/2011,Lalitpur -  Nepal,Air Accident
06/22/2012,Thorang Phedi -  Manang -  Nepal,Other Accident
09/28/2012, Thimi -  Bhaktapur -  Nepal,Air Accident
05/20/2013,Barun -  Sankhuwasabha District -  Nepal,Other Accident
06/15/2013,Maharagunj -  Kathmandu -  Nepal,Suicide
08/21/2014,Banke,Drowning
11/11/2014,Lukla - Solukhumbu,Suicide
03/23/2015,Kathmandu,Other Accident
04/25/2015,Namche -  Solukhumbu -  Sagarmatha Zone,Natural Disaster
04/25/2015,Namche -  Solukhumbu -  Sagarmatha Zone,Natural Disaster
04/25/2015,Namche -  Solukhumbu -  Sagarmatha Zone,Natural Disaster
04/26/2015,Tengboche,Natural Disaster
11/14/2015,Solukhumbu District,Other Accident
07/23/2017,Kathmandu,Veh. Accid-Motorcy.
08/03/2017,Lalitpur,Other
11/17/2017,Kathmandu,Veh. Accid-Motorcy.
04/01/2018,Kathmandu -  Province Number 3,Undetermined/Unknown



