Date,City,Cause of Death
10/18/2002,Amsterdam -  Netherlands,Suicide
10/20/2002,Maarn -  Netherlands,Other Accident
10/31/2002,Amsterdam -  Netherlands,Other Accident
11/05/2002,Amsterdam -  Netherlands,Drug-Related
11/06/2002,Amsterdam -  Netherlands,Drug-Related
01/15/2003,Amsterdam -  Netherlands,Suicide
05/05/2003,Amsterdam -  Netherlands,Veh. Accident-Pedestrian
05/21/2003,Amsterdam -  Netherlands,Suicide
05/23/2003,Amsterdam -  Netherlands,Drug-Related
06/18/2003,Rotterdam -  Netherlands,Veh. Accident-Auto
08/04/2003,Amsterdam -  Netherlands,Suicide
09/10/2003,Zeist -  Netherlands,Suicide
09/28/2003,Geertruidenberg -  Netherlands,Other Accident
09/28/2003,Geertruidenberg -  Netherlands,Other Accident
10/24/2003,Wassenaar -  Netherlands,Veh. Accident-Motorcycle
10/25/2003,Amsterdam -  Netherlands,Suicide
05/20/2004,Amsterdam -  Netherlands,Drug-Related
12/13/2004,Rotterdam -  The Netherlands,Other Accident
01/11/2005,Amsterdam -  The Netherlands,Drug-Related
06/10/2005,Amsterdam -  The Netherlands,Other Accident
07/31/2005,Amsterdam -  The Netherlands,Drug-Related
01/09/2006,Amsterdam -  The Netherlands,Drug-Related
02/01/2007,Gouda Amsterdam -  The Netherlands,Suicide
06/15/2007,Odilienberg -  The Netherlands,Veh. Accident - Auto
09/30/2007,Amsterdam -  The Netherlands,Drug-Related
05/23/2008,Amsterdam -  The Netherlands,Drug-Related
06/16/2008,Scheveningen -  The Netherlands,Drowning-OCEAN
09/11/2008,Amsterdam -  The Netherlands,Suicide
09/23/2008,The Hague -  The Netherlands,Veh. Accid-Other
02/25/2009,Haarlemmermeer -  Haarlemmermeer,Air Accident
02/25/2009,Haarlemmermeer -  Haarlemmermeer,Air Accident
02/25/2009,Haarlemmermeer -  Haarlemmermeer,Air Accident
02/25/2009,Haarlemmermeer -  Haarlemmermeer,Air Accident
06/16/2009,The Hague -  The Netherlands,Suicide
09/24/2009,Amsterdam -  Netherlands,Suicide
10/24/2009,Amsterdam -  Netherlands,Veh. Accid-Motorcy.
01/31/2010,Amsterdam -  Netherlands,Suicide
02/28/2010,Amsterdam -  Netherlands,Homicide
08/08/2010,Oranjestad -  Netherlands,Drowning
08/14/2010,Doetinchem -  Netherlands,Veh. Accid-Auto
10/13/2010,Oranjestad -  Netherlands,Drowning
10/19/2010,Baby Beach -  Netherlands,Drowning
10/19/2010,Oranjestad -  Netherlands,Veh. Accid-Auto
10/30/2010,Vught -  Netherlands,Suicide
11/08/2010,Amsterdam -  Netherlands,Suicide
11/08/2010,Cupecoy -  Netherlands,Drowning
11/17/2010,Bussum -  Netherlands,Suicide
11/25/2010,San Nicolas -  Netherlands,Drowning
12/09/2010,Amsterdam -  Netherlands,Other Accident
01/10/2011,Amsterdam -  The Netherlands ,Suicide
02/10/2011,Guana Bay Beach -  The Netherlands,Drowning
02/11/2011,Bonaire -  The Netherlands,Drowning
06/16/2011,Amsterdam -  The Netherlands ,Suicide
07/22/2011,Willemstad -  Netherlands,Homicide
12/06/2011,Amsterdam -  Netherlands,Suicide
12/23/2011,Oranjestade -  Netherlands,Drowning
07/12/2012,Amsterdam -  The Netherlands,Other Accident
08/03/2012,Amsterdam -  The Netherlands,Drowning
09/21/2012,Cupecoy -  Sint Maarten -  The Netherlands,Homicide
09/21/2012,Cupecoy -  Sint Maarten -  The Netherlands,Homicide
05/21/2013,Amsterdam -  Netherlands,Suicide
06/04/2013,Mercelina -  Kralendijk -  Netherlands,Drowning
06/28/2013,Amsterdam -  Netherlands,Other Accident
07/16/2013,Netherlands,Suicide
08/28/2013,Amsterdam -  Netherlands,Suicide
09/07/2013,Oranjestad -  Netherlands,Drowning
09/11/2013,Pos Chiquito -  Netherlands,Drowning
11/22/2013,Philipsburg -  Netherlands,Drowning
01/20/2014, The Hague,Drug-Related
02/25/2014,Oranjestad,Homicide
05/26/2014,Willemstad,Drowning
06/08/2014, Amsterdam,Other Accident
09/20/2014,Oosterdokstraat - Amsterdam,Veh. Accid-Bus
11/08/2014,Oranjestad,Drowning
12/10/2014,Broek In Waterland,Veh. Accid-Auto
12/13/2014,St. Maarten,Suicide
12/29/2014,Willemstad,Drowning
02/02/2015,Philipsburg,Drowning
02/10/2015,Kralendijk,Drowning
03/05/2015,Kralendijk,Drowning
03/22/2015,Oyster Bay,Other Accident
03/28/2015,Oranjestad,Other Accident
04/15/2015,The Bottom,Homicide
04/21/2015,Harbour Village -  Kralendijk,Drowning
07/06/2015,Oranjestad -  Aruba,Drowning
07/17/2015,Kralendijk -  Bonaire,Drowning
08/25/2015,Haarlemmermeer,Other Accident
09/09/2015,Barcadera - Kralendijk,Suicide
11/08/2015,Kralendijk,Veh. Accid-Pedestr.
01/14/2016,Willemstad,Suicide
02/24/2016,Oranjestad,Drowning
08/28/2016,Huizen -  North Holland,Suicide
11/05/2016,Kralendijk -  Bonaire,Drowning
01/08/2017,Kralendijk,Drowning
03/02/2017,Oranjestad,Drowning
04/04/2017,Kralendijk,Drowning
04/08/2017,Kralendijk,Drowning
04/19/2017,Willemstad,Drowning
06/01/2017,Kralendijk,Drowning
06/08/2017,Hoofddorp,Other Accident
09/21/2017,Freetown,Suicide
04/25/2018,Zwolle -  Overijssel,Suicide
05/10/2018,Oranjestad -  Aruba,Drowning
06/01/2018,Maastricht -  Limburg,Other Accident



