Date,City,Cause of Death
10/07/2002,Arorangi -  Rarotonga -  Cook Islands,Drowning
11/09/2002,Invercargill -  New Zealand,Veh. Accident-Auto
12/07/2002,Leigh Road -  Matakana -  New Zealand,Veh. Accident-Auto
03/28/2003,Kaikoura Railway Station -  Kaikoura -  New Zealand,Train Accident
01/24/2004,Rarotonga -  Cook Islands,Drowning
02/13/2004,Kaikoura -  New Zealand,Veh. Accident-Motorcycle
03/18/2004,The Neck Wanaka Makaroa Highway -  New Zealand,Veh. Accident-Motorcycle
09/07/2004,Treble Cone Ski Field -  Mount Aspiring Road -  Wanaka -  New Zealand,Other Accident
10/16/2004,Te Awanga -  Hastings -  New Zealand,Other Accident
05/18/2005,State Highway 27 Ngarua Morrinsville -  New Zealand,Veh. Accident-Bus
05/18/2005,State Highway 27 Ngarua Morrinsville -  New Zealand,Veh. Accident-Bus
11/26/2005,Auckland -  New Zealand,Suicide
12/09/2005,Dunedin -  New Zealand,Other Accident
01/06/2006,Waitohi-temuka -  New Zealand,Veh. Accident-Auto
01/06/2006,Waitohi-temuka -  New Zealand,Veh. Accident-Auto
02/03/2006,Maunu Road -  Whangarei -   -  New Zealand,Veh. Accident-Auto
03/03/2006,Brownings Pass -  Hokitika -  New Zealand,Other Accident
03/05/2006,Mt Aspiring National Park -  Wanaka -  New Zealand,Air Accident
04/29/2006,Dunedin -  New Zealand,Other Accident
03/24/2007,Mount Sealy -  Mount Cook National Park -  New Zealand,Other Accident
03/29/2007,Te Anau -  New Zealand,Veh. Accident-Motorcycle
05/07/2007,Mt. Aspiring National Park -  Wanaka -  New Zealand,Other Accident
08/19/2007,Kaituna River -  Okere Falls -  Rotorua -  New Zealand,Drowning
01/06/2008,Hill Top State Hwy -  Christchurch - new Zealand,Veh. Accid-Motorcy.
02/08/2008,Aoraki Mt -  New Zealand,Other Accident
03/15/2009,State Highway 1 -  Maroa,Veh. Accid-Auto
07/13/2009,Kaikohe -  New Zealand,Veh. Accid-Auto
09/29/2009,Apia -  New Zealand,Disaster
09/29/2009,Apia -  New Zealand,Disaster
10/20/2009,Marlborough -  New Zealand,Drowning
01/02/2010,Blenheim -  new Zealand,Other Accident
01/17/2010,Mohaka -  New Zeland,Drowning
02/18/2010,Palmerston North -  New Zealand,Veh. Accid-Auto
06/23/2010,Christchurch -  New Zealand,Other Accident
10/02/2010,Tauranga -  New Zealand,Suicide
12/11/2010,Leigh -  New Zealand,Drowning
01/24/2011, Auckland -  New Zealand,Veh. Accid-Auto
02/22/2011,Christchurch -  New Zealand,Disaster
02/22/2011,Christchurch -  New Zealand,Disaster
03/24/2011,Wellington -  New Zealand,Veh. Accid-Motorcy.
04/09/2011,Auckland -  New Zealand,Suicide
05/15/2011,Whangarei -  New Zealand,Drowning
05/12/2012,Otukou Taupo -  New Zealand,Vehicle Accident - Auto
05/12/2012,Otukou Taupo -  New Zealand,Vehicle Accident - Auto
05/12/2012,Otukou Taupo -  New Zealand,Vehicle Accident - Auto
07/27/2012,Whitianga -  Waikato -  New Zealand,Other Accident
09/20/2012,Otorohanga -  Waikato -  New Zealand,Vehicle Accident - Auto
02/20/2013,Paihia -  Bay Of Islands -  New Zealand,Drowning
03/30/2013,Kawhia Harbour -  New Zealand,Air Accident
03/30/2013,Kawhia Harbour -  New Zealand,Air Accident
07/29/2013,Alexandra -  Central Otago -  New Zealand,Veh. Accid-Auto
08/13/2013,Apia -  New Zealand,Veh. Accid-Auto
08/13/2013,Apia -  New Zealand,Veh. Accid-Auto
09/04/2013,Mangamuka Okaihau -  New Zealand,Veh. Accid-Motorcy.
12/27/2013,Moturua Island Waiwhapuku -  Bay Of Islands -  New Zealand,Other Accident
02/17/2015,Hamilton,Veh. Accid-Auto
02/17/2015,Tokoroa,Veh. Accid-Auto
02/17/2015,Tokoroa,Veh. Accid-Auto
02/17/2015,Tokoroa,Veh. Accid-Auto
03/11/2015,Ngahinapouri,Veh. Accid-Auto
03/11/2015,Ngahinapouri,Veh. Accid-Auto
03/11/2015,Ngahinapouri,Veh. Accid-Auto
09/25/2015,Timar,Other Accident
10/05/2015,Wanaka,Other Accident
12/02/2015,Hamilton,Suicide
12/09/2015,Wanaka,Other Accident
01/02/2016,Franz Josef,Other Accident
02/22/2016,Putaruru ,Veh. Accid-Auto
04/15/2016,Lake Wakatipu,Other Accident
04/18/2016,Matamata,Veh. Accid-Auto
05/24/2016,Hastings,Veh. Accid-Auto
08/12/2016,Oamaru,Suicide
09/29/2016,Martinborough - Wairarapa,Veh. Accid-Auto
11/22/2016,Tauranga,Veh. Accid-Other
12/27/2016,Aoraki  -  Mount Cook National Park,Veh. Accid-Motorcy.
04/10/2017,Queenstown,Other Accident
11/22/2017,Rarotonga -  Cook Islands,Drowning
11/22/2017,Rarotonga -  Cook Islands,Drowning
01/29/2018,Whakapara -  Northland,Veh. Accid-Auto
05/07/2018,Matagi -  Atafu,Suicide
06/13/2018,Christchurch -  Canterbury,Veh. Accid-Auto



