Date,City,Cause of Death
10/04/2003,Rivas -  Nicaragua,Other Accident
02/23/2004,Llanos De Pacaya -  Carazo -  Nicaragua,Suicide
04/08/2004,Managua -  Nicaragua,Suicide
11/15/2004,Nandaime -  Granada -  Nicaragua,Veh. Accident-Auto
11/17/2004,Volcan Maderas -  Isla De Ometepe -  Nicaragua,Other Accident
12/14/2004,Km 62 Carretera Norte -  Tipitapa -  Managua -  Nicaragua,Veh. Accident-Auto
04/13/2005,Leon -  Nicaragua,Other Accident
04/17/2005,Managua -  Nicaragua,Suicide
07/11/2005,San Juan Del Sur -  Rivas -  Nicaragua,Veh. Accident
01/18/2006,Municipality Of Boaco -  Boaco Department -  Nicaragua,Veh. Accident-Auto
04/03/2006,Lake Nicaragua -  Chontales -  Nicaragua,Drowning
04/03/2006,Lake Nicaragua -  Chontales -  Nicaragua,Drowning
04/05/2006,Ticuantepe -  Managua -  Nicaragua,Homicide
07/14/2006,Managua -  Nicaragua,Homicide
08/18/2006,Juigalpa -  Chontales -  Nicaragua,Veh. Accident-Auto
10/15/2006,Managua -  Nicaragua,Veh. Accident-Auto
03/12/2007,Jiquilillo -  Chinandega,Suicide
04/28/2007,Altamira -  Managua,Homicide
05/13/2007,Barrio El Calvario -  Esteli,Homicide
05/27/2007,Managua -  Nicaragua,Homicide
02/03/2008,Santa Cruz -  Ometepe -  Rivas -  Nicaragua,Suicide
02/14/2008,Managua -  Nicaragua,Suicide
02/14/2008,Managua -  Nicaragua,Suicide
03/09/2008,Managua -  Nicaragua,Veh. Accid-Auto
04/27/2008,Corinto -  Chinandega -  Nicaragua,Drowning
05/18/2008,Managua -  Nicaragua,Other Accident
12/09/2008,Managua -  Nicaragua,Homicide
12/14/2008,Rivas -  Nicaragua,Other Accident
02/20/2009,Managua -  Nicaragua,Suicide
06/16/2009,San Juan Del Sur -  Rivas,Drowning
08/05/2009,Managua -  Nicaragua,Veh. Accid-Auto
08/06/2009,Managua -  Nicaragua,Veh. Accid-Auto
08/29/2009,Leon -  Nicaragua,Homicide
09/13/2009,San Marcos -  Carazo -  Nicaragua,Other Accident
12/01/2009,Managua -  Nicaragua,Homicide
08/14/2010,San Marcos -  Carazo -  Nicaragua,Homicide
08/19/2010,Managua -  Nicaragua,Veh. Accid-Auto
08/19/2010,Managua -  Nicaragua,Veh. Accid-Auto
08/20/2010,Managua -  Nicaragua,Veh. Accid-Auto
08/26/2010,Managua -  Nicaragua,Suicide
11/14/2010,Managua -  Nicaragua,Homicide
12/03/2010,Nueva Segovia -  Nicaragua,Veh. Accid-Auto
02/10/2011,Waslala -  R.A.A.N. -  Nicaragua,Veh. Accid-Auto
03/21/2011,Moyogalpa -  Rivas -  Nicaragua,Suicide
03/25/2011,Rivas -  Nicaragua,Drowning
04/10/2011,Managua -  Nicaragua,Veh. Accid-Auto
05/13/2011,Managua -  Nicaragua,Homicide
07/30/2011,Managua -  Nicaragua,Veh. Accid-Motorcy.
09/15/2011,San Juan Del Sur -  Rivas -  Nicaragua,Drowning
12/21/2011,Granada -  Nicaragua,Suicide
02/13/2012,Rivas -  Nicaragua,Drowning
05/26/2012,Tola -  Nicaragua,Drowning
07/08/2012,San Juan del Sur -  Rivas -  Nicaragua,Suicide
08/30/2012,San Juan del Sur -  Rivas -  Nicaragua,Drowning
01/04/2013,Leon -  Nicaragua,Veh. Accid-Auto
02/17/2013,Matagalpa -  Nicaragua,Other Accident
03/02/2013,Managua -  Nicaragua,Suicide
04/16/2013,Managua -  Nicaragua,Maritime Accident
05/09/2013,San Juan del Sur -  Rivas -  Nicaragua,Drowning
06/15/2013,Boaco -  Nicaragua,Suicide
07/08/2013,Managua -  Nicaragua,Suicide
11/15/2013,Managua -  Nicaragua,Homicide
12/25/2013,Leon -  Nicaragua,Suicide
01/14/2014,Corn Island - R.A.A.N.,Other Accident
04/11/2014,San Rafael del Sur - Managua,Homicide
06/16/2014,San Juan del Sur - Rivas,Drowning
12/13/2014,Managua,Other Accident
04/19/2015,Leon,Veh. Accid-Auto
05/03/2015,San Juan Del Sur -  Rivas,Drowning
05/09/2015,San Juan Del Sur -  Rivas,Drowning
07/11/2015,Rivas,Veh. Accid-Auto
10/13/2015,Ciudad Sandino - Managua,Homicide
11/01/2015,Managua,Other Accident
11/17/2015,Rio San Jua,Air Accident
11/17/2015,Rio San Jua,Air Accident
01/23/2016,Region Autonoma Caribe Sur,Drowning
01/23/2016,Region Autonoma Caribe Sur,Drowning
09/14/2016,San Rafael Del Sur - San Rafael Del Sur,Drowning
01/29/2017,Managua,Homicide
01/29/2017,Managua,Homicide
02/18/2017,Rivas,Suicide
03/15/2017,Managua,Suicide
03/26/2017,Masaya,Drowning
04/05/2017,Managua,Other Accident
04/07/2017,Madriz,Other Accident
10/22/2017,Las Tejas -  Matagalpa-Sebaco,Veh. Accid-Motorcy.
03/12/2018,San Juan Del Sur -  Rivas,Veh. Accid-Motorcy.
03/17/2018,San Juan del Sur -  Rivas,Suicide
04/09/2018,Calle El Martirio -  Granada,Drowning
06/02/2018,Pista Rubenia -  Managua,Homicide



