Date,City,Cause of Death
01/14/2003,Lagos -  Nigeria,Other Accident
05/15/2003,Anambra -  Nigeria,Homicide
04/23/2004,Escravos -  Nigeria,Homicide
04/23/2004,Escravos -  Nigeria,Homicide
06/27/2004,Lagos -  Nigeria,Veh. Accident-Auto
07/07/2004,Akwanga Road -  Nigeria,Veh. Accident-Auto
07/26/2004,Escravos -  Nigeria (offshore),Air Accident
07/26/2004,Gulf Of Guinea -  Off The Coast Of Nigeria,Air Accident
08/20/2004,Lagos -  Nigeria,Other Accident
09/17/2004,Lagos -  Nigeria,Veh. Accident-Auto
01/11/2005,Enugu -  Nigeria,Homicide
03/09/2005,Benin-lagos Road -  Nigeria,Veh. Accident-Auto
04/01/2005,Sokoto -  Nigeria,Homicide
10/22/2005,Lagos -  Nigeria,Air Accident
12/10/2005,Rivers State -  Nigeria,Air Accident
12/11/2005,Umuahia -  Abia State -  Nigeria,Veh. Accident-Bus
11/05/2006,Lagos -  Nigeria,Homicide
01/02/2007,Umuasengu -  Enugu,Homicide
02/02/2007,Bauchi -  Bauchi,Veh. Accident-Auto
04/09/2007,Gombe - Bauchi Road -  Gombe State,Veh. Accident-Bus
05/11/2007,Lagos -  Nigeria,Homicide
05/24/2007,Lagos -  Nigeria,Homicide
09/09/2007,Ajah -  Lagos -  Nigeria,Homicide
11/11/2007,Airport Road -  Abuja -  Nigeria,Veh. Accid-Auto
12/23/2007,Onitsha -  Enugu -  Nigeria,Homicide
03/22/2008,Lagos-ibadan Expressway -  Ogun State -  Nigeria,Veh. Accid-Auto
07/29/2008,Lagos -  Nigeria,Drowning
10/05/2008,Port Harcourt -  Nigeria,Other Accident
11/06/2008,Isuikwuato  - abia -  Nigeria,Homicide
12/25/2008,Lagos -  Nigeria,Suicide
05/04/2009,Lagos -  Nigeria,Homicide
03/14/2010,Lekki Ajah - Lagos -  Nigeria,Drowning
04/03/2010,Port Harcourt - Rivers -  Nigeria,Homicide
04/04/2010,Port Harcourt - RiversNigeria,Homicide
04/23/2010,Port Harcourt - Rivers -  Nigeria,Homicide
05/30/2010,Nigeria,Veh. Accid-Auto
10/20/2010, Anambra State -  Nigeria,Homicide
12/01/2010,Lagos -  Nigeria,Homicide
04/12/2011,Okigwe -  Abia State -  Nigeria,Veh. Accid-Auto
06/18/2011,Riyom -  Jos -  Nigeria,Veh. Accid-Auto
08/06/2011,Abuja -  Nigeria,Other Accident
01/27/2012,Lagos -  Nigeria,Air Accident
06/03/2012,Lagos -  Nigeria,Air Accident
06/03/2012,Lagos -  Nigeria,Air Accident
06/03/2012,Lagos -  Nigeria,Air Accident
06/13/2012,Edo State -  Nigeria,Vehicle Accident - Auto
06/20/2012,Port Harcourt -  Nigeria,Homicide
08/07/2012,Delta State -  Nigeria,Drowning
10/12/2012,Lagos -  Nigeria,Suicide
12/26/2012,Aku -  Enugu -  Nigeria,Homicide
01/10/2013,Obiaruku -  Delta State -  Nigeria,Homicide
01/22/2013,Abuja -  Nigeria,Other Accident
01/29/2013,Port Harcourt -  Rivers -  Nigeria,Homicide
04/28/2013,Lagos -  Nigeria,Drowning
07/22/2013,Ibadan -  Nigeria,Veh. Accid-Auto
06/19/2014,Abuja -  F.C.T.,Suicide
09/07/2014,Lagos,Veh. Accid-Auto
09/09/2014,Owerri - Imo State,Homicide
08/12/2015,Lagos,Air Accident
08/26/2015,Ondo State,Veh. Accid-Bus
08/26/2015,Ondo State,Veh. Accid-Bus
10/15/2015,Imo,Other Accident
12/26/2015,Oyo,Veh. Accid-Auto
01/19/2017,Lagos,Veh. Accid-Auto
04/16/2017,Anambra State,Drowning
05/27/2017,Akwa Ibom,Suicide



