Date,City,Cause of Death
03/15/2003,Son -  Norway,Homicide
05/04/2003,Found At Slettefjell -  Sauland -  Norway,Air Accident
05/27/2003,Hafrsfjord -  Norway,Suicide
09/19/2004,Moss -  Norway,Other Accident
12/27/2004,Bergen -  Norway,Suicide
03/20/2005,Hundvaag/stavanger -  Norway,Veh. Accident-Pedestrian
10/03/2005,Mandal -  Norway,Suicide
05/31/2007,Toppen -  Norway,Suicide
08/28/2007,Ruksvei 212 -  Nes -  Norway ,Veh. Accid-Motorcy.
09/10/2007,Gildeskaal -  Meloey -  Norway,Other Accident
04/02/2008,Oslo -  Norway,Drug-Related
04/27/2008,Flekkefjord -  Norway,Veh. Accid-Auto
03/25/2009,Karmoey Dps -  Oestrem -  4291 Kopervik,Suicide
09/14/2009,Eiekrapen -  Norway,Veh. Accid-Other
05/26/2010,Holmestrand -  Norway,Maritime Accident
07/05/2010,Skien -  Norway,Veh. Accid-Auto
10/07/2010,Moskenes Municipality -  Norway,Other Accident
10/07/2010,Vikesaa -  Norway,Veh. Accid-Auto
06/18/2011,Flakstad -  Nordland -  Norway,Veh. Accid-bike
11/12/2011,Loerenskog -  Norway,Drug-Related
06/27/2012,Eidfjord -  Norway,Other Accident
08/29/2012,Farsund -  Norway,Suicide
05/26/2013,Trondheim -  Norway,Drowning
06/17/2013,Spitsbergen -  Svalbard -  Norway,Drowning
07/23/2014,Aafjord,Suicide
03/17/2015,Bergen,Other Accident
07/24/2015,Oslo,Suicide
10/18/2015,Moskenes Municipalit,Other Accident
03/29/2016,Bekkestua,Suicide
06/02/2016,Trondheim,Veh. Accid-Other
06/25/2016,Forsand,Other Accident
07/04/2016,Bodo -  Nordland,Suicide
08/01/2016,Oslo,Other Accident
08/07/2016,Eikesdalen,Other Accident
06/28/2017,Aurland,Other Accident



