Date,City,Cause of Death
11/14/2002,Haripur -  N.w.f.p. -  Pakistan,Homicide
02/24/2003,7 Nautical Miles Nw Off Churna Island Near Karachi -  Pakistan,Air Accident
02/24/2003,7 Nautical Miles Nw Off Churna Island Near Karachi -  Pakistan,Air Accident
02/24/2003,7 Nautical Miles Nw Off Churna Island Near Karachi -  Pakistan,Air Accident
06/30/2003,Murree -  Punjab -  Pakistan,Homicide
06/30/2003,Murree -  Punjab -  Pakistan,Homicide
04/30/2005,Al-murtaza Manzil -  Chak No. 7 -  W-b Danewal -  Vehari -  Punjab -  Pakistan,Homicide
07/09/2005,Shipton Spire Base Camp -  Skardu -  Pakistan,Other Accident
10/08/2005,Jalalabad -  Muzaffarabad,Disaster
12/24/2005,Karachi -  Pakistan,Homicide
03/02/2006,Karachi -  Pakistan,Terrorist Action
05/21/2006,Rawalpindi -  Punjab -  Pakistan,Homicide
11/25/2006,Rahim Yar Khan -  Punjab -  Pakistan,Veh. Accident-Auto
08/25/2007,Motorway -  Faisalabad -  Punjab,Veh. Accid-Auto
08/29/2007,Islamabad -  Pakistan,Homicide
08/29/2007,Islamabad -  Pakistan,Homicide
11/21/2007,Karachi -  Pakistan,Homicide
01/28/2008,Islamabad -  Pakistan,Suicide
03/03/2008,Bahauddin -  Pakistan,Homicide
05/26/2008,Kanchanaburi -  Pakistan,Homicide
09/08/2008,Mirpurkhas -  Pakistan,Homicide
09/20/2008,Islamabad -  Pakistan,Terrorist Action
11/12/2008,Peshawar -  Pakistan,Terrorist Action
02/17/2009,Peshawar -  Nwfp -  Pakistan,Homicide
03/03/2009,Rawalpindi -  Punjab -  Pakistan,Homicide
03/07/2009,Lahore -  Punjab -  Pakistan,Veh. Accid-Auto
07/06/2009,Gujrat -  Pakistan,Homicide
09/26/2009,Jamshoro District -  Pakistan,Veh. Accid-Auto
11/27/2009,Lahore  - Punjab -  Pakistan,Veh. Accid-Auto
06/29/2010,Mingora-Swat - Khyber Pakhtun Khuwa -  Pakistan,Homicide
07/28/2010,Islamabad -  Pakistan,Air Accident
07/28/2010,Islamabad -  Pakistan,Air Accident
07/28/2010,Islamabad -  Pakistan,Air Accident
08/19/2010,Sanghar -  Sindh -  Pakistan,Homicide
10/21/2010,Islamabad -  Pakistan,Veh. Accid-Motorcy.
07/05/2011,Multan -  Punjab -  Pakistan,Veh. Accid-Motorcy.
11/01/2011,Gujrat -  Punjab -  Pakistan,Homicide
11/18/2011,Karachi -  Pakistan,Suicide
07/28/2013,K2 Camp III -  Pakistan,Other Accident
12/28/2013,Gujrat -  Pakistan,Homicide
02/20/2014,Multan  - Punjab,Veh. Accid-Motorcy.
02/27/2014,Attock - Punjab,Veh. Accid-Auto
02/27/2014,Attock - Punjab,Veh. Accid-Auto
02/27/2014,Attock - Punjab,Veh. Accid-Other
04/16/2014,Attock - Punjab,Homicide
05/26/2014,Chanab Nagar - Punjab,Homicide
02/08/2015,Kharian -  District Gujrat -  Punjab,Homicide
06/17/2015,,Homicide
07/21/2015,Karachi -  Sindh,Veh. Accid-Auto
09/17/2015,Kallar Kahar,Veh. Accid-Auto
10/29/2016,Karachi - Sindh,Terrorist Action
02/14/2017,Khyber Pakhtunkhwa,Unknown/Undetermined
11/29/2017,Islamabad,Terrorist Action
12/30/2017,Rawalpindi -  Punjab,Veh. Accid-Auto
01/25/2018,Sialkot Cantt -  Punjab,Veh. Accid-Pedestr.



