Date,City,Cause of Death
11/21/2002,Campo Lindberg -  Panama,Suicide
01/06/2003,Bocas Del Toro -  Panama,Drowning
05/29/2003,Calidonia -  Panama,Veh. Accident-Auto
05/31/2003,Bella Vista -  Panama,Suicide
11/08/2003,Canglon -  Darien -  Panama,Air Accident
05/14/2004,Isla Bocas -  Bocas Del Toro -  Panama,Air Accident
05/28/2004,Panama City -  Panama,Homicide
06/04/2004,Gamboa -  Panama Province -  Panama,Homicide
07/02/2004,Tocumen International Airport -  Panama,Air Accident
07/02/2004,Tocumen International Airport -  Panama,Air Accident
07/02/2004,Tocumen International Airport -  Panama,Air Accident
07/02/2004,Tocumen International Airport -  Panama,Air Accident
07/24/2004,Los Algarrobos -  Dolega -  Chiriqui -  Panama,Veh. Accident-Auto
09/05/2004,Panama City -  Panama,Other Accident
12/20/2004,Panama City -  Panama,Other Accident
02/05/2005,Santo Domingo -  Las Tablas -  Los Santos Province -  Panama,Veh. Accident-Auto
02/05/2005,Via Interamericana -  El Coco -  Penonome -  Cocle Province -  Panama,Veh. Accident-Auto
04/16/2005,Panama City -  Panama,Other Accident
04/20/2005,Panama City -  Panama,Homicide
11/25/2005,Majagua River -  David -  Province Of Chiriqui -  Panama,Drowning
12/21/2005,Transismica Road -  Buena Vista -  Colon -  Panama,Veh. Accident-Auto
02/21/2006,Chiriqui -  Panama,Other Accident
04/26/2006,Las Lajas -  San Felix -  Chiriqui -  Panama,Drowning
06/14/2006,Panama City -  Panama,Homicide
07/25/2006,Highway Br 050 -  Km 150 -  Panama,Veh. Accident-Auto
01/09/2007,Granito De Oro Island -  Montijo -  Veraguas -  Panama,Drowning - Ocean 
04/06/2007,Cerro La Cruz -  El Valle Anton -  Panama,Other Accident
04/06/2007,El Valle -  Anton -  Cocle -  Panama,Veh. Accident-Auto
07/08/2007,Chame -  Espave -  Panama,Veh. Accid-Motorcy.
10/14/2007,San Felipe -  Las Bovedas Beach Catedral -  Panama City -  Panama,Drowning
12/23/2007,Boquete -  Alto Chiriqui -  Chiriqui -  Panama,Air Accident
12/23/2007,Boquete -  Alto Chiriqui -  Chiriqui -  Panama,Air Accident
01/27/2008,Kilometer 56 -  Changuinola -  Almirante -  Bocas Del Toro -  Panama,Veh. Accid-Auto
03/04/2008,Playa Wizard -  Bastimentos -  Bocas Del Toro Island -  Bocas Del Toro,Drowning
03/09/2008,Las Uvas -  San Carlos -  Chame -  Panama,Veh. Accid-Auto
03/25/2008,Nombre De Dios - santa Isabel District -  Colon,Veh. Accid-Auto
04/10/2008,Playa Leona -  La Chorrera -  Panama,Veh. Accid-Auto
07/17/2008,Bocas Del Toro -  Panama,Drowning
09/05/2008,Panama City -  Panama,Suicide
09/12/2008,Bocas Del Toro -  Panama,Homicide
09/21/2008,San Miguelito -  Panama,Homicide
12/07/2008,Carrasquilla -  Panama,Veh. Accid-Pedestr.
01/17/2009,San Francisco -  Panama -  Panama,Maritime Accident
02/28/2009,Juan Diaz -  Panama -  Panama,Homicide
05/27/2009,Chame -  Espave -  Panama,Homicide
07/11/2009,District of Alanje  - Province Of Chiriqui -  Panama,Drowning
09/17/2009,Chiriqui -  Panama,Suicide
09/19/2009,Punta Prieta -   - Chame -  Panama,Other Accident
02/19/2010,Panama City -  Panama,Homicide
03/29/2010,Dolega -  Panama,Homicide
12/06/2010,Chiriqui -  Panama,Suicide
02/01/2011,Calidonia -  Panama,Other Accident
04/01/2011,Chiriqui -  Panama,Suicide
04/05/2011,San Bartolo - Veraguas -  Panama,Suicide
05/03/2011,Anton -  Santa Clara. - Panama,Veh. Accid-Auto
12/03/2011,Chame -  Panama,Air Accident
01/10/2012,Boquete -  Chiriqui -  Panama,Vehicle Accident - Auto
03/29/2012,Panama City -  Panama,Suicide
04/06/2012,Panama City -  Panama,Air Accident
04/19/2012,Panama City -  Panama,Homicide
04/19/2012,Panama City -  Panama,Homicide
04/29/2012,Panama City -  Panama,Suicide
05/23/2012,Montijo -  Veraguas -  Panama,Drowning
06/02/2012,Alanje -  Chiriqui -  Panama,Drowning
09/07/2012,Panama -  Panama,Homicide
12/29/2012,Palenque -  Colon -  Panama,Homicide
04/09/2013,La Guadalupe -  Chorrera -  Panama,Maritime Accident
07/10/2013,Royal Parks -  Panama,Suicide
12/31/2013,La Chorrera -  Panama ,Suicide
01/14/2014,Boca Chica - Chiriqui,Veh. Accid-Other
01/27/2014,Chiriqui,Other Accident
06/22/2014,La Mata - Santiago,Suicide
07/12/2014, Dolega - Chiriqui,Homicide
12/06/2014,Pedasi - Los Santos,Drowning
12/08/2014,Bocas Del Toro,Homicide
01/16/2015,Chame,Veh. Accid-Bus
01/16/2015,San Carlos -  Panama Oeste,Veh. Accid-Bus
06/01/2015,La Palma -  Darien,Drowning
06/01/2015,La Palma -  Darien,Drowning
08/13/2015,Panama City,Suicide
08/16/2015,Panama City,Homicide
09/03/2015,Penonome,Drug-Related
11/16/2015,Los Santos,Veh. Accid-Auto
02/17/2016,Bocos Del Toro,Other Accident
03/02/2016,Playa Banco Montijo,Drowning
05/30/2016,Chitre,Suicide
07/19/2016,San Felix -  Chiriqui,Drowning
08/03/2016,Aguadulce -  Cocle,Veh. Accid-Auto
08/19/2016,Bocas Del Toro -  Bocas Del Toro,Veh. Accid-Auto
12/20/2016,David - Chiriqui,Suicide
02/02/2017,Bocas Del Toro,Homicide
05/16/2017,Chiriqui,Veh. Accid-Motorcy.
07/02/2017,El Valle de Anton -  Cocle,Veh. Accid-Auto
07/10/2017,La Mesa -  Veraguas,Veh. Accid-Auto
08/06/2017,Palenque -  Colon,Drowning
09/10/2017,Panama City -  Panama,Unknown/Undetermined
01/04/2018,Panama City -  Panama,Homicide
05/06/2018,David -  Chiriqui,Other Accident



