Date,City,Cause of Death
05/14/2005,Horqueta -  Paraguay,Veh. Accident-Auto
11/24/2005,Colonia Florida -  J.e. Estigarribia -  Caaguazu -  Paraguay,Other Accident
12/05/2009,Alto Parana -  Paraguay,Homicide
09/07/2010,Asuncion -  Paraguay,Homicide
08/13/2011,Ciudad Del Este -  Paraguay,Homicide
11/27/2011,Paraguari -  Paraguay,Veh. Accid-Auto
04/18/2012,Carmen Del Parana -  Itapua -  Paraguay,Vehicle Accident - Auto
04/18/2012,Carmen Del Parana -  Itapua -  Paraguay,Vehicle Accident - Auto
07/16/2015,Villarrica Hospital - Villarrica,Veh. Accid-Auto
07/30/2016,Clorinda - Formosa,Veh. Accid-Auto
12/17/2017,Asuncion,Homicide



